depth_mm,evaluated_voxels,voxel_difference_noise_RMS_pp,observed_voxel_difference_RMS_percent,central_peak_TOPAS_SE_percent,central_peak_GPU_SE_percent,central_peak_ratio_SE_pp,central_peak_CI95_half_width_pp,adjacent_valleys_TOPAS_SE_percent,adjacent_valleys_GPU_SE_percent,adjacent_valleys_ratio_SE_pp,adjacent_valleys_CI95_half_width_pp,inner_field_peaks_TOPAS_SE_percent,inner_field_peaks_GPU_SE_percent,inner_field_peaks_ratio_SE_pp,inner_field_peaks_CI95_half_width_pp,inner_field_valleys_TOPAS_SE_percent,inner_field_valleys_GPU_SE_percent,inner_field_valleys_ratio_SE_pp,inner_field_valleys_CI95_half_width_pp
103.625,378,4.443489075454843,4.526251525109708,0.3422376210916189,0.8602088556121792,0.9369718766090017,2.6207652686774545,0.9748680144579559,1.1504447755940195,1.5217634769432136,3.7480643724657328,0.30587210425070527,0.19513685675874845,0.36319936542815434,0.9284226618229807,0.06956124521561831,0.7955009093832576,0.8032183925097768,2.5345565134632744
103.875,378,4.429320766424488,4.641930223082173,0.4521344109925053,0.6302473954593303,0.7806464284825196,1.9587393485744244,0.9076129888035924,0.9599142325091979,1.337992408368873,3.276436958344625,0.26603978474141504,0.1886212715904368,0.32651588718277297,0.8206561490915126,0.09687313506727965,0.6243969509919808,0.634180616565637,1.9668326067197284
104.125,378,4.423764540908928,4.3044872663021305,0.45542844598140875,0.7812963470741997,0.907130162780326,2.3571061677755885,1.2589446514407086,0.871872901005664,1.5301981364714925,3.85944583567472,0.2633599688544888,0.1449090216043889,0.30100764988821177,0.7908350827683472,0.24687687297715277,0.7628273944371429,0.7994967720243958,2.3142844003208
104.375,378,4.405122115433457,4.475535532227218,0.357631922879424,0.6668249432876152,0.7609454907172125,2.0092354551358382,0.9484768379276445,1.1346602970992519,1.492115953990162,3.6790902654081696,0.25287660721787925,0.09795604470897773,0.271439705419358,0.7628796473271402,0.32829024240164445,0.8630479754422629,0.9237809962159451,2.6046232513263976
104.625,378,4.436731091947492,4.325525760810687,0.47217342344629654,0.6777722259034208,0.83063073107267,2.093125238403233,0.9913105765858271,1.3164289285860873,1.6754808140919275,4.17681884665149,0.16948921919358714,0.12703503352694082,0.21182198567130053,0.5283642745315983,0.17668032331610467,0.9724282369797564,0.9930346545407002,3.052494316773454
104.875,377,4.399879982823152,4.357566833087516,0.4892692285915869,0.8060468633718721,0.9480846785552518,2.445086986754568,1.092627827782354,0.886015377745692,1.41251016039165,3.4923621136196457,0.13670248028767745,0.12340394689348735,0.18426572493412333,0.452021266304658,0.24670459461326008,0.5936007890696483,0.6434400312781404,1.7853598013205092
105.125,376,4.399376799662914,4.743632240998075,0.5008409552942413,0.8656251713428373,1.0063776371213913,2.6186727405016113,0.9445282587745985,0.7522163135292984,1.201937303764019,2.977116468140724,0.13444667039032043,0.15997668028155354,0.20896720711062589,0.5150192419032286,0.2927142240950224,0.4894021978171661,0.5682375987541758,1.4694481170954312
105.375,377,4.359865866449619,4.6227745613972315,0.4897453149042642,0.7690873953102846,0.917632439994011,2.3464369662105686,0.8132246472164466,0.9205053967632241,1.2216661049056963,3.0003574914166213,0.19226445561914654,0.11985003428929328,0.2266085123064331,0.5816238432191163,0.3224736580975684,0.3005473195100479,0.43788075278739264,1.072740494088123
105.625,377,4.356828530210616,4.460914086943451,0.34392326627648634,0.8460015360770491,0.922786105483877,2.5709502542232343,0.4674788753840676,0.8473974870594033,0.9634894966614951,2.530091666271861,0.28423201876086557,0.13509854536637905,0.31482538939791116,0.8513000470298229,0.13347841092053647,0.1881712907935814,0.22882828667245111,0.5750896490541957
105.875,376,4.333785729812058,4.200975788962733,0.37280085406989916,0.8649589019559019,0.9485055650921753,2.6138732017213644,0.6994810220122841,0.9835208678133527,1.199461594969154,3.0133368311131785,0.24403341355994776,0.0719472355597101,0.25426692309332966,0.7458270597848183,0.2843639444885791,0.284908533732083,0.3991744785851755,0.976745629038336
