event_id,context,E_total_MeV,range_mm,dedx_MeV_mm,inverse_MeV,true_step_mm
444,0,50.856780920668548,0.095189705460886828,304.77479783326754,50.856816459836814,0.011309515742172205
445,1,50.856780920668548,0.095189705460922619,304.77479783326191,50.856816459847003,0.011309515742175789
446,2,50.856780920668548,0.021263567027552648,1498.6081274480689,50.856957379550011,0.0038840307844917013
447,0,53.043846325921109,0.10207909593626185,296.16021668899447,53.043840080824822,0.011999092901121758
448,1,53.043846325921109,0.10207909593626746,296.16021668899361,53.043840080826321,0.011999092901122319
449,2,53.043846325921109,0.022656006183309617,1462.2464638066131,53.043852843626183,0.0040258760529014639
450,0,55.324965169088159,0.10949782041540604,287.70253282813343,55.325203224437416,0.012741562699853385
451,1,55.324965169088159,0.10949782041530355,287.70253282814969,55.325203224410124,0.012741562699843129
452,2,55.324965169088159,0.024149729653419699,1426.3682963265937,55.325042752903215,0.0041777054674065409
453,0,57.704182161938391,0.11748793840350243,279.41704134798755,57.704403484643009,0.013541133479531679
454,1,57.704182161938391,0.11748793840334916,279.41704134801194,57.704403484603773,0.013541133479516344
455,2,57.704182161938391,0.025752412206003019,1390.9357669101739,57.704272468769737,0.0043402930381620684
456,0,60.185715956647712,0.12609415375376992,271.29797450909763,60.185712001575553,0.014402277851763031
457,1,60.185715956647712,0.12609415375384786,271.2979745090849,60.185712001595142,0.014402277851770829
458,2,60.185715956647712,0.027472387253377098,1355.8542032769535,60.185725413469129,0.0045144785581305675
459,0,62.773966626002327,0.13536491693955607,263.33698794387669,62.774140686277406,0.015329842999298618
460,1,62.773966626002327,0.13536491694012637,263.3369879437841,62.774140686413602,0.015329842999355674
461,2,62.773966626002327,0.029318649264605177,1321.0553274742313,62.774117893728842,0.0047011677414750376
462,0,65.473523465283378,0.14535328519123061,255.54231488258094,65.473611729066405,0.016329136708605564
463,1,65.473523465283378,0.14535328519180077,255.5423148824884,65.473611729196591,0.016329136708662602
464,2,65.473523465283378,0.031300946543698076,1286.6631598199774,65.473589974884504,0.004901341530283175
465,0,68.289173129667034,0.15611662396327944,247.91648421720745,68.289256109317876,0.017405897475353149
466,1,68.289173129667034,0.15611662396237652,247.91648421735727,68.289256109116508,0.017405897475262826
467,2,68.289173129667034,0.033429783734917,1252.8248715376055,68.289243246581051,0.0051160562729140662
468,0,71.225908121568565,0.16771671853521503,240.46160305541483,71.226201620883046,0.018566305662196865
469,1,71.225908121568565,0.16771671853232789,240.46160305589299,71.22620162026962,0.018566305661908061
470,2,71.225908121568565,0.035716296657115718,1219.6374679165001,71.226149012021295,0.0053464310845529432
471,0,74.288935642979624,0.18022006871629209,233.18176307061478,74.28898795742478,0.019817012977184432
472,1,74.288935642979624,0.18022006871470772,233.18176307087418,74.288987957107409,0.019817012977025952
473,2,74.288935642979624,0.038172235327643043,1187.1245480647367,74.288981015225986,0.0055936461867620328
474,0,77.483686828494854,0.19369837408586707,226.07259304683154,77.483842574427939,0.02116519100923386
475,1,77.483686828494854,0.19369837409250137,226.0725930457096,77.483842575736432,0.021165191009897451
476,2,77.483686828494854,0.040810194407183788,1155.265959166077,77.48379302323292,0.0058589661274942315
477,0,80.815826375399496,0.20822931705893988,219.13474640424701,80.816101885696852,0.022618609547935101
478,1,80.815826375399496,0.20822931707231299,219.13474640199212,80.816101888200464,0.022618609549272691
479,2,80.815826375399496,0.043643958363677605,1124.0316181586593,80.816026344754761,0.0061437744254384304
480,0,84.291262587892888,0.22389688888997614,212.36828733799456,84.291262935395238,0.024185669181513238
481,1,84.291262587892888,0.2238968888904172,212.36828733795761,84.291262935434247,0.024185669181557349
