spot_id,x,y,energy,weight
190,13,7,3000.0,100000
191,15,7,3000.0,100000
192,-15,9,3000.0,100000
193,-13,9,3000.0,100000
194,-11,9,3000.0,100000
195,-9,9,3000.0,100000
196,-7,9,3000.0,100000
197,-5,9,3000.0,100000
198,-3,9,3000.0,100000
199,-1,9,3000.0,100000
200,1,9,3000.0,100000
201,3,9,3000.0,100000
202,5,9,3000.0,100000
203,7,9,3000.0,100000
204,9,9,3000.0,100000
205,11,9,3000.0,100000
206,13,9,3000.0,100000
207,15,9,3000.0,100000
208,-15,11,3000.0,100000
209,-13,11,3000.0,100000
210,-11,11,3000.0,100000
211,-9,11,3000.0,100000
212,-7,11,3000.0,100000
213,-5,11,3000.0,100000
214,-3,11,3000.0,100000
215,-1,11,3000.0,100000
216,1,11,3000.0,100000
217,3,11,3000.0,100000
218,5,11,3000.0,100000
219,7,11,3000.0,100000
220,9,11,3000.0,100000
221,11,11,3000.0,100000
222,13,11,3000.0,100000
223,15,11,3000.0,100000
224,-15,13,3000.0,100000
225,-13,13,3000.0,100000
226,-11,13,3000.0,100000
227,-9,13,3000.0,100000
228,-7,13,3000.0,100000
229,-5,13,3000.0,100000
230,-3,13,3000.0,100000
231,-1,13,3000.0,100000
232,1,13,3000.0,100000
233,3,13,3000.0,100000
234,5,13,3000.0,100000
235,7,13,3000.0,100000
236,9,13,3000.0,100000
237,11,13,3000.0,100000
238,13,13,3000.0,100000
239,15,13,3000.0,100000
240,-15,15,3000.0,100000
241,-13,15,3000.0,100000
242,-11,15,3000.0,100000
243,-9,15,3000.0,100000
244,-7,15,3000.0,100000
245,-5,15,3000.0,100000
246,-3,15,3000.0,100000
247,-1,15,3000.0,100000
248,1,15,3000.0,100000
249,3,15,3000.0,100000
250,5,15,3000.0,100000
251,7,15,3000.0,100000
252,9,15,3000.0,100000
253,11,15,3000.0,100000
254,13,15,3000.0,100000
255,15,15,3000.0,100000
