# E_MeV_total,t_req_mm,t_lim_mm,g_mm,t_inv_mm,lambda0_mm,range_mm
12.000000,1.666666666667e+00,1.666666666667e+00,1.664382418602e+00,1.666666666667e+00,1.214391177611e+03,1.666666666667e+00
60.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,2.909019600154e+04,8.333333333333e+00
60.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.909019600154e+04,8.333333333333e+00
60.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,2.909019600154e+04,8.333333333333e+00
60.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,2.909019600154e+04,8.333333333333e+00
60.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,2.909019600154e+04,8.333333333333e+00
60.000000,2.000000000000e-06,2.000000000000e-06,1.999999999931e-06,2.000000000000e-06,2.909019600154e+04,8.333333333333e+00
60.000000,5.000000000000e-06,5.000000000000e-06,4.999999999570e-06,5.000000000000e-06,2.909019600154e+04,8.333333333333e+00
60.000000,1.000000000000e-05,1.000000000000e-05,9.999999998281e-06,1.000000000000e-05,2.909019600154e+04,8.333333333333e+00
60.000000,1.000000000000e-04,1.000000000000e-04,9.999999982812e-05,1.000000000000e-04,2.909019600154e+04,8.333333333333e+00
60.000000,1.000000000000e-03,1.000000000000e-03,9.999999828121e-04,1.000000000000e-03,2.909019600154e+04,8.333333333333e+00
60.000000,5.000000000000e-03,5.000000000000e-03,4.999999570302e-03,5.000000000000e-03,2.909019600154e+04,8.333333333333e+00
60.000000,1.000000000000e-02,1.000000000000e-02,9.999998281208e-03,1.000000000000e-02,2.909019600154e+04,8.333333333333e+00
60.000000,2.500000000000e-02,2.500000000000e-02,2.499998925755e-02,2.500000000000e-02,2.909019600154e+04,8.333333333333e+00
60.000000,5.000000000000e-02,5.000000000000e-02,4.999995703061e-02,5.000000000000e-02,2.909019600154e+04,8.333333333333e+00
