depth_mm,evaluated_voxels,global_passing_voxels,global_pass_rate_percent,local_passing_voxels,local_pass_rate_percent
60.125,388,388,100.0,248,63.91752577319588
60.375,388,388,100.0,235,60.56701030927835
60.625,388,388,100.0,237,61.08247422680412
60.875,388,388,100.0,231,59.5360824742268
61.125,388,388,100.0,224,57.7319587628866
61.375,388,388,100.0,225,57.98969072164948
61.625,388,388,100.0,237,61.08247422680412
61.875,388,388,100.0,235,60.56701030927835
62.125,388,388,100.0,228,58.76288659793814
62.375,388,388,100.0,250,64.43298969072166
62.625,388,388,100.0,246,63.402061855670105
62.875,388,388,100.0,233,60.05154639175258
63.125,388,388,100.0,246,63.402061855670105
63.375,388,388,100.0,252,64.94845360824742
63.625,388,388,100.0,249,64.17525773195877
63.875,388,388,100.0,252,64.94845360824742
64.125,388,388,100.0,246,63.402061855670105
64.375,388,388,100.0,246,63.402061855670105
64.625,388,388,100.0,242,62.371134020618555
64.875,389,389,100.0,250,64.26735218508998
65.125,389,389,100.0,236,60.66838046272493
65.375,389,389,100.0,241,61.95372750642674
65.625,388,388,100.0,238,61.34020618556701
65.875,389,389,100.0,249,64.01028277634961
66.125,388,388,100.0,255,65.72164948453609
66.375,388,388,100.0,254,65.4639175257732
66.625,389,389,100.0,255,65.55269922879178
66.875,389,389,100.0,240,61.696658097686374
67.125,390,390,100.0,226,57.94871794871795
67.375,389,389,100.0,235,60.411311053984576
67.625,390,390,100.0,240,61.53846153846154
67.875,390,390,100.0,246,63.07692307692308
68.125,389,389,100.0,239,61.43958868894602
68.375,389,389,100.0,240,61.696658097686374
68.625,390,390,100.0,247,63.333333333333336
68.875,389,389,100.0,234,60.15424164524421
69.125,390,390,100.0,232,59.48717948717949
69.375,390,390,100.0,237,60.76923076923077
69.625,389,389,100.0,245,62.98200514138817
69.875,389,389,100.0,256,65.80976863753213
70.125,389,389,100.0,244,62.724935732647815
70.375,389,389,100.0,245,62.98200514138817
70.625,390,390,100.0,225,57.69230769230769
70.875,389,389,100.0,235,60.411311053984576
71.125,389,389,100.0,238,61.18251928020565
71.375,390,390,100.0,231,59.23076923076923
71.625,390,390,100.0,244,62.56410256410256
71.875,390,390,100.0,247,63.333333333333336
72.125,390,390,100.0,241,61.794871794871796
72.375,390,390,100.0,228,58.46153846153846
72.625,390,390,100.0,223,57.17948717948718
72.875,390,390,100.0,227,58.205128205128204
73.125,390,390,100.0,222,56.92307692307692
73.375,390,390,100.0,225,57.69230769230769
73.625,390,390,100.0,237,60.76923076923077
73.875,390,390,100.0,230,58.97435897435897
74.125,390,390,100.0,227,58.205128205128204
74.375,390,390,100.0,233,59.743589743589745
74.625,390,390,100.0,235,60.256410256410255
74.875,390,390,100.0,246,63.07692307692308
75.125,390,390,100.0,254,65.12820512820512
75.375,390,390,100.0,250,64.1025641025641
75.625,391,391,100.0,234,59.846547314578004
75.875,390,390,100.0,251,64.35897435897436
76.125,390,390,100.0,232,59.48717948717949
76.375,391,391,100.0,245,62.65984654731458
76.625,391,391,100.0,238,60.869565217391305
76.875,390,390,100.0,236,60.51282051282051
77.125,390,390,100.0,226,57.94871794871795
77.375,390,390,100.0,231,59.23076923076923
77.625,390,390,100.0,230,58.97435897435897
77.875,390,390,100.0,240,61.53846153846154
78.125,390,390,100.0,231,59.23076923076923
78.375,390,390,100.0,235,60.256410256410255
78.625,390,390,100.0,224,57.43589743589744
78.875,391,391,100.0,231,59.07928388746803
79.125,391,391,100.0,231,59.07928388746803
79.375,391,391,100.0,244,62.40409207161125
79.625,390,390,100.0,238,61.02564102564103
79.875,390,390,100.0,256,65.64102564102564
80.125,389,389,100.0,246,63.239074550128535
80.375,391,391,100.0,240,61.38107416879795
80.625,391,391,100.0,247,63.171355498721226
80.875,391,391,100.0,242,61.892583120204606
81.125,390,390,100.0,237,60.76923076923077
81.375,389,389,100.0,239,61.43958868894602
81.625,391,391,100.0,238,60.869565217391305
81.875,390,390,100.0,233,59.743589743589745
