# C12 in Water_75eV restricted loss-range table, Geant4 11.3.2 opt4+decay, default-region 0.05mm cuts couple.
# zeff 3.3334
# radlen_mm 360.829
# density_g_per_cm3 1.0
# energy_MeVu,energy_total_MeV,loss_range_mm,restricted_dedx_MeV_per_mm,inverse_residual_MeV
18.610000,223.320000,1.253220,98.691300,0.228009
18.710000,224.520000,1.265340,98.266200,0.225069
18.810000,225.720000,1.277520,97.845100,0.222215
18.910000,226.920000,1.289760,97.427900,0.219453
19.010000,228.120000,1.302040,97.014600,0.216769
19.110000,229.320000,1.314380,96.605100,0.214151
19.210000,230.520000,1.326780,96.199500,0.211586
19.310000,231.720000,1.339220,95.797500,0.209064
19.410000,232.920000,1.351720,95.399300,0.206575
19.510000,234.120000,1.364270,95.004700,0.204112
19.610000,235.320000,1.376870,94.613700,0.201669
19.710000,236.520000,1.389530,94.226300,0.199238
19.810000,237.720000,1.402240,93.842400,0.196817
19.910000,238.920000,1.415000,93.462000,0.194404
20.010000,240.120000,1.427810,93.085000,0.191996
20.110000,241.320000,1.440680,92.711400,0.189594
20.210000,242.520000,1.453600,92.341200,0.187200
20.310000,243.720000,1.466570,91.974200,0.184816
20.410000,244.920000,1.479590,91.610500,0.182448
20.510000,246.120000,1.492670,91.249900,0.180101
20.610000,247.320000,1.505790,90.892600,0.177782
20.710000,248.520000,1.518970,90.538300,0.175501
20.810000,249.720000,1.532210,90.187100,0.173268
20.910000,250.920000,1.545490,89.838900,0.171095
21.010000,252.120000,1.558830,89.493700,0.168995
21.110000,253.320000,1.572210,89.151400,0.166976
21.210000,254.520000,1.585650,88.812100,0.165029
21.310000,255.720000,1.599150,88.475500,0.163141
21.410000,256.920000,1.612690,88.141800,0.161302
21.510000,258.120000,1.626290,87.810900,0.159500
21.610000,259.320000,1.639930,87.482800,0.157728
21.710000,260.520000,1.653630,87.157300,0.155976
21.810000,261.720000,1.667380,86.834600,0.154238
21.910000,262.920000,1.681180,86.514500,0.152508
22.010000,264.120000,1.695040,86.197000,0.150780
22.110000,265.320000,1.708940,85.882100,0.149050
22.210000,266.520000,1.722900,85.569700,0.147316
22.310000,267.720000,1.736910,85.259900,0.145574
22.410000,268.920000,1.750960,84.952500,0.143824
22.510000,270.120000,1.765070,84.647600,0.142067
22.610000,271.320000,1.779230,84.345100,0.140302
22.710000,272.520000,1.793450,84.045000,0.138533
22.810000,273.720000,1.807710,83.747200,0.136762
22.910000,274.920000,1.822020,83.451700,0.134994
23.010000,276.120000,1.836390,83.158400,0.133235
23.110000,277.320000,1.850800,82.867400,0.131490
23.210000,278.520000,1.865270,82.578600,0.129767
23.310000,279.720000,1.879780,82.292000,0.128076
23.410000,280.920000,1.894350,82.007500,0.126425
23.510000,282.120000,1.908970,81.725100,0.124827
23.610000,283.320000,1.923640,81.444700,0.123286
23.710000,284.520000,1.938360,81.166300,0.121794
23.810000,285.720000,1.953130,80.889800,0.120347
23.910000,286.920000,1.967950,80.615200,0.118939
24.010000,288.120000,1.982820,80.342400,0.117564
24.110000,289.320000,1.997740,80.071500,0.116218
24.210000,290.520000,2.012710,79.802400,0.114896
24.310000,291.720000,2.027740,79.535000,0.113594
24.410000,292.920000,2.042810,79.269400,0.112308
24.510000,294.120000,2.057940,79.005400,0.111036
24.610000,295.320000,2.073110,78.743000,0.109775
24.710000,296.520000,2.088340,78.482200,0.108522
24.810000,297.720000,2.103620,78.222900,0.107276
24.910000,298.920000,2.118950,77.965100,0.106034
25.010000,300.120000,2.134340,77.708800,0.104797
25.110000,301.320000,2.149770,77.453800,0.103564
25.210000,302.520000,2.165260,77.200200,0.102335
25.310000,303.720000,2.180800,76.947900,0.101110
25.410000,304.920000,2.196390,76.696900,0.099891
25.510000,306.120000,2.212030,76.447100,0.098678
25.610000,307.320000,2.227720,76.198400,0.097475
25.710000,308.520000,2.243470,75.950900,0.096283
25.810000,309.720000,2.259270,75.704500,0.095106
25.910000,310.920000,2.275120,75.459100,0.093946
