case,depth_mm,depth_window_mm,valley_relative_percent,GPU_only_SE_pp,peak_relative_percent,excess_as_percent_TOPAS_peak,plane_sum_relative_percent
highstat_1m,60,10,5.8017935056833725,0.0782441488043521,-0.8511538170176025,0.40336467232827594,0.15899254269129415
highstat_1m,80,0.25,8.289510739635242,0.7419036933088266,-0.9675294819247671,0.6481402080052814,0.39296204967307347
highstat_1m,80,2.5,9.002127762498313,0.9261488958496602,-0.9908385978229295,0.7025448101257611,0.36102425788213655
highstat_1m,80,10,7.976020460132793,0.6953282603834442,-0.9531555995773711,0.6236032144147746,0.3027696548267622
highstat_1m,100,0.25,8.741146379460263,0.6736136181789588,-0.28520301464335374,0.721298767272853,0.335518315925154
highstat_1m,100,2.5,7.838511166501094,0.5718444778477157,-0.3149648633775759,0.6492494928815149,0.2816595712629377
highstat_1m,100,10,7.645551762345737,0.6300288461399062,-0.33856609719369324,0.6323923040577653,0.27594246820938917
highstat_1m,120,0.25,2.7337488109672403,0.5830708120349359,-0.7493480153966781,0.2495532085147327,-0.6616359070002464
highstat_1m,120,2.5,3.1161718524370885,1.0290480019208823,-0.8258594450787138,0.28464659346221255,-0.6176174537545931
highstat_1m,120,10,2.475379374376385,1.1757511916687766,-0.7055948936186662,0.23200163700457221,-0.5462682584229883
matched_cu005_250k,20,0.25,-2.038369334103951,3.5798117885167,1.0111604329109847,-0.10559565015083748,0.08107763795093259
matched_cu005_250k,20,2.5,0.31440456020337404,3.3575526809055005,0.9890791459403303,0.016270128861031446,0.12677108825429606
matched_cu005_250k,20,10,0.4325417930687303,1.6608882617212026,0.814860335921308,0.022447791507432046,0.17373977112333794
matched_cu005_250k,40,0.25,-0.28635831758866415,1.9167980452644346,0.9298347882522373,-0.016774421269224907,-0.14416892399419234
matched_cu005_250k,40,2.5,1.20052542654554,2.2476265460202236,0.8662858818053953,0.07053952380879866,-0.02163788186549942
matched_cu005_250k,40,10,1.727563861840431,2.2452331101052896,0.9908625113987046,0.10156317470178362,0.12664224530956059
matched_cu005_250k,60,0.25,3.9689911729965166,1.5810315017326522,0.2583218378758634,0.27454704800215407,0.5401729246582887
matched_cu005_250k,60,2.5,3.367884775889185,1.8234198271245994,0.2841486320757758,0.2342320581474834,0.42112500888566995
matched_cu005_250k,60,10,3.6015755340109035,1.6913849550342313,0.1815622875146694,0.2503964220234232,0.20764465173810365
matched_cu005_250k,80,0.25,0.5733330739161158,0.6299278083117618,1.2894849450553858,0.044827762392240185,0.14596755433859965
matched_cu005_250k,80,2.5,0.6069110667078714,1.1560584982308535,1.585875930920233,0.04736460438828199,0.07605393004184169
matched_cu005_250k,80,10,0.07130091758955626,0.25561864706898757,1.392694782581283,0.005574644852256418,0.0877528583585363
matched_cu005_250k,100,0.25,3.6541676762628095,1.1986846419143813,1.0403102036138145,0.30153329161608405,0.07184200169372268
matched_cu005_250k,100,2.5,0.7667181773937326,2.2310355960900905,0.7470989289990682,0.06350585937585934,-0.1230314800573562
matched_cu005_250k,100,10,0.8719193860142971,1.6508681938761685,0.600015714560187,0.07211972747210153,0.025646365300513452
matched_cu005_250k,120,0.25,3.603624654668991,3.0867696040243775,-0.012982101971725779,0.32896076305461786,0.3645865778973967
matched_cu005_250k,120,2.5,3.4601712727130085,2.3690676384201685,0.14945479012835605,0.31606920677474043,0.22557462646832782
matched_cu005_250k,120,10,2.3965007032130226,2.1552148512216656,0.6215316261497961,0.22460883854140576,0.19459780253927583
matched_cu005_1m,20,0.25,-2.374507594962816,1.1066499610719416,1.3430499122641715,-0.12300895087220426,0.331156238504704
matched_cu005_1m,20,2.5,-1.1136770143793218,1.7184612498845564,1.3257949696990456,-0.05763169758669902,0.36585310963603845
matched_cu005_1m,20,10,-0.7442719869816594,1.2817085814427038,1.472464745422175,-0.03862577595116155,0.3177711548943085
matched_cu005_1m,40,0.25,3.2484547457862334,0.9717886978954036,1.0997143677885957,0.1902893858250107,0.23412776910558541
matched_cu005_1m,40,2.5,2.6638653885771024,0.3927589957358436,0.957506325834423,0.15652129629745987,0.298321891813913
matched_cu005_1m,40,10,2.0885492079750767,0.5871877631580577,0.9499988902139211,0.12278543952457148,0.28443073587003376
matched_cu005_1m,60,0.25,3.532374389690651,1.0978487229556761,0.5985064995644773,0.24434495287521513,0.5109449328191351
matched_cu005_1m,60,2.5,1.5949654939359847,0.5900468940408191,0.5766132302495341,0.11092780043824668,0.4265618889676581
matched_cu005_1m,60,10,1.9698818289298536,0.364065451688924,0.5746172328447319,0.13695432932477816,0.4176541830472891
matched_cu005_1m,80,0.25,0.8737156138915125,0.3236772631563407,0.3973008632073949,0.06831407033680077,0.48142170612714974
matched_cu005_1m,80,2.5,1.1217772064073817,0.48242643405808483,0.3894974290282738,0.08754583086034343,0.38300189560762643
matched_cu005_1m,80,10,0.6339447041471713,0.270257786108524,0.44694811815488844,0.04956481208184102,0.39643326011240543
matched_cu005_1m,100,0.25,2.1188821789488443,1.4837441004692136,0.6857733886118655,0.1748451561529159,0.45163711935574113
matched_cu005_1m,100,2.5,1.086745836365921,1.5398790940512728,0.47504462779313084,0.09001316298010928,0.31825515618986167
