energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
46,0.00524595,0.00740546,0.00819483,0.00803173,0.00786792,0.00773942,0.00763201,0.00743233,0.00729245,0.00741193,0.00719901,0.00696244,0.00675306,0.00657835,0.0064041,0.00623515,0.00606582,0.00592992,0.00581766,0.00568344,0.00557853,0.00547447,0.00537124,0.00530106,0.00297147
47,0.00521818,0.00735136,0.00813365,0.00797205,0.00780973,0.00768237,0.00757595,0.00737804,0.00724009,0.00735855,0.00714777,0.00691363,0.00670636,0.00653342,0.00636093,0.00619371,0.00602611,0.00589159,0.00578045,0.0056476,0.00554376,0.00544075,0.00533857,0.0052691,0.00295905
48,0.00519091,0.00729842,0.00807378,0.00791364,0.00775279,0.00762655,0.0075211,0.0073249,0.00718885,0.0073063,0.00709762,0.00686583,0.00666063,0.00648942,0.00631866,0.00615312,0.00598721,0.00585405,0.00574399,0.00561248,0.00550968,0.00540769,0.00530654,0.00523776,0.00294681
49,0.00516413,0.00724659,0.00801519,0.00785648,0.00769706,0.00757191,0.0074674,0.00727289,0.00713869,0.00725515,0.00704852,0.00681904,0.00661586,0.00644633,0.00627725,0.00611336,0.00594909,0.00581726,0.00570826,0.00557806,0.00547627,0.00537529,0.00527514,0.00520704,0.00293477
50,0.00513784,0.00719586,0.00795784,0.00780053,0.00764251,0.00751843,0.00741484,0.00722198,0.00708957,0.00720508,0.00700043,0.00677321,0.006572,0.00640412,0.00623668,0.0060744,0.00591175,0.0057812,0.00567324,0.00554433,0.00544352,0.00534353,0.00524435,0.00517691,0.0029229
51,0.00511202,0.00714619,0.00790169,0.00774575,0.0075891,0.00746607,0.00736338,0.00717213,0.00704147,0.00715604,0.00695335,0.00672832,0.00652904,0.00636277,0.00619694,0.00603623,0.00587515,0.00574586,0.00563892,0.00551125,0.00541141,0.00531238,0.00521415,0.00514736,0.00291122
52,0.00508666,0.00709755,0.00784672,0.00769212,0.00753681,0.00741479,0.00731299,0.00712331,0.00699437,0.00710801,0.00690723,0.00668435,0.00648696,0.00632225,0.00615799,0.00599882,0.00583927,0.00571122,0.00560527,0.00547882,0.00537993,0.00528183,0.00518454,0.00511838,0.00289972
53,0.00506176,0.00704991,0.00779289,0.00763959,0.00748559,0.00736458,0.00726364,0.0070755,0.00694823,0.00706097,0.00686205,0.00664127,0.00644572,0.00628255,0.00611982,0.00596215,0.00580411,0.00567726,0.00557227,0.00544703,0.00534905,0.00525187,0.0051555,0.00508995,0.00288839
54,0.0050373,0.00700325,0.00774016,0.00758815,0.00743543,0.0073154,0.0072153,0.00702867,0.00690302,0.00701488,0.00681778,0.00659906,0.00640531,0.00624364,0.00608242,0.00592621,0.00576964,0.00564397,0.00553993,0.00541585,0.00531877,0.00522249,0.005127,0.00506206,0.00287725
55,0.00501327,0.00695754,0.00768852,0.00753775,0.00738629,0.00726722,0.00716795,0.0069828,0.00685874,0.00696973,0.00677441,0.0065577,0.00636571,0.00620551,0.00604575,0.00589097,0.00573584,0.00561132,0.0055082,0.00538527,0.00528907,0.00519367,0.00509905,0.0050347,0.00286627
