# Interpolated TOPAS C-12 delta-electron fraction on the 0.01+0.1*n MeV/u stopping-power grid.
energy_MeVu,delta_electron_fraction
40.81,0.0268149343244
40.91,0.0270172716047
41.01,0.0272190314661
41.11,0.0274155945579
41.21,0.0276121576497
41.31,0.0278087207415
41.41,0.0280052838334
41.51,0.0282018469252
41.61,0.028398410017
41.71,0.0285949731088
41.81,0.0287915362006
41.91,0.0289880992925
42.01,0.0291829084267
42.11,0.0293619319432
42.21,0.0295409554596
42.31,0.0297199789761
42.41,0.0298990024925
42.51,0.0300780260089
42.61,0.0302570495254
42.71,0.0304360730418
42.81,0.0306150965583
42.91,0.0307941200747
43.01,0.0309728227931
43.11,0.0311486383292
43.21,0.0313244538653
43.31,0.0315002694013
43.41,0.0316760849374
43.51,0.0318519004735
43.61,0.0320277160096
43.71,0.0322035315457
43.81,0.0323793470817
43.91,0.0325551626178
44.01,0.0327295532285
44.11,0.0328911195109
44.21,0.0330526857932
44.31,0.0332142520755
44.41,0.0333758183578
44.51,0.0335373846401
44.61,0.0336989509225
44.71,0.0338605172048
44.81,0.0340220834871
44.91,0.0341836497694
45.01,0.0343450297086
45.11,0.0345047325601
45.21,0.0346644354115
45.31,0.034824138263
45.41,0.0349838411144
45.51,0.0351435439659
45.61,0.0353032468173
45.71,0.0354629496688
45.81,0.0356226525202
45.91,0.0357823553717
46.01,0.0359412732699
46.11,0.0360931265893
46.21,0.0362449799087
46.31,0.036396833228
46.41,0.0365486865474
46.51,0.0367005398668
46.61,0.0368523931862
46.71,0.0370042465055
46.81,0.0371560998249
46.91,0.0373079531443
47.01,0.0374594898372
47.11,0.0376081768927
47.21,0.0377568639481
47.31,0.0379055510035
47.41,0.038054238059
47.51,0.0382029251144
47.61,0.0383516121698
47.71,0.0385002992253
47.81,0.0386489862807
47.91,0.0387976733361
48.01,0.0389454789163
48.11,0.0390853512192
48.21,0.039225223522
48.31,0.0393650958249
48.41,0.0395049681278
48.51,0.0396448404306
48.61,0.0397847127335
48.71,0.0399245850364
48.81,0.0400644573392
48.91,0.0402043296421
49.01,0.0403437725112
49.11,0.0404793504762
49.21,0.0406149284413
49.31,0.0407505064063
49.41,0.0408860843714
49.51,0.0410216623364
49.61,0.0411572403014
49.71,0.0412928182665
49.81,0.0414283962315
49.91,0.0415639741966
50.01,0.0416988934648
50.11,0.0418278844615
50.21,0.0419568754583
50.31,0.042085866455
50.41,0.0422148574518
50.51,0.0423438484485
50.61,0.0424728394453
50.71,0.042601830442
50.81,0.0427308214388
50.91,0.0428598124355
51.01,0.0429884680273
51.11,0.0431141049738
51.21,0.0432397419203
51.31,0.0433653788668
51.41,0.0434910158134
51.51,0.0436166527599
51.61,0.0437422897064
51.71,0.043867926653
51.81,0.0439935635995
51.91,0.044119200546
52.01,0.0442445922297
52.11,0.0443677765479
52.21,0.0444909608661
52.31,0.0446141451843
52.41,0.0447373295024
52.51,0.0448605138206
52.61,0.0449836981388
52.71,0.045106882457
52.81,0.0452300667752
52.91,0.0453532510933
53.01,0.0454759063278
53.11,0.0455937998087
53.21,0.0457116932896
53.31,0.0458295867705
53.41,0.0459474802514
53.51,0.0460653737323
53.61,0.0461832672133
53.71,0.0463011606942
53.81,0.0464190541751
53.91,0.046536947656
54.01,0.0466546694848
54.11,0.0467708464447
54.21,0.0468870234047
54.31,0.0470032003646
54.41,0.0471193773246
54.51,0.0472355542845
54.61,0.0473517312445
54.71,0.0474679082044
54.81,0.0475840851644
54.91,0.0477002621243
55.01,0.0478159303791
55.11,0.0479270202867
55.21,0.0480381101943
55.31,0.048149200102
55.41,0.0482602900096
55.51,0.0483713799173
55.61,0.0484824698249
55.71,0.0485935597325
55.81,0.0487046496402
55.91,0.0488157395478
56.01,0.0489265923086
56.11,0.0490353107474
56.21,0.0491440291862
56.31,0.0492527476249
56.41,0.0493614660637
56.51,0.0494701845025
56.61,0.0495789029413
56.71,0.0496876213801
56.81,0.0497963398189
56.91,0.0499050582577
57.01,0.0500134197539
57.11,0.050118568767
57.21,0.0502237177801
57.31,0.0503288667932
57.41,0.0504340158063
57.51,0.0505391648194
57.61,0.0506443138324
57.71,0.0507494628455
57.81,0.0508546118586
57.91,0.0509597608717
58.01,0.0510646832468
58.11,0.0511675658796
58.21,0.0512704485124
58.31,0.0513733311452
58.41,0.051476213778
58.51,0.0515790964108
58.61,0.0516819790436
58.71,0.0517848616764
58.81,0.0518877443092
58.91,0.051990626942
59.01,0.0520933766291
59.11,0.0521949298047
59.21,0.0522964829804
59.31,0.0523980361561
59.41,0.0524995893318
59.51,0.0526011425075
59.61,0.0527026956831
59.71,0.0528042488588
59.81,0.0529058020345
59.91,0.0530073552102
60.01,0.0531085510525
60.11,0.0532065308947
60.21,0.0533045107368
60.31,0.053402490579
60.41,0.0535004704211
60.51,0.0535984502633
60.61,0.0536964301054
60.71,0.0537944099476
60.81,0.0538923897897
60.91,0.0539903696319
61.01,0.0540879715356
61.11,0.0541821719939
61.21,0.0542763724522
61.31,0.0543705729105
61.41,0.0544647733687
61.51,0.054558973827
61.61,0.0546531742853
61.71,0.0547473747436
61.81,0.0548415752019
61.91,0.0549357756601
62.01,0.0550296745316
62.11,0.055120859122
62.21,0.0552120437123
62.31,0.0553032283027
62.41,0.055394412893
62.51,0.0554855974833
62.61,0.0555767820737
62.71,0.055667966664
62.81,0.0557591512544
62.91,0.0558503358447
63.01,0.0559410475395
63.11,0.0560275031749
63.21,0.0561139588102
63.31,0.0562004144455
63.41,0.0562868700808
63.51,0.0563733257161
63.61,0.0564597813515
63.71,0.0565462369868
63.81,0.0566326926221
63.91,0.0567191482574
64.01,0.0568055532504
64.11,0.0568915024629
64.21,0.0569774516753
64.31,0.0570634008878
64.41,0.0571493501002
64.51,0.0572352993126
64.61,0.0573212485251
64.71,0.0574071977375
64.81,0.05749314695
64.91,0.0575790961624
65.01,0.0576649929432
65.11,0.057750417839
