# TOPAS 4.2.p3 / Geant4 11.3.2 Copper neutral macroscopic total cross sections.
pdg_id,energy_MeV,macroscopic_total_cross_section_per_mm,mean_free_path_mm
22,0.0469534,2.77295,0.360627
22,0.0482318,2.57058,0.389018
22,0.049545,2.38378,0.419502
22,0.050894,2.21132,0.452219
22,0.0522797,2.05221,0.48728
22,0.0537032,1.90553,0.524787
22,0.0551654,1.77032,0.564869
22,0.0566674,1.64582,0.607602
22,0.0582103,1.5312,0.653083
22,0.0597952,1.42567,0.701423
22,0.0614233,1.32863,0.752653
22,0.0630957,1.23943,0.806822
22,0.0648137,1.1572,0.864153
22,0.0665784,1.08168,0.924492
22,0.0683912,1.01233,0.98782
22,0.0702533,0.945841,1.05726
22,0.0721661,0.881116,1.13492
22,0.074131,0.822083,1.21642
22,0.0761494,0.768062,1.30198
22,0.0782228,0.718562,1.39167
22,0.0803526,0.67302,1.48584
22,0.0825404,0.63096,1.58489
22,0.0847878,0.592217,1.68857
22,0.0870964,0.556485,1.79699
22,0.0894678,0.523463,1.91035
22,0.0919038,0.492949,2.02861
22,0.0944061,0.464733,2.15177
22,0.0969765,0.438598,2.27999
22,0.099617,0.414405,2.4131
22,0.102329,0.391802,2.55231
22,0.105115,0.370794,2.69691
22,0.107978,0.35132,2.84641
22,0.110917,0.333256,3.00069
22,0.113937,0.316483,3.15973
22,0.11704,0.300927,3.32306
22,0.120226,0.286494,3.49047
22,0.1235,0.273091,3.66178
22,0.126863,0.260583,3.83755
22,0.130317,0.248787,4.01951
22,0.133865,0.237822,4.20483
22,0.13751,0.227639,4.39292
22,0.141254,0.218179,4.58339
22,0.1451,0.209386,4.77588
22,0.14905,0.201217,4.96976
22,0.153109,0.193626,5.1646
22,0.157278,0.186568,5.35998
22,0.16156,0.17984,5.56051
22,0.165959,0.17351,5.76335
22,0.170477,0.167613,5.96613
22,0.175119,0.16212,6.16828
22,0.179887,0.157,6.36945
22,0.184785,0.152225,6.5692
22,0.189816,0.147774,6.76707
22,0.194984,0.143621,6.96277
22,0.200293,0.139712,7.15758
22,0.205747,0.135871,7.35992
22,0.211349,0.132274,7.56009
22,0.217103,0.128903,7.75778
22,0.223015,0.125744,7.95264
22,0.229087,0.122781,8.14458
22,0.235324,0.12,8.33332
22,0.241732,0.11739,8.51863
22,0.248313,0.114936,8.70046
22,0.255074,0.112513,8.88787
22,0.262019,0.110143,9.0791
22,0.269153,0.107905,9.26742
22,0.276482,0.105791,9.45264
22,0.28401,0.103792,9.63465
22,0.291743,0.101901,9.81347
22,0.299686,0.10011,9.98899
22,0.307846,0.098414,10.1612
22,0.316228,0.0968055,10.33
22,0.324838,0.0950948,10.5158
22,0.333682,0.0934665,10.699
22,0.342768,0.0919148,10.8796
22,0.352101,0.0904355,11.0576
22,0.361687,0.0890245,11.2329
22,0.371535,0.0876774,11.4055
22,0.381651,0.0863905,11.5754
22,0.392043,0.0851606,11.7425
22,0.402717,0.0839121,11.9172
22,0.413682,0.082621,12.1035
22,0.424946,0.0813822,12.2877
22,0.436516,0.0801928,12.4699
22,0.448401,0.0790501,12.6502
22,0.46061,0.0779521,12.8284
22,0.473151,0.0768962,13.0045
22,0.486034,0.0758803,13.1786
22,0.499268,0.0749027,13.3507
22,0.512861,0.0738299,13.5446
22,0.526825,0.0727736,13.7412
22,0.54117,0.0717543,13.9365
22,0.555904,0.0707702,14.1303
22,0.57104,0.0698197,14.3226
22,0.586588,0.0689016,14.5134
22,0.60256,0.0680145,14.7027
22,0.618966,0.0671571,14.8905
22,0.635819,0.0662871,15.0859
22,0.653131,0.0653446,15.3035
22,0.670914,0.0644319,15.5203
22,0.689181,0.0635481,15.7361
22,0.707946,0.0626919,15.951
22,0.727221,0.0618624,16.1649
22,0.747022,0.0610584,16.3778
22,0.767361,0.0602792,16.5895
22,0.788255,0.0595238,16.8
22,0.809717,0.0587035,17.0348
22,0.831764,0.0578728,17.2793
22,0.854411,0.0570668,17.5233
22,0.877674,0.0562846,17.7669
22,0.901571,0.0555253,18.0098
22,0.926119,0.0547882,18.2521
22,0.951335,0.0540726,18.4937
22,0.977237,0.0533777,18.7344
22,1.00384,0.0526861,18.9804
22,1.03118,0.0519142,19.2625
22,1.05925,0.0511664,19.5441
22,1.08809,0.0504426,19.8245
22,1.11772,0.0497425,20.1035
22,1.14815,0.0490657,20.3809
22,1.17942,0.0484118,20.6561
22,1.21153,0.0477805,20.929
22,1.24451,0.0471716,21.1992
22,1.2784,0.0465252,21.4937
22,1.31321,0.0458584,21.8063
22,1.34896,0.045216,22.1161
22,1.38569,0.0445979,22.4226
22,1.42342,0.0440039,22.7252
22,1.46218,0.043434,23.0234
22,1.50199,0.0428878,23.3167
22,1.54288,0.0423607,23.6068
22,1.58489,0.0418561,23.8914
22,1.62805,0.0412815,24.2239
22,1.67237,0.0407306,24.5516
22,1.71791,0.0402028,24.8739
22,1.76468,0.0396975,25.1905
22,1.81273,0.0392142,25.501
22,1.86209,0.0387522,25.805
22,1.91279,0.0383112,26.102
22,1.96487,0.0378905,26.3919
22,2.01837,0.0374551,26.6987
22,2.07332,0.0369944,27.0311
22,2.12977,0.0365547,27.3562
22,2.18776,0.0361354,27.6737
22,2.24733,0.0357361,27.9829
22,2.30852,0.0353561,28.2837
22,2.37137,0.034995,28.5755
22,2.43594,0.0346524,28.858
22,2.50227,0.0343277,29.131
22,2.5704,0.0339618,29.4448
22,2.64038,0.0336049,29.7575
22,2.71227,0.0332664,30.0603
22,2.78612,0.0329459,30.3528
22,2.86198,0.0326428,30.6346
22,2.93991,0.0323568,30.9054
22,3.01995,0.0320874,31.1649
22,3.10218,0.0318341,31.4128
22,3.18664,0.03158,31.6656
22,3.27341,0.0313004,31.9484
22,3.36253,0.0310374,32.2192
22,3.45409,0.0307904,32.4776
22,3.54813,0.0305591,32.7235
22,3.64474,0.030343,32.9565
22,3.74398,0.0301418,33.1766
22,3.84592,0.029955,33.3834
22,3.95063,0.0297823,33.577
22,4.0582,0.0295888,33.7965
22,4.16869,0.0293961,34.0182
22,4.2822,0.0292175,34.226
22,4.39879,0.0290529,34.42
22,4.51856,0.0289017,34.6
22,4.64159,0.0287637,34.766
22,4.76797,0.0286385,34.918
22,4.89779,0.0285258,35.056
22,5.03114,0.0284194,35.1872
22,5.16813,0.0282911,35.3468
22,5.30884,0.0281753,35.492
22,5.45339,0.0280717,35.623
22,5.60187,0.02798,35.7398
22,5.7544,0.0278998,35.8426
22,5.91108,0.0278308,35.9314
22,6.07202,0.0277727,36.0066
22,6.23735,0.0277252,36.0682
22,6.40718,0.0276694,36.1409
22,6.58163,0.0276104,36.2182
22,6.76083,0.027562,36.2819
22,6.94491,0.0275238,36.3322
22,7.134,0.0274957,36.3694
22,7.32825,0.0274772,36.3938
22,7.52778,0.0274682,36.4057
22,7.73274,0.0274684,36.4054
22,7.94328,0.0274775,36.3934
22,8.15956,0.0274692,36.4043
22,8.38172,0.0274701,36.4033
22,8.60994,0.0274797,36.3905
22,8.84437,0.0274979,36.3664
22,9.08518,0.0275244,36.3314
22,9.33254,0.027559,36.2858
22,9.58665,0.0276014,36.23
22,9.84767,0.0276514,36.1645
22,10.1158,0.0276997,36.1015
22,10.3912,0.0277433,36.0447
22,10.6742,0.0277945,35.9784
22,10.9648,0.0278528,35.903
22,11.2633,0.0279182,35.8189
22,11.57,0.0279904,35.7265
22,11.885,0.0280692,35.6262
22,12.2086,0.0281544,35.5185
22,12.541,0.0282457,35.4036
22,12.8825,0.0283288,35.2998
22,13.2333,0.0284158,35.1917
22,13.5936,0.0285087,35.077
22,13.9637,0.0286075,34.9559
22,14.3439,0.0287119,34.8287
22,14.7344,0.0288218,34.696
22,15.1356,0.0289369,34.558
22,15.5477,0.0290571,34.4151
22,15.971,0.0291783,34.2721
