# TOPAS/Geant4 C-12 stopping power in Copper (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
73.11,195.469
73.21,195.273
73.31,195.076
73.41,194.881
73.51,194.686
73.61,194.491
73.71,194.297
73.81,194.103
73.91,193.909
74.01,193.717
74.11,193.524
74.21,193.332
74.31,193.141
74.41,192.95
74.51,192.76
74.61,192.57
74.71,192.38
74.81,192.191
74.91,192.002
75.01,191.814
75.11,191.627
75.21,191.439
75.31,191.253
75.41,191.066
75.51,190.88
75.61,190.695
75.71,190.51
75.81,190.326
75.91,190.141
76.01,189.958
76.11,189.775
76.21,189.592
76.31,189.41
76.41,189.228
76.51,189.046
76.61,188.865
76.71,188.685
76.81,188.505
76.91,188.325
77.01,188.146
77.11,187.967
77.21,187.789
77.31,187.611
77.41,187.433
77.51,187.256
77.61,187.079
77.71,186.903
77.81,186.727
77.91,186.551
78.01,186.376
78.11,186.202
78.21,186.027
78.31,185.854
78.41,185.68
78.51,185.507
78.61,185.335
78.71,185.162
78.81,184.991
78.91,184.819
79.01,184.648
79.11,184.477
79.21,184.307
79.31,184.137
79.41,183.968
79.51,183.799
79.61,183.63
79.71,183.462
79.81,183.294
79.91,183.127
80.01,182.96
80.11,182.793
80.21,182.627
80.31,182.461
80.41,182.295
80.51,182.13
80.61,181.965
80.71,181.801
80.81,181.636
80.91,181.473
81.01,181.309
81.11,181.147
81.21,180.984
81.31,180.822
81.41,180.66
81.51,180.498
81.61,180.337
81.71,180.176
81.81,180.016
81.91,179.856
82.01,179.696
82.11,179.537
82.21,179.378
82.31,179.219
82.41,179.061
82.51,178.903
82.61,178.746
82.71,178.589
82.81,178.432
82.91,178.275
83.01,178.119
83.11,177.963
83.21,177.808
83.31,177.653
83.41,177.498
83.51,177.343
83.61,177.189
83.71,177.036
83.81,176.882
83.91,176.729
84.01,176.576
84.11,176.424
84.21,176.272
84.31,176.12
84.41,175.969
84.51,175.817
84.61,175.667
84.71,175.516
84.81,175.366
84.91,175.216
85.01,175.067
85.11,174.918
85.21,174.769
85.31,174.62
85.41,174.472
85.51,174.324
85.61,174.177
85.71,174.03
85.81,173.883
85.91,173.736
86.01,173.59
86.11,173.444
86.21,173.298
86.31,173.153
86.41,173.008
86.51,172.863
86.61,172.719
86.71,172.574
86.81,172.431
86.91,172.287
87.01,172.144
87.11,172.001
87.21,171.858
87.31,171.716
87.41,171.574
87.51,171.432
87.61,171.288
87.71,171.145
87.81,171.002
87.91,170.858
88.01,170.716
88.11,170.573
88.21,170.431
88.31,170.289
88.41,170.148
88.51,170.007
88.61,169.866
88.71,169.725
88.81,169.585
88.91,169.445
89.01,169.305
89.11,169.165
89.21,169.026
89.31,168.887
89.41,168.748
89.51,168.61
89.61,168.472
89.71,168.334
89.81,168.197
89.91,168.06
90.01,167.923
90.11,167.786
90.21,167.65
90.31,167.513
90.41,167.378
90.51,167.242
90.61,167.107
90.71,166.972
90.81,166.837
90.91,166.703
91.01,166.568
91.11,166.435
91.21,166.301
91.31,166.167
91.41,166.034
91.51,165.902
91.61,165.769
91.71,165.637
91.81,165.505
91.91,165.373
92.01,165.241
92.11,165.11
92.21,164.979
92.31,164.848
92.41,164.718
92.51,164.588
92.61,164.458
92.71,164.328
92.81,164.199
92.91,164.069
93.01,163.941
93.11,163.812
93.21,163.684
93.31,163.555
93.41,163.427
93.51,163.3
93.61,163.172
93.71,163.045
93.81,162.918
93.91,162.792
94.01,162.665
94.11,162.539
94.21,162.413
94.31,162.288
94.41,162.162
94.51,162.037
94.61,161.912
94.71,161.787
94.81,161.663
94.91,161.539
95.01,161.415
95.11,161.291
95.21,161.168
95.31,161.044
95.41,160.921
95.51,160.798
95.61,160.676
95.71,160.554
95.81,160.432
95.91,160.31
96.01,160.188
96.11,160.067
96.21,159.946
96.31,159.825
96.41,159.704
96.51,159.584
96.61,159.463
96.71,159.343
96.81,159.224
96.91,159.104
97.01,158.985
97.11,158.866
97.21,158.747
97.31,158.628
97.41,158.51
97.51,158.392
97.61,158.274
97.71,158.156
97.81,158.039
97.91,157.921
98.01,157.804
98.11,157.687
98.21,157.571
98.31,157.454
98.41,157.338
98.51,157.222
98.61,157.106
98.71,156.991
98.81,156.875
98.91,156.76
99.01,156.645
99.11,156.531
99.21,156.416
99.31,156.302
99.41,156.188
99.51,156.074
99.61,155.961
99.71,155.847
99.81,155.734
99.91,155.621
100.01,155.508
100.11,155.395
100.21,155.283
100.31,155.171
100.41,155.059
100.51,154.947
100.61,154.836
100.71,154.724
100.81,154.613
100.91,154.502
101.01,154.391
101.11,154.281
101.21,154.171
101.31,154.06
101.41,153.95
101.51,153.841
101.61,153.731
101.71,153.622
101.81,153.513
101.91,153.404
102.01,153.295
102.11,153.186
102.21,153.078
102.31,152.97
102.41,152.862
102.51,152.754
102.61,152.647
102.71,152.539
102.81,152.432
102.91,152.325
103.01,152.218
103.11,152.111
103.21,152.005
103.31,151.899
103.41,151.793
103.51,151.687
103.61,151.581
103.71,151.476
103.81,151.37
103.91,151.265
104.01,151.16
104.11,151.056
104.21,150.951
104.31,150.847
104.41,150.743
104.51,150.638
104.61,150.535
104.71,150.431
104.81,150.328
104.91,150.224
105.01,150.121
105.11,150.018
105.21,149.916
105.31,149.813
105.41,149.711
105.51,149.608
105.61,149.506
105.71,149.405
105.81,149.303
105.91,149.201
106.01,149.1
106.11,148.999
106.21,148.898
106.31,148.797
106.41,148.697
106.51,148.596
106.61,148.496
106.71,148.396
106.81,148.296
106.91,148.196
107.01,148.097
107.11,147.997
107.21,147.898
107.31,147.799
107.41,147.7
107.51,147.602
107.61,147.503
107.71,147.405
107.81,147.306
107.91,147.208
108.01,147.111
108.11,147.013
108.21,146.915
108.31,146.818
108.41,146.721
108.51,146.624
108.61,146.527
108.71,146.43
108.81,146.334
108.91,146.237
109.01,146.141
109.11,146.045
109.21,145.949
109.31,145.854
109.41,145.758
109.51,145.663
109.61,145.567
109.71,145.472
109.81,145.377
109.91,145.283
110.01,145.188
110.11,145.094
110.21,144.999
110.31,144.905
110.41,144.811
110.51,144.718
110.61,144.624
110.71,144.53
110.81,144.437
110.91,144.344
111.01,144.251
111.11,144.158
111.21,144.065
111.31,143.973
111.41,143.88
111.51,143.788
111.61,143.696
111.71,143.604
111.81,143.512
111.91,143.421
112.01,143.329
112.11,143.238
112.21,143.147
112.31,143.056
112.41,142.965
112.51,142.874
112.61,142.784
112.71,142.693
112.81,142.603
112.91,142.513
113.01,142.423
113.11,142.333
113.21,142.243
113.31,142.154
113.41,142.064
113.51,141.975
113.61,141.886
113.71,141.797
113.81,141.708
113.91,141.62
114.01,141.531
114.11,141.443
114.21,141.355
114.31,141.266
114.41,141.179
114.51,141.091
114.61,141.003
114.71,140.916
114.81,140.828
114.91,140.741
115.01,140.654
115.11,140.567
115.21,140.48
115.31,140.393
115.41,140.307
115.51,140.221
115.61,140.134
115.71,140.048
115.81,139.962
115.91,139.876
116.01,139.791
116.11,139.705
116.21,139.62
116.31,139.534
116.41,139.449
116.51,139.364
116.61,139.279
116.71,139.195
116.81,139.11
116.91,139.026
117.01,138.941
117.11,138.857
117.21,138.773
117.31,138.689
117.41,138.605
117.51,138.522
117.61,138.438
117.71,138.355
117.81,138.271
117.91,138.188
118.01,138.105
118.11,138.022
118.21,137.94
118.31,137.857
118.41,137.775
118.51,137.692
118.61,137.61
118.71,137.528
118.81,137.446
118.91,137.364
119.01,137.282
119.11,137.201
119.21,137.119
119.31,137.038
119.41,136.957
119.51,136.876
119.61,136.795
119.71,136.714
119.81,136.633
119.91,136.553
120.01,136.472
120.11,136.392
120.21,136.312
120.31,136.232
120.41,136.152
120.51,136.072
120.61,135.992
120.71,135.913
120.81,135.833
120.91,135.754
121.01,135.675
121.11,135.596
121.21,135.517
121.31,135.438
121.41,135.359
121.51,135.281
121.61,135.202
121.71,135.124
121.81,135.046
121.91,134.968
122.01,134.89
122.11,134.812
122.21,134.734
122.31,134.656
122.41,134.579
122.51,134.501
122.61,134.424
122.71,134.347
122.81,134.27
122.91,134.193
123.01,134.116
123.11,134.039
123.21,133.962
123.31,133.886
123.41,133.809
123.51,133.733
123.61,133.657
123.71,133.581
123.81,133.504
123.91,133.429
124.01,133.353
124.11,133.277
124.21,133.202
124.31,133.126
124.41,133.051
124.51,132.976
124.61,132.901
124.71,132.826
124.81,132.751
124.91,132.676
125.01,132.601
125.11,132.527
125.21,132.452
125.31,132.378
125.41,132.304
125.51,132.23
125.61,132.156
125.71,132.082
125.81,132.008
125.91,131.935
126.01,131.861
126.11,131.788
126.21,131.714
126.31,131.641
126.41,131.568
126.51,131.495
126.61,131.422
126.71,131.349
126.81,131.277
126.91,131.204
127.01,131.132
127.11,131.059
127.21,130.987
127.31,130.915
127.41,130.843
127.51,130.771
127.61,130.699
127.71,130.627
127.81,130.556
127.91,130.484
128.01,130.413
128.11,130.342
128.21,130.27
128.31,130.199
128.41,130.128
128.51,130.058
128.61,129.987
128.71,129.916
128.81,129.846
128.91,129.775
129.01,129.705
129.11,129.634
129.21,129.564
129.31,129.494
129.41,129.424
129.51,129.355
129.61,129.285
129.71,129.215
129.81,129.146
129.91,129.076
130.01,129.007
130.11,128.938
130.21,128.87
130.31,128.803
130.41,128.737
130.51,128.67
130.61,128.604
130.71,128.537
130.81,128.471
130.91,128.405
131.01,128.339
131.11,128.273
131.21,128.207
131.31,128.141
131.41,128.075
131.51,128.009
131.61,127.944
131.71,127.878
131.81,127.813
131.91,127.748
132.01,127.682
132.11,127.617
132.21,127.552
132.31,127.487
132.41,127.423
132.51,127.358
132.61,127.293
132.71,127.229
132.81,127.164
132.91,127.1
133.01,127.035
133.11,126.971
133.21,126.907
133.31,126.843
133.41,126.779
133.51,126.715
133.61,126.651
133.71,126.588
133.81,126.524
133.91,126.461
134.01,126.397
