energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
290,3480,12.8899,12.8899,0
291,3492,12.865,12.865,0
292,3504,12.8403,12.8403,0
293,3516,12.8158,12.8158,0
294,3528,12.7914,12.7914,0
295,3540,12.7672,12.7672,0
296,3552,12.7432,12.7432,0
297,3564,12.7193,12.7193,0
298,3576,12.6956,12.6956,0
299,3588,12.672,12.672,0
300,3600,12.6486,12.6486,0
301,3612,12.6253,12.6253,0
302,3624,12.6022,12.6022,0
303,3636,12.5793,12.5793,0
304,3648,12.5565,12.5565,0
305,3660,12.5339,12.5339,0
306,3672,12.5114,12.5114,0
307,3684,12.489,12.489,0
308,3696,12.4668,12.4668,0
309,3708,12.4448,12.4448,0
310,3720,12.4228,12.4228,0
311,3732,12.4011,12.4011,0
312,3744,12.3794,12.3794,0
313,3756,12.3579,12.3579,0
314,3768,12.3366,12.3366,0
315,3780,12.3153,12.3153,0
316,3792,12.2943,12.2943,0
317,3804,12.2733,12.2733,0
318,3816,12.2525,12.2525,0
319,3828,12.2318,12.2318,0
320,3840,12.2112,12.2112,0
321,3852,12.1908,12.1908,0
322,3864,12.1705,12.1705,0
323,3876,12.1503,12.1503,0
324,3888,12.1303,12.1303,0
325,3900,12.1103,12.1103,0
326,3912,12.0905,12.0905,0
327,3924,12.0708,12.0708,0
328,3936,12.0513,12.0513,0
329,3948,12.0318,12.0318,0
330,3960,12.0125,12.0125,0
331,3972,11.9933,11.9933,0
332,3984,11.9742,11.9742,0
333,3996,11.9552,11.9552,0
334,4008,11.9364,11.9364,0
335,4020,11.9176,11.9176,0
336,4032,11.899,11.899,0
337,4044,11.8805,11.8805,0
338,4056,11.8621,11.8621,0
339,4068,11.8438,11.8438,0
340,4080,11.8256,11.8256,0
341,4092,11.8075,11.8075,0
342,4104,11.7895,11.7895,0
343,4116,11.7717,11.7717,0
344,4128,11.7539,11.7539,0
345,4140,11.7363,11.7363,0
346,4152,11.7187,11.7187,0
347,4164,11.7012,11.7012,0
348,4176,11.6839,11.6839,0
349,4188,11.6666,11.6666,0
350,4200,11.6495,11.6495,0
351,4212,11.6324,11.6324,0
352,4224,11.6155,11.6155,0
353,4236,11.5986,11.5986,0
354,4248,11.5819,11.5819,0
355,4260,11.5652,11.5652,0
356,4272,11.5487,11.5487,0
357,4284,11.5322,11.5322,0
358,4296,11.5158,11.5158,0
359,4308,11.4995,11.4995,0
360,4320,11.4833,11.4833,0
361,4332,11.4672,11.4672,0
362,4344,11.4512,11.4512,0
363,4356,11.4353,11.4353,0
364,4368,11.4195,11.4195,0
365,4380,11.4037,11.4037,0
366,4392,11.3881,11.3881,0
367,4404,11.3725,11.3725,0
368,4416,11.357,11.357,0
369,4428,11.3416,11.3416,0
370,4440,11.3263,11.3263,0
371,4452,11.3111,11.3111,0
372,4464,11.2959,11.2959,0
373,4476,11.2809,11.2809,0
374,4488,11.2659,11.2659,0
375,4500,11.251,11.251,0
376,4512,11.2362,11.2362,0
377,4524,11.2214,11.2214,0
378,4536,11.2068,11.2068,0
379,4548,11.1922,11.1922,0
380,4560,11.1777,11.1777,0
381,4572,11.1633,11.1633,0
382,4584,11.1489,11.1489,0
383,4596,11.1347,11.1347,0
384,4608,11.1205,11.1205,0
385,4620,11.1064,11.1064,0
386,4632,11.0923,11.0923,0
387,4644,11.0784,11.0784,0
388,4656,11.0645,11.0645,0
389,4668,11.0507,11.0507,0
390,4680,11.0369,11.0369,0
391,4692,11.0232,11.0232,0
392,4704,11.0096,11.0096,0
393,4716,10.9961,10.9961,0
394,4728,10.9826,10.9826,0
395,4740,10.9692,10.9692,0
396,4752,10.9559,10.9559,0
397,4764,10.9427,10.9427,0
398,4776,10.9295,10.9295,0
399,4788,10.9164,10.9164,0
400,4800,10.9033,10.9033,0
