# TOPAS/Geant4 C-12 stopping power in G4_LUNG_ICRP (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
72.11,34.5656
72.21,34.5287
72.31,34.4919
72.41,34.4552
72.51,34.4186
72.61,34.3821
72.71,34.3457
72.81,34.3094
72.91,34.2731
73.01,34.237
73.11,34.2009
73.21,34.165
73.31,34.1291
73.41,34.0934
73.51,34.0577
73.61,34.0221
73.71,33.9866
73.81,33.9512
73.91,33.9159
74.01,33.8806
74.11,33.8455
74.21,33.8104
74.31,33.7755
74.41,33.7406
74.51,33.7058
74.61,33.6711
74.71,33.6365
74.81,33.6019
74.91,33.5675
75.01,33.5331
75.11,33.4989
75.21,33.4647
75.31,33.4306
75.41,33.3966
75.51,33.3626
75.61,33.3288
75.71,33.295
75.81,33.2614
75.91,33.2278
76.01,33.1942
76.11,33.1608
76.21,33.1275
76.31,33.0942
76.41,33.061
76.51,33.0279
76.61,32.9949
76.71,32.9619
76.81,32.9291
76.91,32.8963
77.01,32.8636
77.11,32.831
77.21,32.7984
77.31,32.766
77.41,32.7336
77.51,32.7013
77.61,32.669
77.71,32.6369
77.81,32.6048
77.91,32.5728
78.01,32.5409
78.11,32.509
78.21,32.4773
78.31,32.4456
78.41,32.414
78.51,32.3824
78.61,32.351
78.71,32.3196
78.81,32.2882
78.91,32.257
79.01,32.2258
79.11,32.1947
79.21,32.1637
79.31,32.1328
79.41,32.1019
79.51,32.0711
79.61,32.0404
79.71,32.0097
79.81,31.9791
79.91,31.9486
80.01,31.9182
80.11,31.8878
80.21,31.8575
80.31,31.8273
80.41,31.7971
80.51,31.7671
80.61,31.737
80.71,31.7071
80.81,31.6772
80.91,31.6474
81.01,31.6177
81.11,31.588
81.21,31.5584
81.31,31.5289
81.41,31.4994
81.51,31.47
81.61,31.4407
81.71,31.4114
81.81,31.3822
81.91,31.3531
82.01,31.324
82.11,31.295
82.21,31.2661
82.31,31.2372
82.41,31.2084
82.51,31.1797
82.61,31.1511
82.71,31.1225
82.81,31.0939
82.91,31.0654
83.01,31.037
83.11,31.0087
83.21,30.9804
83.31,30.9522
83.41,30.924
83.51,30.896
83.61,30.8679
83.71,30.84
83.81,30.8121
83.91,30.7842
84.01,30.7565
84.11,30.7287
84.21,30.7011
84.31,30.6735
84.41,30.646
84.51,30.6185
84.61,30.5911
84.71,30.5637
84.81,30.5365
84.91,30.5092
85.01,30.4821
85.11,30.455
85.21,30.4279
85.31,30.4009
85.41,30.374
85.51,30.3471
85.61,30.3203
85.71,30.2936
85.81,30.2669
85.91,30.2402
86.01,30.2137
86.11,30.1871
86.21,30.1607
86.31,30.1343
86.41,30.1079
86.51,30.0816
86.61,30.0554
86.71,30.0292
86.81,30.0031
86.91,29.9771
87.01,29.951
87.11,29.9251
87.21,29.8992
87.31,29.8734
87.41,29.8476
87.51,29.8219
87.61,29.7962
87.71,29.7706
87.81,29.745
87.91,29.7195
88.01,29.694
88.11,29.6686
88.21,29.6433
88.31,29.618
88.41,29.5928
88.51,29.5676
88.61,29.5424
88.71,29.5174
88.81,29.4923
88.91,29.4674
89.01,29.4424
89.11,29.4176
89.21,29.3928
89.31,29.368
89.41,29.3433
89.51,29.3186
89.61,29.294
89.71,29.2695
89.81,29.2449
89.91,29.2205
90.01,29.1961
90.11,29.1717
90.21,29.1474
90.31,29.1232
90.41,29.099
90.51,29.0748
90.61,29.0507
90.71,29.0267
90.81,29.0027
90.91,28.9787
91.01,28.9548
91.11,28.931
91.21,28.9072
91.31,28.8834
91.41,28.8597
91.51,28.836
91.61,28.8124
91.71,28.7889
91.81,28.7653
91.91,28.7419
92.01,28.7185
92.11,28.6951
92.21,28.6718
92.31,28.6485
92.41,28.6253
92.51,28.6021
92.61,28.5789
92.71,28.5559
92.81,28.5328
92.91,28.5098
93.01,28.4869
93.11,28.464
93.21,28.4411
93.31,28.4183
93.41,28.3955
93.51,28.3728
93.61,28.3501
93.71,28.3275
93.81,28.3049
93.91,28.2824
94.01,28.2599
94.11,28.2375
94.21,28.2151
94.31,28.1927
94.41,28.1704
94.51,28.1481
94.61,28.1259
94.71,28.1037
94.81,28.0816
94.91,28.0595
95.01,28.0374
95.11,28.0154
95.21,27.9934
95.31,27.9715
95.41,27.9496
95.51,27.9278
95.61,27.906
95.71,27.8843
95.81,27.8626
95.91,27.8409
96.01,27.8193
96.11,27.7977
96.21,27.7762
96.31,27.7547
96.41,27.7332
96.51,27.7118
96.61,27.6904
96.71,27.6691
96.81,27.6478
96.91,27.6266
97.01,27.6054
97.11,27.5842
97.21,27.5631
97.31,27.542
97.41,27.5209
97.51,27.4999
97.61,27.479
97.71,27.4581
97.81,27.4372
97.91,27.4163
98.01,27.3955
98.11,27.3748
98.21,27.354
98.31,27.3334
98.41,27.3127
98.51,27.2921
98.61,27.2716
98.71,27.251
98.81,27.2305
98.91,27.2101
99.01,27.1897
99.11,27.1693
99.21,27.149
99.31,27.1287
99.41,27.1084
99.51,27.0882
99.61,27.068
99.71,27.0479
99.81,27.0278
99.91,27.0077
100.01,26.9877
100.11,26.9677
100.21,26.9477
100.31,26.9278
100.41,26.908
100.51,26.8881
