# TOPAS 4.2.p3 / Geant4 11.3.2 SchneiderSection07 ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,14.91,3.33032,3.33032,0,0,0.000481041067879
1,1,15.01,3.31225,3.31225,0,0,0.000494650677295
1,1,15.11,3.2944,3.2944,0,0,0.00050826028671
1,1,15.21,3.27675,3.27675,0,0,0.000521869896126
1,1,15.31,3.25931,3.25931,0,0,0.000535479505542
1,1,15.41,3.24206,3.24206,0,0,0.000549089114958
1,1,15.51,3.22502,3.22502,0,0,0.000562698724374
1,1,15.61,3.20818,3.20818,0,0,0.00057630833379
1,1,15.71,3.19153,3.19153,0,0,0.000589917943206
1,1,15.81,3.17507,3.17507,0,0,0.000603527552622
1,1,15.91,3.15879,3.15879,0,0,0.000617137162038
1,1,16.01,3.1427,3.1427,0,0,0.000630825468387
1,1,16.11,3.12679,3.12679,0,0,0.000645222047138
1,1,16.21,3.11106,3.11106,0,0,0.000659618625888
1,1,16.31,3.09551,3.09551,0,0,0.000674015204639
1,1,16.41,3.08012,3.08012,0,0,0.000688411783389
1,1,16.51,3.0649,3.0649,0,0,0.00070280836214
1,1,16.61,3.04985,3.04985,0,0,0.00071720494089
1,1,16.71,3.03496,3.03496,0,0,0.000731601519641
1,1,16.81,3.02024,3.02024,0,0,0.000745998098391
1,1,16.91,3.00567,3.00567,0,0,0.000760394677142
1,1,17.01,2.99125,2.99125,0,0,0.000776111583329
1,1,17.11,2.97699,2.97699,0,0,0.000803711436445
1,1,17.21,2.96288,2.96288,0,0,0.000831311289561
1,1,17.31,2.94892,2.94892,0,0,0.000858911142678
1,1,17.41,2.9351,2.9351,0,0,0.000886510995794
1,1,17.51,2.92142,2.92142,0,0,0.00091411084891
1,1,17.61,2.90789,2.90789,0,0,0.000941710702026
1,1,17.71,2.89449,2.89449,0,0,0.000969310555143
1,1,17.81,2.88123,2.88123,0,0,0.000996910408259
1,1,17.91,2.8681,2.8681,0,0,0.00102451026138
1,1,18.01,2.85511,2.85511,0,0,0.00105211011449
1,1,18.11,2.84225,2.84225,0,0,0.00107970996761
1,1,18.21,2.82951,2.82951,0,0,0.00110730982072
1,1,18.31,2.8169,2.8169,0,0,0.00113490967384
1,1,18.41,2.80442,2.80442,0,0,0.00116250952696
1,1,18.51,2.79205,2.79205,0,0,0.00119010938007
1,1,18.61,2.77981,2.77981,0,0,0.00121770923319
1,1,18.71,2.76769,2.76769,0,0,0.0012453090863
1,1,18.81,2.75568,2.75568,0,0,0.00127290893942
1,1,18.91,2.74379,2.74379,0,0,0.00130050879254
1,1,19.01,2.73201,2.73201,0,0,0.00132810864565
1,1,19.11,2.72035,2.72035,0,0,0.00135570849877
1,1,19.21,2.70879,2.70879,0,0,0.00138330835188
1,1,19.31,2.69734,2.69734,0,0,0.001410908205
1,1,19.41,2.686,2.686,0,0,0.00143850805812
1,1,19.51,2.67477,2.67477,0,0,0.00146610791123
1,1,19.61,2.66364,2.66364,0,0,0.00149370776435
1,1,19.71,2.65261,2.65261,0,0,0.00152130761746
1,1,19.81,2.64168,2.64168,0,0,0.00154890747058
1,1,19.91,2.63086,2.63086,0,0,0.0015765073237
1,1,20.01,2.62013,2.62013,0,0,0.00160437655166
1,1,20.11,2.6095,2.6095,0,0,0.00163467015327
1,1,20.21,2.59896,2.59896,0,0,0.00166496375489
1,1,20.31,2.58852,2.58852,0,0,0.0016952573565
1,1,20.41,2.57817,2.57817,0,0,0.00172555095811
1,1,20.51,2.56792,2.56792,0,0,0.00175584455973
1,1,20.61,2.55775,2.55775,0,0,0.00178613816134
1,1,20.71,2.54767,2.54767,0,0,0.00181643176295
1,1,20.81,2.53769,2.53769,0,0,0.00184672536457
1,1,20.91,2.52778,2.52778,0,0,0.00187701896618
1,1,21.01,2.51797,2.51797,0,0,0.00190805363983
1,1,21.11,2.50824,2.50824,0,0,0.00194575796187
1,1,21.21,2.49859,2.49859,0,0,0.0019834622839
1,1,21.31,2.48902,2.48902,0,0,0.00202116660593
1,1,21.41,2.47954,2.47954,0,0,0.00205887092797
1,1,21.51,2.47014,2.47014,0,0,0.00209657525
1,1,21.61,2.46081,2.46081,0,0,0.00213427957203
1,1,21.71,2.45157,2.45157,0,0,0.00217198389406
1,1,21.81,2.4424,2.4424,0,0,0.0022096882161
1,1,21.91,2.4333,2.4333,0,0,0.00224739253813
1,1,22.01,2.42429,2.42429,0,0,0.00228509686016
1,1,22.11,2.41534,2.41534,0,0,0.0023228011822
1,1,22.21,2.40647,2.40647,0,0,0.00236050550423
1,1,22.31,2.39768,2.39768,0,0,0.00239820982627
1,1,22.41,2.38895,2.38895,0,0,0.0024359141483
1,1,22.51,2.38029,2.38029,0,0,0.00247361847033
1,1,22.61,2.37171,2.37171,0,0,0.00251132279237
1,1,22.71,2.36319,2.36319,0,0,0.0025490271144
1,1,22.81,2.35474,2.35474,0,0,0.00258673143644
1,1,22.91,2.34636,2.34636,0,0,0.00262443575847
1,1,23.01,2.33805,2.33805,0,0,0.0026621400805
1,1,23.11,2.3298,2.3298,0,0,0.00269984440254
1,1,23.21,2.32161,2.32161,0,0,0.00273754872457
1,1,23.31,2.31349,2.31349,0,0,0.0027752530466
1,1,23.41,2.30544,2.30544,0,0,0.00281295736864
1,1,23.51,2.29744,2.29744,0,0,0.00285066169067
1,1,23.61,2.28951,2.28951,0,0,0.0028883660127
1,1,23.71,2.28164,2.28164,0,0,0.00292607033473
1,1,23.81,2.27383,2.27383,0,0,0.00296377465677
1,1,23.91,2.26608,2.26608,0,0,0.0030014789788
1,1,24.01,2.25838,2.25838,0,0,0.00304055422144
1,1,24.11,2.25075,2.25075,0,0,0.00309196774957
1,1,24.21,2.24317,2.24317,0,0,0.00314338127771
1,1,24.31,2.23565,2.23565,0,0,0.00319479480584
1,1,24.41,2.22819,2.22819,0,0,0.00324620833397
1,1,24.51,2.22078,2.22078,0,0,0.0032976218621
1,1,24.61,2.21343,2.21343,0,0,0.00334903539023
1,1,24.71,2.20613,2.20613,0,0,0.00340044891836
1,1,24.81,2.19888,2.19888,0,0,0.00345186244649
1,1,24.91,2.19169,2.19169,0,0,0.00350327597462
1,1,25.01,2.18455,2.18455,0,0,0.00355481593522
1,1,25.11,2.17746,2.17746,0,0,0.00360749378805
1,1,25.21,2.17043,2.17043,0,0,0.00366017164088
1,1,25.31,2.16344,2.16344,0,0,0.00371284949371
1,1,25.41,2.15651,2.15651,0,0,0.00376552734654
1,1,25.51,2.14962,2.14962,0,0,0.00381820519937
1,1,25.61,2.14279,2.14279,0,0,0
1,1,25.71,2.136,2.136,0,0,0
1,1,25.81,2.12926,2.12879,0,0.000218212,0.00114032947271
1,1,25.91,2.12257,2.12151,0,0.000496923,0.00192661508231
1,1,26.01,2.11592,2.11428,0,0.000774208,0.00240123639725
1,1,26.11,2.10932,2.10711,0,0.00105008,0.00272795156147
1,1,26.21,2.10277,2.09999,0,0.00132455,0.00297293123691
1,1,26.31,2.09626,2.09292,0,0.00159763,0.00316796233855
1,1,26.41,2.0898,2.0859,0,0.00186933,0.00333027694048
1,1,26.51,2.08339,2.07893,0,0.00213967,0.00346996388238
1,1,26.61,2.07701,2.07201,0,0.00240866,0.00359338467468
1,1,26.71,2.07068,2.06514,0,0.00267631,0.0037046964447
1,1,26.81,2.0644,2.05832,0,0.00294263,0.00380675749438
1,1,26.91,2.05816,2.05155,0,0.00320763,0.00390159219698
1,1,27.01,2.05195,2.04483,0,0.00347133,0.00399437387555
1,1,27.11,2.0458,2.03816,0,0.00373374,0.00411618449578
1,1,27.21,2.03968,2.03153,0,0.00399486,0.00423478832969
1,1,27.31,2.0336,2.02495,0,0.00425471,0.00435074731169
1,1,27.41,2.02756,2.01841,0,0.00451329,0.00446445878561
1,1,27.51,2.02157,2.01192,0,0.00477063,0.00457630007976
1,1,27.61,2.01561,2.00548,0,0.00502673,0.00468652571235
1,1,27.71,2.0097,1.99908,0,0.0052816,0.00479535082537
1,1,27.81,2.00382,1.99273,0,0.00553525,0.00490297612854
1,1,27.91,1.99798,1.98642,0,0.0057877,0.00500954693701
1,1,28.01,1.99218,1.98015,0,0.00603894,0.00511575064539
1,1,28.11,1.98641,1.97392,0,0.006289,0.00522620252909
1,1,28.21,1.98069,1.96774,0,0.00653787,0.00533595371678
1,1,28.31,1.975,1.9616,0,0.00678558,0.00544509579373
1,1,28.41,1.96935,1.9555,0,0.00703213,0.00555368511349
1,1,28.51,1.96373,1.94944,0,0.00727754,0.00566178541733
1,1,28.61,1.95815,1.94342,0,0.0075218,0.00576942971215
1,1,28.71,1.95261,1.93745,0,0.00776493,0.00587666843396
1,1,28.81,1.9471,1.93151,0,0.00800694,0.00598354593228
1,1,28.91,1.94163,1.92561,0,0.00824783,0.00609008058419
1,1,29.01,1.93619,1.91975,0,0.00848763,0.00619656616978
1,1,29.11,1.93078,1.91393,0,0.00872633,0.00630502358093
1,1,29.21,1.92541,1.90815,0,0.00896394,0.00641322426749
1,1,29.31,1.92007,1.90241,0,0.00920048,0.00652120221524
1,1,29.41,1.91477,1.8967,0,0.00943595,0.00662896816797
1,1,29.51,1.9095,1.89103,0,0.00967036,0.00673657132105
1,1,29.61,1.90426,1.8854,0,0.00990371,0.0068439464832
1,1,29.71,1.89905,1.8798,0,0.010136,0.00695111396821
1,1,29.81,1.89388,1.87424,0,0.0103673,0.00705819861493
1,1,29.91,1.88873,1.86872,0,0.0105976,0.00716513835819
1,1,30.01,1.88362,1.86323,0,0.0108268,0.00727537530842
1,1,30.11,1.87854,1.85777,0,0.011055,0.00741638035175
1,1,30.21,1.87349,1.85236,0,0.0112822,0.00755739635734
1,1,30.31,1.86847,1.84697,0,0.0115085,0.00769836534839
1,1,30.41,1.86349,1.84162,0,0.0117337,0.00783928441757
1,1,30.51,1.85853,1.8363,0,0.011958,0.00798016203684
1,1,30.61,1.8536,1.83102,0,0.0121812,0.00812093115166
1,1,30.71,1.8487,1.82577,0,0.0124036,0.0082617301602
1,1,30.81,1.84383,1.82055,0,0.0126249,0.00840248906438
1,1,30.91,1.83899,1.81537,0,0.0128453,0.00854315124379
1,1,31.01,1.83418,1.81021,0,0.0130648,0.00868384624965
1,1,31.11,1.82939,1.80509,0,0.0132833,0.00882450925061
1,1,31.21,1.82464,1.8,0,0.0135009,0.00896514430133
1,1,31.31,1.81991,1.79494,0,0.0137176,0.00910575277219
1,1,31.41,1.81521,1.78992,0,0.0139334,0.00924633594144
1,1,31.51,1.81054,1.78492,0,0.0141482,0.00938682865634
1,1,31.61,1.80589,1.77995,0,0.0143622,0.0095273647359
1,1,31.71,1.80127,1.77502,0,0.0145752,0.00966787659882
1,1,31.81,1.79668,1.77011,0,0.0147874,0.00980836978743
1,1,31.91,1.79211,1.76523,0,0.0149987,0.00994884292002
1,1,32.01,1.78757,1.76039,0,0.0152091,0.0100902268735
1,1,32.11,1.78306,1.75557,0,0.0154186,0.0102406094329
1,1,32.21,1.77857,1.75078,0,0.0156273,0.0103909856429
1,1,32.31,1.77411,1.74602,0,0.0158351,0.0105413536517
1,1,32.41,1.76967,1.74128,0,0.0160421,0.0106917158182
1,1,32.51,1.76526,1.73658,0,0.0162483,0.0108420723487
1,1,32.61,1.76087,1.7319,0,0.0164535,0.0109923546169
1,1,32.71,1.75651,1.72725,0,0.016658,0.0111426984006
1,1,32.81,1.75217,1.72263,0,0.0168616,0.0112930351775
1,1,32.91,1.74786,1.71803,0,0.0170644,0.0114433671207
1,1,33.01,1.74357,1.71346,0,0.0172664,0.011594929098
1,1,33.11,1.7393,1.70892,0,0.0174676,0.0117576038424
1,1,33.21,1.73506,1.70441,0,0.017668,0.0119202827817
1,1,33.31,1.73084,1.69992,0,0.0178676,0.0120829657186
1,1,33.41,1.72665,1.69545,0,0.0180664,0.0122456524652
1,1,33.51,1.72247,1.69101,0,0.0182644,0.0124082767387
1,1,33.61,1.71832,1.6866,0,0.0184616,0.0125709704043
1,1,33.71,1.7142,1.68221,0,0.0186581,0.012733669169
1,1,33.81,1.71009,1.67785,0,0.0188538,0.0128964376628
1,1,33.91,1.70601,1.67351,0,0.0190487,0.0130590758858
1,1,34.01,1.70195,1.6692,0,0.0192428,0.0132217835502
1,1,34.11,1.69791,1.66491,0,0.0194362,0.0133844285191
1,1,34.21,1.69389,1.66064,0,0.0196289,0.0135472119927
1,1,34.31,1.6899,1.6564,0,0.0198208,0.0137099307235
1,1,34.41,1.68592,1.65219,0,0.020012,0.0138726534162
1,1,34.51,1.68197,1.64799,0,0.0202024,0.0140353104453
1,1,34.61,1.67804,1.64382,0,0.0203921,0.0141980387907
1,1,34.71,1.67413,1.63967,0,0.0205811,0.014360770687
1,1,34.81,1.67024,1.63555,0,0.0207694,0.0145235742829
1,1,34.91,1.66637,1.63145,0,0.0209569,0.0146862429669
1,1,35.01,1.66252,1.62737,0,0.0211438,0.0148516545951
1,1,35.11,1.65869,1.62331,0,0.0213299,0.0150403479296
1,1,35.21,1.65488,1.61928,0,0.0215153,0.0152291242532
1,1,35.31,1.65109,1.61526,0,0.0217001,0.0154179160851
1,1,35.41,1.64732,1.61127,0,0.0218841,0.0156067197951
1,1,35.51,1.64357,1.6073,0,0.0220675,0.0157955381422
1,1,35.61,1.63984,1.60336,0,0.0222501,0.0159842972918
1,1,35.71,1.63613,1.59943,0,0.0224322,0.0161732123744
1,1,35.81,1.63244,1.59552,0,0.0226135,0.0163619966951
1,1,35.91,1.62877,1.59164,0,0.0227941,0.0165508630797
1,1,36.01,1.62511,1.58778,0,0.0229741,0.0167398059216
1,1,36.11,1.62148,1.58393,0,0.0231535,0.0169293349433
