# TOPAS 4.2.p3 / Geant4 11.3.2 Copper ion macroscopic inelastic cross sections.
atomic_number,mass_number,energy_MeVu,macroscopic_inelastic_cross_section_per_mm,mean_free_path_mm
1,1,92.01,0.00665712,150.215
1,1,93.01,0.00665287,150.311
1,1,94.01,0.00664863,150.407
1,1,95.01,0.00664438,150.503
1,1,96.01,0.00664014,150.599
1,1,97.01,0.00663589,150.696
1,1,98.01,0.00663165,150.792
1,1,99.01,0.0066274,150.889
1,1,100.01,0.00662316,150.985
1,1,101.01,0.00661891,151.082
1,1,102.01,0.00661466,151.179
1,1,103.01,0.00661042,151.276
1,1,104.01,0.00660617,151.374
1,1,105.01,0.00660193,151.471
1,1,106.01,0.00659768,151.568
1,1,107.01,0.00659344,151.666
1,1,108.01,0.00658919,151.764
1,1,109.01,0.00658494,151.862
1,1,110.01,0.0065807,151.96
1,1,111.01,0.00657645,152.058
1,1,112.01,0.00657221,152.156
1,1,113.01,0.00656796,152.254
1,1,114.01,0.00656372,152.353
1,1,115.01,0.00655947,152.451
1,1,116.01,0.00655523,152.55
1,1,117.01,0.00655098,152.649
1,1,118.01,0.00654673,152.748
1,1,119.01,0.00654249,152.847
1,1,120.01,0.0065382,152.947
1,1,121.01,0.00652971,153.146
1,1,122.01,0.00652122,153.346
1,1,123.01,0.00651273,153.546
1,1,124.01,0.00650423,153.746
1,1,125.01,0.00649574,153.947
1,1,126.01,0.00648725,154.148
1,1,127.01,0.00647876,154.35
1,1,128.01,0.00647027,154.553
1,1,129.01,0.00646178,154.756
1,1,130.01,0.00645329,154.96
1,1,131.01,0.0064448,155.164
1,1,132.01,0.0064363,155.369
1,1,133.01,0.00642781,155.574
1,1,134.01,0.00641932,155.78
1,1,135.01,0.00641083,155.986
1,1,136.01,0.00640234,156.193
1,1,137.01,0.00639385,156.4
1,1,138.01,0.00638536,156.608
1,1,139.01,0.00637687,156.817
1,1,140.01,0.00636842,157.025
1,1,141.01,0.00636417,157.13
1,1,142.01,0.00635993,157.235
1,1,143.01,0.00635568,157.34
1,1,144.01,0.00635143,157.445
1,1,145.01,0.00634719,157.55
1,1,146.01,0.00634294,157.656
1,1,147.01,0.0063387,157.761
1,1,148.01,0.00633445,157.867
1,1,149.01,0.00633021,157.973
1,1,150.01,0.00632596,158.079
1,1,151.01,0.00632171,158.185
1,1,152.01,0.00631747,158.291
1,1,153.01,0.00631322,158.398
1,1,154.01,0.00630898,158.504
1,1,155.01,0.00630473,158.611
1,1,156.01,0.00630049,158.718
1,1,157.01,0.00629624,158.825
1,1,158.01,0.006292,158.932
1,1,159.01,0.00628775,159.039
1,1,160.01,0.00628353,159.146
1,1,161.01,0.0062814,159.2
1,1,162.01,0.00627928,159.254
1,1,163.01,0.00627716,159.308
1,1,164.01,0.00627503,159.362
1,1,165.01,0.00627291,159.416
1,1,166.01,0.00627079,159.47
1,1,167.01,0.00626867,159.524
1,1,168.01,0.00626654,159.578
1,1,169.01,0.00626442,159.632
1,1,170.01,0.0062623,159.686
1,1,171.01,0.00626017,159.74
1,1,172.01,0.00625805,159.794
1,1,173.01,0.00625593,159.848
1,1,174.01,0.00625381,159.903
1,1,175.01,0.00625168,159.957
1,1,176.01,0.00624956,160.011
1,1,177.01,0.00624744,160.066
1,1,178.01,0.00624531,160.12
1,1,179.01,0.00624319,160.174
1,1,180.01,0.00624109,160.228
1,1,181.01,0.00624109,160.228
1,1,182.01,0.00624109,160.228
1,1,183.01,0.00624109,160.228
1,1,184.01,0.00624109,160.228
1,1,185.01,0.00624109,160.228
1,1,186.01,0.00624109,160.228
1,1,187.01,0.00624109,160.228
1,1,188.01,0.00624109,160.228
1,1,189.01,0.00624109,160.228
1,1,190.01,0.00624109,160.228
1,1,191.01,0.00624109,160.228
1,1,192.01,0.00624109,160.228
1,1,193.01,0.00624109,160.228
1,1,194.01,0.00624109,160.228
1,1,195.01,0.00624109,160.228
1,1,196.01,0.00624109,160.228
1,1,197.01,0.00624109,160.228
1,1,198.01,0.00624109,160.228
1,1,199.01,0.00624109,160.228
1,1,200.01,0.00624111,160.228
1,1,201.01,0.00624281,160.184
1,1,202.01,0.0062445,160.141
1,1,203.01,0.0062462,160.097
1,1,204.01,0.0062479,160.054
1,1,205.01,0.0062496,160.01
1,1,206.01,0.0062513,159.967
1,1,207.01,0.00625299,159.923
1,1,208.01,0.00625469,159.88
1,1,209.01,0.00625639,159.837
1,1,210.01,0.00625809,159.793
1,1,211.01,0.00625979,159.75
1,1,212.01,0.00626149,159.706
1,1,213.01,0.00626318,159.663
1,1,214.01,0.00626488,159.62
1,1,215.01,0.00626658,159.577
1,1,216.01,0.00626828,159.533
1,1,217.01,0.00626998,159.49
1,1,218.01,0.00627168,159.447
1,1,219.01,0.00627337,159.404
1,1,220.01,0.00627507,159.361
1,1,221.01,0.00627677,159.318
1,1,222.01,0.00627847,159.275
1,1,223.01,0.00628017,159.231
1,1,224.01,0.00628187,159.188
1,1,225.01,0.00628356,159.145
1,1,226.01,0.00628526,159.102
1,1,227.01,0.00628696,159.059
1,1,228.01,0.00628866,159.016
1,1,229.01,0.00629036,158.973
1,1,230.01,0.00629205,158.931
1,1,231.01,0.00629375,158.888
1,1,232.01,0.00629545,158.845
1,1,233.01,0.00629715,158.802
1,1,234.01,0.00629885,158.759
1,1,235.01,0.00630055,158.716
1,1,236.01,0.00630224,158.674
1,1,237.01,0.00630394,158.631
1,1,238.01,0.00630564,158.588
1,1,239.01,0.00630734,158.545
1,1,240.01,0.00630904,158.503
1,1,241.01,0.00631074,158.46
1,1,242.01,0.00631243,158.418
1,1,243.01,0.00631413,158.375
1,1,244.01,0.00631583,158.332
1,1,245.01,0.00631753,158.29
1,1,246.01,0.00631923,158.247
1,1,247.01,0.00632093,158.205
1,1,248.01,0.00632262,158.162
1,1,249.01,0.00632432,158.12
1,1,250.01,0.00632603,158.077
1,1,251.01,0.00632858,158.013
1,1,252.01,0.00633112,157.95
1,1,253.01,0.00633367,157.886
1,1,254.01,0.00633622,157.823
1,1,255.01,0.00633877,157.759
1,1,256.01,0.00634131,157.696
1,1,257.01,0.00634386,157.633
1,1,258.01,0.00634641,157.569
1,1,259.01,0.00634895,157.506
1,1,260.01,0.0063515,157.443
1,1,261.01,0.00635405,157.38
1,1,262.01,0.0063566,157.317
1,1,263.01,0.00635914,157.254
1,1,264.01,0.00636169,157.191
1,1,265.01,0.00636424,157.128
1,1,266.01,0.00636679,157.065
1,1,267.01,0.00636933,157.002
1,1,268.01,0.00637188,156.94
1,1,269.01,0.00637443,156.877
1,1,270.01,0.00637698,156.814
1,1,271.01,0.00637952,156.752
1,1,272.01,0.00638207,156.689
1,1,273.01,0.00638462,156.626
1,1,274.01,0.00638717,156.564
1,1,275.01,0.00638971,156.502
1,1,276.01,0.00639226,156.439
1,1,277.01,0.00639481,156.377
1,1,278.01,0.00639736,156.315
1,1,279.01,0.0063999,156.252
1,1,280.01,0.00640245,156.19
1,1,281.01,0.006405,156.128
1,1,282.01,0.00640754,156.066
1,1,283.01,0.00641009,156.004
1,1,284.01,0.00641264,155.942
1,1,285.01,0.00641519,155.88
1,1,286.01,0.00641773,155.818
1,1,287.01,0.00642028,155.756
1,1,288.01,0.00642283,155.695
1,1,289.01,0.00642538,155.633
1,1,290.01,0.00642792,155.571
1,1,291.01,0.00643047,155.51
1,1,292.01,0.00643302,155.448
1,1,293.01,0.00643557,155.386
1,1,294.01,0.00643811,155.325
1,1,295.01,0.00644066,155.264
1,1,296.01,0.00644321,155.202
1,1,297.01,0.00644576,155.141
1,1,298.01,0.0064483,155.08
1,1,299.01,0.00645085,155.018
1,1,300.01,0.00645338,154.958
1,1,301.01,0.00645372,154.95
1,1,302.01,0.00645405,154.941
1,1,303.01,0.00645439,154.933
1,1,304.01,0.00645473,154.925
1,1,305.01,0.00645507,154.917
1,1,306.01,0.00645541,154.909
1,1,307.01,0.00645575,154.901
1,1,308.01,0.00645609,154.892
1,1,309.01,0.00645643,154.884
1,1,310.01,0.00645677,154.876
1,1,311.01,0.00645711,154.868
1,1,312.01,0.00645745,154.86
1,1,313.01,0.00645779,154.852
1,1,314.01,0.00645813,154.844
1,1,315.01,0.00645847,154.835
1,1,316.01,0.00645881,154.827
1,1,317.01,0.00645915,154.819
1,1,318.01,0.00645949,154.811
1,1,319.01,0.00645983,154.803
1,1,320.01,0.00646017,154.795
1,1,321.01,0.00646051,154.787
1,1,322.01,0.00646085,154.778
1,1,323.01,0.00646119,154.77
1,1,324.01,0.00646153,154.762
1,1,325.01,0.00646187,154.754
1,1,326.01,0.00646221,154.746
1,1,327.01,0.00646255,154.738
1,1,328.01,0.00646289,154.73
1,1,329.01,0.00646323,154.722
1,1,330.01,0.00646357,154.713
1,1,331.01,0.0064639,154.705
1,1,332.01,0.00646424,154.697
1,1,333.01,0.00646458,154.689
1,1,334.01,0.00646492,154.681
1,1,335.01,0.00646526,154.673
1,1,336.01,0.0064656,154.665
1,1,337.01,0.00646594,154.656
1,1,338.01,0.00646628,154.648
1,1,339.01,0.00646662,154.64
1,1,340.01,0.00646696,154.632
1,1,341.01,0.0064673,154.624
1,1,342.01,0.00646764,154.616
1,1,343.01,0.00646798,154.608
1,1,344.01,0.00646832,154.6
1,1,345.01,0.00646866,154.592
1,1,346.01,0.006469,154.583
1,1,347.01,0.00646934,154.575
1,1,348.01,0.00646968,154.567
1,1,349.01,0.00647002,154.559
1,1,350.01,0.00647037,154.551
1,1,351.01,0.00647173,154.518
1,1,352.01,0.00647309,154.486
1,1,353.01,0.00647444,154.453
1,1,354.01,0.0064758,154.421
1,1,355.01,0.00647716,154.389
1,1,356.01,0.00647852,154.356
1,1,357.01,0.00647988,154.324
1,1,358.01,0.00648124,154.292
1,1,359.01,0.0064826,154.259
1,1,360.01,0.00648395,154.227
1,1,361.01,0.00648531,154.195
1,1,362.01,0.00648667,154.162
1,1,363.01,0.00648803,154.13
1,1,364.01,0.00648939,154.098
1,1,365.01,0.00649075,154.065
1,1,366.01,0.00649211,154.033
1,1,367.01,0.00649346,154.001
1,1,368.01,0.00649482,153.969
1,1,369.01,0.00649618,153.937
1,1,370.01,0.00649754,153.904
1,1,371.01,0.0064989,153.872
1,1,372.01,0.00650026,153.84
1,1,373.01,0.00650162,153.808
1,1,374.01,0.00650297,153.776
1,1,375.01,0.00650433,153.744
1,1,376.01,0.00650569,153.712
1,1,377.01,0.00650705,153.679
1,1,378.01,0.00650841,153.647
1,1,379.01,0.00650977,153.615
1,1,380.01,0.00651113,153.583
1,1,381.01,0.00651249,153.551
1,1,382.01,0.00651384,153.519
1,1,383.01,0.0065152,153.487
1,1,384.01,0.00651656,153.455
1,1,385.01,0.00651792,153.423
1,1,386.01,0.00651928,153.391
1,1,387.01,0.00652064,153.359
1,1,388.01,0.006522,153.327
1,1,389.01,0.00652335,153.295
1,1,390.01,0.00652471,153.263
1,1,391.01,0.00652607,153.232
1,1,392.01,0.00652743,153.2
1,1,393.01,0.00652879,153.168
1,1,394.01,0.00653015,153.136
1,1,395.01,0.00653151,153.104
1,1,396.01,0.00653286,153.072
1,1,397.01,0.00653422,153.04
1,1,398.01,0.00653558,153.009
1,1,399.01,0.00653694,152.977
1,1,400.01,0.00653831,152.945
1,2,0.01,0,0
1,2,1.01,0,0
1,2,2.01,0,0
1,2,3.01,0.00597359,167.404
1,2,4.01,0.00897247,111.452
1,2,5.01,0.0105979,94.3588
1,2,6.01,0.0115637,86.4773
1,2,7.01,0.0121686,82.1791
1,2,8.01,0.0125576,79.6329
1,2,9.01,0.0128095,78.0672
1,2,10.01,0.0129699,77.1014
1,2,11.01,0.0130673,76.5269
1,2,12.01,0.0131199,76.2199
1,2,13.01,0.0131401,76.1029
1,2,14.01,0.0131364,76.1246
1,2,15.01,0.0131148,76.25
1,2,16.01,0.0130797,76.4546
1,2,17.01,0.0130343,76.7205
1,2,18.01,0.0129812,77.0346
1,2,19.01,0.0129221,77.3869
1,2,20.01,0.0128585,77.7698
1,2,21.01,0.0127914,78.1774
1,2,22.01,0.0127218,78.605
1,2,23.01,0.0126504,79.0489
1,2,24.01,0.0125776,79.5062
1,2,25.01,0.012504,79.9743
1,2,26.01,0.0124299,80.4513
1,2,27.01,0.0123555,80.9356
1,2,28.01,0.0122811,81.4257
1,2,29.01,0.012207,81.9205
1,2,30.01,0.0121331,82.4191
1,2,31.01,0.0120597,82.9206
1,2,32.01,0.0119869,83.4243
1,2,33.01,0.0119148,83.9296
1,2,34.01,0.0118433,84.4359
1,2,35.01,0.0117726,84.9429
1,2,36.01,0.0117027,85.4501
1,2,37.01,0.0116337,85.9572
1,2,38.01,0.0115655,86.4638
1,2,39.01,0.0114983,86.9697
1,2,40.01,0.0114319,87.4747
1,2,41.01,0.0113664,87.9785
1,2,42.01,0.0113019,88.4809
1,2,43.01,0.0112383,88.9818
1,2,44.01,0.0111756,89.481
1,2,45.01,0.0111138,89.9784
1,2,46.01,0.0110529,90.4738
1,2,47.01,0.010993,90.9671
1,2,48.01,0.0109339,91.4583
1,2,49.01,0.0108758,91.9471
1,2,50.01,0.0108186,92.4336
1,2,51.01,0.0107622,92.9176
1,2,52.01,0.0107068,93.399
1,2,53.01,0.0106521,93.8778
1,2,54.01,0.0105984,94.3539
1,2,55.01,0.0105455,94.8273
1,2,56.01,0.0104934,95.2978
1,2,57.01,0.0104422,95.7655
1,2,58.01,0.0103917,96.2302
1,2,59.01,0.0103421,96.692
1,2,60.01,0.0102933,97.1507
1,2,61.01,0.0102452,97.6063
1,2,62.01,0.010198,98.0589
1,2,63.01,0.0101514,98.5083
1,2,64.01,0.0101057,98.9545
1,2,65.01,0.0100606,99.3974
1,2,66.01,0.0100163,99.8372
1,2,67.01,0.00997272,100.274
1,2,68.01,0.00992983,100.707
1,2,69.01,0.00988763,101.136
1,2,70.01,0.00984612,101.563
1,2,71.01,0.00980528,101.986
1,2,72.01,0.00976511,102.405
1,2,73.01,0.00972559,102.822
1,2,74.01,0.00968671,103.234
1,2,75.01,0.00964847,103.643
1,2,76.01,0.00961085,104.049
1,2,77.01,0.00957384,104.451
1,2,78.01,0.00953744,104.85
1,2,79.01,0.00950163,105.245
1,2,80.01,0.00946641,105.637
1,2,81.01,0.00943177,106.025
1,2,82.01,0.00939769,106.409
1,2,83.01,0.00936417,106.79
1,2,84.01,0.0093312,107.167
1,2,85.01,0.00929878,107.541
1,2,86.01,0.00926688,107.911
1,2,87.01,0.00923551,108.278
1,2,88.01,0.00920466,108.641
1,2,89.01,0.00917432,109
1,2,90.01,0.00914447,109.356
1,2,91.01,0.00911512,109.708
1,2,92.01,0.00908625,110.056
1,2,93.01,0.00905786,110.401
1,2,94.01,0.00902993,110.743
1,2,95.01,0.00900247,111.081
1,2,96.01,0.00897546,111.415
1,2,97.01,0.0089489,111.746
1,2,98.01,0.00892278,112.073
1,2,99.01,0.00889709,112.396
1,2,100.01,0.00887825,112.635
1,2,101.01,0.00885336,112.951
1,2,102.01,0.00882889,113.265
1,2,103.01,0.00880482,113.574
1,2,104.01,0.00878115,113.88
1,2,105.01,0.00875788,114.183
1,2,106.01,0.00873499,114.482
1,2,107.01,0.00871249,114.778
1,2,108.01,0.00869036,115.07
1,2,109.01,0.00866859,115.359
1,2,110.01,0.00864719,115.644
1,2,111.01,0.00862615,115.927
1,2,112.01,0.00860545,116.205
1,2,113.01,0.0085851,116.481
1,2,114.01,0.00856509,116.753
1,2,115.01,0.00854542,117.022
1,2,116.01,0.00852607,117.287
1,2,117.01,0.00850704,117.55
1,2,118.01,0.00848834,117.809
1,2,119.01,0.00846994,118.065
1,2,120.01,0.00845185,118.317
1,2,121.01,0.00843406,118.567
1,2,122.01,0.00841657,118.813
1,2,123.01,0.00839937,119.056
1,2,124.01,0.00838246,119.297
1,2,125.01,0.00836583,119.534
1,2,126.01,0.00834948,119.768
1,2,127.01,0.0083334,119.999
1,2,128.01,0.00831759,120.227
1,2,129.01,0.00830204,120.452
1,2,130.01,0.00828676,120.674
1,2,131.01,0.00827173,120.894
1,2,132.01,0.00825694,121.11
1,2,133.01,0.00824241,121.324
1,2,134.01,0.00822812,121.534
1,2,135.01,0.00821406,121.742
1,2,136.01,0.00820024,121.948
1,2,137.01,0.00818665,122.15
1,2,138.01,0.00817329,122.35
1,2,139.01,0.00816015,122.547
1,2,140.01,0.00814723,122.741
1,2,141.01,0.00813452,122.933
1,2,142.01,0.00812203,123.122
1,2,143.01,0.00810974,123.308
1,2,144.01,0.00809766,123.492
1,2,145.01,0.00808578,123.674
1,2,146.01,0.0080741,123.853
1,2,147.01,0.00806261,124.029
1,2,148.01,0.00805131,124.203
1,2,149.01,0.0080402,124.375
1,2,150.01,0.00802927,124.544
1,2,151.01,0.00801853,124.711
1,2,152.01,0.00800796,124.876
1,2,153.01,0.00799757,125.038
1,2,154.01,0.00798735,125.198
1,2,155.01,0.0079773,125.356
1,2,156.01,0.00796742,125.511
1,2,157.01,0.00795769,125.665
1,2,158.01,0.00794813,125.816
1,2,159.01,0.00793873,125.965
1,2,160.01,0.00792949,126.112
1,2,161.01,0.00792039,126.256
1,2,162.01,0.00791145,126.399
1,2,163.01,0.00790265,126.54
1,2,164.01,0.007894,126.678
1,2,165.01,0.00788549,126.815
1,2,166.01,0.00787712,126.95
1,2,167.01,0.00786889,127.083
1,2,168.01,0.00786079,127.214
1,2,169.01,0.00785283,127.343
1,2,170.01,0.00784499,127.47
1,2,171.01,0.00783729,127.595
1,2,172.01,0.00782971,127.719
1,2,173.01,0.00782225,127.84
1,2,174.01,0.00781492,127.96
1,2,175.01,0.00780771,128.079
1,2,176.01,0.00780061,128.195
1,2,177.01,0.00779363,128.31
1,2,178.01,0.00778676,128.423
1,2,179.01,0.00778001,128.535
1,2,180.01,0.00777336,128.645
1,2,181.01,0.00776682,128.753
1,2,182.01,0.00776039,128.86
1,2,183.01,0.00775406,128.965
1,2,184.01,0.00774784,129.068
1,2,185.01,0.00774171,129.17
1,2,186.01,0.00773569,129.271
1,2,187.01,0.00772976,129.37
1,2,188.01,0.00772392,129.468
1,2,189.01,0.00771818,129.564
1,2,190.01,0.00771254,129.659
1,2,191.01,0.00770698,129.753
1,2,192.01,0.00770151,129.845
1,2,193.01,0.00769613,129.935
1,2,194.01,0.00769084,130.025
1,2,195.01,0.00768563,130.113
1,2,196.01,0.0076805,130.2
1,2,197.01,0.00767546,130.285
1,2,198.01,0.0076705,130.37
1,2,199.01,0.00766561,130.453
1,2,200.01,0.0076608,130.535
1,2,201.01,0.00765607,130.615
1,2,202.01,0.00765142,130.695
1,2,203.01,0.00764683,130.773
1,2,204.01,0.00764232,130.85
1,2,205.01,0.00763788,130.926
1,2,206.01,0.00763351,131.001
1,2,207.01,0.00762921,131.075
1,2,208.01,0.00762498,131.148
1,2,209.01,0.00762082,131.22
1,2,210.01,0.00761671,131.29
1,2,211.01,0.00761268,131.36
1,2,212.01,0.0076087,131.428
1,2,213.01,0.00760479,131.496
1,2,214.01,0.00760094,131.563
1,2,215.01,0.00759715,131.628
1,2,216.01,0.00759342,131.693
1,2,217.01,0.00758975,131.757
1,2,218.01,0.00758613,131.82
1,2,219.01,0.00758257,131.881
1,2,220.01,0.00757906,131.942
1,2,221.01,0.00757561,132.003
1,2,222.01,0.00757221,132.062
1,2,223.01,0.00756887,132.12
1,2,224.01,0.00756557,132.178
1,2,225.01,0.00756233,132.234
1,2,226.01,0.00755914,132.29
1,2,227.01,0.00755599,132.345
1,2,228.01,0.00755289,132.4
1,2,229.01,0.00754984,132.453
1,2,230.01,0.00754684,132.506
1,2,231.01,0.00754388,132.558
1,2,232.01,0.00754097,132.609
1,2,233.01,0.0075381,132.659
1,2,234.01,0.00753528,132.709
1,2,235.01,0.0075325,132.758
1,2,236.01,0.00752976,132.806
1,2,237.01,0.00752706,132.854
1,2,238.01,0.0075244,132.901
1,2,239.01,0.00752178,132.947
1,2,240.01,0.00751921,132.993
1,2,241.01,0.00751667,133.038
1,2,242.01,0.00751417,133.082
1,2,243.01,0.0075117,133.126
1,2,244.01,0.00750928,133.169
1,2,245.01,0.00750689,133.211
1,2,246.01,0.00750454,133.253
1,2,247.01,0.00750222,133.294
1,2,248.01,0.00749993,133.335
1,2,249.01,0.00749768,133.375
1,2,250.01,0.00749547,133.414
1,2,251.01,0.00749329,133.453
1,2,252.01,0.00749116,133.491
1,2,253.01,0.00748908,133.528
1,2,254.01,0.00748705,133.564
1,2,255.01,0.00748507,133.599
1,2,256.01,0.00748313,133.634
1,2,257.01,0.00748125,133.667
1,2,258.01,0.00747942,133.7
1,2,259.01,0.00747763,133.732
1,2,260.01,0.00747589,133.763
1,2,261.01,0.00747419,133.794
1,2,262.01,0.00747254,133.823
1,2,263.01,0.00747094,133.852
1,2,264.01,0.00746938,133.88
1,2,265.01,0.00746786,133.907
1,2,266.01,0.00746639,133.934
1,2,267.01,0.00746496,133.959
1,2,268.01,0.00746357,133.984
1,2,269.01,0.00746222,134.008
1,2,270.01,0.00746092,134.032
1,2,271.01,0.00745966,134.054
1,2,272.01,0.00745843,134.076
1,2,273.01,0.00745725,134.098
1,2,274.01,0.0074561,134.118
1,2,275.01,0.007455,134.138
1,2,276.01,0.00745393,134.157
1,2,277.01,0.0074529,134.176
1,2,278.01,0.00745191,134.194
1,2,279.01,0.00745095,134.211
1,2,280.01,0.00745003,134.228
1,2,281.01,0.00744915,134.243
1,2,282.01,0.00744831,134.259
1,2,283.01,0.00744749,134.273
1,2,284.01,0.00744672,134.287
1,2,285.01,0.00744597,134.301
1,2,286.01,0.00744526,134.314
1,2,287.01,0.00744459,134.326
1,2,288.01,0.00744395,134.337
1,2,289.01,0.00744334,134.348
1,2,290.01,0.00744276,134.359
1,2,291.01,0.00744221,134.369
1,2,292.01,0.0074417,134.378
1,2,293.01,0.00744122,134.387
1,2,294.01,0.00744076,134.395
1,2,295.01,0.00740245,135.09
1,2,296.01,0.00740237,135.092
1,2,297.01,0.00740231,135.093
1,2,298.01,0.00740228,135.094
1,2,299.01,0.00740227,135.094
1,2,300.01,0.00740229,135.093
1,2,301.01,0.00740233,135.093
1,2,302.01,0.00740239,135.091
1,2,303.01,0.00740248,135.09
1,2,304.01,0.00740259,135.088
1,2,305.01,0.00740272,135.085
1,2,306.01,0.00740288,135.083
1,2,307.01,0.00740306,135.079
1,2,308.01,0.00740326,135.076
1,2,309.01,0.00740349,135.072
1,2,310.01,0.00740373,135.067
1,2,311.01,0.007404,135.062
1,2,312.01,0.00740429,135.057
1,2,313.01,0.0074046,135.051
1,2,314.01,0.00740494,135.045
1,2,315.01,0.00740529,135.039
1,2,316.01,0.00740567,135.032
1,2,317.01,0.00740606,135.025
1,2,318.01,0.00740648,135.017
1,2,319.01,0.00740692,135.009
1,2,320.01,0.00740738,135.001
1,2,321.01,0.00740785,134.992
1,2,322.01,0.00740835,134.983
1,2,323.01,0.00740887,134.973
1,2,324.01,0.00740941,134.964
1,2,325.01,0.00740996,134.953
1,2,326.01,0.00741054,134.943
1,2,327.01,0.00741114,134.932
1,2,328.01,0.00741175,134.921
1,2,329.01,0.00741238,134.909
1,2,330.01,0.00741304,134.897
1,2,331.01,0.00741371,134.885
1,2,332.01,0.0074144,134.873
1,2,333.01,0.0074151,134.86
1,2,334.01,0.00741583,134.847
1,2,335.01,0.00741657,134.833
1,2,336.01,0.00741733,134.819
1,2,337.01,0.00741811,134.805
1,2,338.01,0.0074189,134.791
1,2,339.01,0.00741972,134.776
1,2,340.01,0.00742055,134.761
1,2,341.01,0.00742139,134.746
1,2,342.01,0.00742226,134.73
1,2,343.01,0.00742314,134.714
1,2,344.01,0.00742403,134.698
1,2,345.01,0.00742495,134.681
1,2,346.01,0.00742588,134.664
1,2,347.01,0.00742682,134.647
1,2,348.01,0.00742778,134.63
1,2,349.01,0.00742876,134.612
1,2,350.01,0.00742975,134.594
1,2,351.01,0.00743076,134.576
1,2,352.01,0.00743178,134.557
1,2,353.01,0.00743282,134.538
1,2,354.01,0.00743388,134.519
1,2,355.01,0.00743495,134.5
1,2,356.01,0.00743603,134.48
1,2,357.01,0.00743713,134.461
1,2,358.01,0.00743824,134.44
1,2,359.01,0.00743937,134.42
1,2,360.01,0.00744051,134.399
1,2,361.01,0.00744167,134.378
1,2,362.01,0.00744284,134.357
1,2,363.01,0.00744402,134.336
1,2,364.01,0.00744522,134.314
