energy_MeV_per_u,water_macroscopic_cross_section_per_mm
7.28,0.0058745
7.29,0.00587252
7.3,0.00587054
7.31,0.00586857
7.32,0.0058666
7.33,0.00586464
7.34,0.00586267
7.35,0.00586071
7.36,0.00585875
7.37,0.0058568
7.38,0.00585485
7.39,0.0058529
7.4,0.00585095
7.41,0.00584901
7.42,0.00584707
7.43,0.00584513
7.44,0.00584319
7.45,0.00584126
7.46,0.00583933
7.47,0.0058374
7.48,0.00583548
7.49,0.00583356
7.5,0.00583164
7.51,0.00582972
7.52,0.00582781
7.53,0.0058259
7.54,0.00582399
7.55,0.00582209
7.56,0.00582019
7.57,0.00581829
7.58,0.00581639
7.59,0.0058145
7.6,0.00581261
7.61,0.00581072
7.62,0.00580884
7.63,0.00580695
7.64,0.00580507
7.65,0.0058032
7.66,0.00580132
7.67,0.00579945
7.68,0.00579758
7.69,0.00579572
7.7,0.00579385
7.71,0.00579199
7.72,0.00579014
7.73,0.00578828
7.74,0.00578643
7.75,0.00578458
7.76,0.00578273
7.77,0.00578089
7.78,0.00577905
7.79,0.00577721
7.8,0.00577537
7.81,0.00577354
7.82,0.00577171
7.83,0.00576988
7.84,0.00576805
7.85,0.00576623
7.86,0.00576441
7.87,0.00576259
7.88,0.00576078
7.89,0.00575897
7.9,0.00575716
7.91,0.00575535
7.92,0.00575355
7.93,0.00575174
7.94,0.00574995
7.95,0.00574815
7.96,0.00574636
7.97,0.00574456
7.98,0.00574278
7.99,0.00574099
8,0.00573921
8.01,0.00573743
8.02,0.00573565
8.03,0.00573387
8.04,0.0057321
8.05,0.00573033
8.06,0.00572856
8.07,0.0057268
8.08,0.00572503
8.09,0.00572327
8.1,0.00572152
8.11,0.00571976
8.12,0.00571801
8.13,0.00571626
8.14,0.00571451
8.15,0.00571277
8.16,0.00571103
8.17,0.00570929
8.18,0.00570755
8.19,0.00570581
8.2,0.00570408
8.21,0.00570235
8.22,0.00570063
8.23,0.0056989
8.24,0.00569718
8.25,0.00569546
8.26,0.00569374
8.27,0.00569203
8.28,0.00569032
8.29,0.00568861
8.3,0.0056869
8.31,0.00568519
8.32,0.00568349
8.33,0.00568179
8.34,0.0056801
8.35,0.0056784
8.36,0.00567671
8.37,0.00567502
8.38,0.00567333
8.39,0.00567165
8.4,0.00566996
8.41,0.00566828
8.42,0.00566661
8.43,0.00566493
8.44,0.00566326
8.45,0.00566159
8.46,0.00565992
8.47,0.00565825
8.48,0.00565659
8.49,0.00565493
8.5,0.00565327
8.51,0.00565162
8.52,0.00564996
8.53,0.00564831
8.54,0.00564666
8.55,0.00564502
8.56,0.00564337
8.57,0.00564173
8.58,0.00564009
8.59,0.00563845
8.6,0.00563682
8.61,0.00563519
8.62,0.00563356
8.63,0.00563193
8.64,0.00563031
8.65,0.00562868
8.66,0.00562706
8.67,0.00562544
8.68,0.00562383
8.69,0.00562221
8.7,0.0056206
8.71,0.00561899
8.72,0.00561739
8.73,0.00561578
8.74,0.00561418
8.75,0.00561258
8.76,0.00561099
8.77,0.00560939
8.78,0.0056078
8.79,0.00560621
8.8,0.00560462
8.81,0.00560303
8.82,0.00560145
8.83,0.00559987
8.84,0.00559829
8.85,0.00559671
8.86,0.00559514
8.87,0.00559356
8.88,0.00559199
8.89,0.00559043
8.9,0.00558886
8.91,0.0055873
8.92,0.00558574
8.93,0.00558418
8.94,0.00558262
8.95,0.00558107
8.96,0.00557951
8.97,0.00557796
8.98,0.00557642
8.99,0.00557487
9,0.00557333
9.01,0.00557179
9.02,0.00557025
9.03,0.00556871
9.04,0.00556717
9.05,0.00556564
9.06,0.00556411
9.07,0.00556258
9.08,0.00556106
9.09,0.00555953
9.1,0.00555801
9.11,0.00555649
9.12,0.00555498
