energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
136.61,1639.32,35.9177,35.9177,0
136.71,1640.52,35.8993,35.8993,0
136.81,1641.72,35.8809,35.8809,0
136.91,1642.92,35.8626,35.8626,0
137.01,1644.12,35.8442,35.8442,0
137.11,1645.32,35.8259,35.8259,0
137.21,1646.52,35.8076,35.8076,0
137.31,1647.72,35.7894,35.7894,0
137.41,1648.92,35.7712,35.7712,0
137.51,1650.12,35.753,35.753,0
137.61,1651.32,35.7348,35.7348,0
137.71,1652.52,35.7166,35.7166,0
137.81,1653.72,35.6985,35.6985,0
137.91,1654.92,35.6804,35.6804,0
138.01,1656.12,35.6623,35.6623,0
138.11,1657.32,35.6443,35.6443,0
138.21,1658.52,35.6262,35.6262,0
138.31,1659.72,35.6082,35.6082,0
138.41,1660.92,35.5903,35.5903,0
138.51,1662.12,35.5723,35.5723,0
138.61,1663.32,35.5544,35.5544,0
138.71,1664.52,35.5365,35.5365,0
138.81,1665.72,35.5186,35.5186,0
138.91,1666.92,35.5007,35.5007,0
139.01,1668.12,35.4829,35.4829,0
139.11,1669.32,35.4651,35.4651,0
139.21,1670.52,35.4473,35.4473,0
139.31,1671.72,35.4296,35.4296,0
139.41,1672.92,35.4118,35.4118,0
139.51,1674.12,35.3941,35.3941,0
139.61,1675.32,35.3764,35.3764,0
139.71,1676.52,35.3588,35.3588,0
139.81,1677.72,35.3411,35.3411,0
139.91,1678.92,35.3235,35.3235,0
140.01,1680.12,35.3059,35.3059,0
140.11,1681.32,35.2884,35.2884,0
140.21,1682.52,35.2708,35.2708,0
140.31,1683.72,35.2533,35.2533,0
140.41,1684.92,35.2358,35.2358,0
140.51,1686.12,35.2183,35.2183,0
140.61,1687.32,35.2009,35.2009,0
140.71,1688.52,35.1835,35.1835,0
140.81,1689.72,35.1661,35.1661,0
140.91,1690.92,35.1487,35.1487,0
141.01,1692.12,35.1313,35.1313,0
141.11,1693.32,35.114,35.114,0
141.21,1694.52,35.0967,35.0967,0
141.31,1695.72,35.0794,35.0794,0
141.41,1696.92,35.0622,35.0622,0
141.51,1698.12,35.0449,35.0449,0
141.61,1699.32,35.0277,35.0277,0
141.71,1700.52,35.0105,35.0105,0
141.81,1701.72,34.9934,34.9934,0
141.91,1702.92,34.9762,34.9762,0
142.01,1704.12,34.9591,34.9591,0
142.11,1705.32,34.942,34.942,0
142.21,1706.52,34.9249,34.9249,0
142.31,1707.72,34.9079,34.9079,0
142.41,1708.92,34.8908,34.8908,0
142.51,1710.12,34.8738,34.8738,0
142.61,1711.32,34.8568,34.8568,0
142.71,1712.52,34.8399,34.8399,0
142.81,1713.72,34.8229,34.8229,0
142.91,1714.92,34.806,34.806,0
143.01,1716.12,34.7891,34.7891,0
143.11,1717.32,34.7723,34.7723,0
143.21,1718.52,34.7554,34.7554,0
143.31,1719.72,34.7386,34.7386,0
143.41,1720.92,34.7218,34.7218,0
143.51,1722.12,34.705,34.705,0
143.61,1723.32,34.6882,34.6882,0
143.71,1724.52,34.6715,34.6715,0
143.81,1725.72,34.6548,34.6548,0
143.91,1726.92,34.6381,34.6381,0
144.01,1728.12,34.6214,34.6214,0
144.11,1729.32,34.6048,34.6048,0
144.21,1730.52,34.5882,34.5882,0
144.31,1731.72,34.5715,34.5715,0
144.41,1732.92,34.555,34.555,0
144.51,1734.12,34.5384,34.5384,0
144.61,1735.32,34.5219,34.5219,0
144.71,1736.52,34.5053,34.5053,0
144.81,1737.72,34.4888,34.4888,0
144.91,1738.92,34.4724,34.4724,0
145.01,1740.12,34.4559,34.4559,0
145.11,1741.32,34.4395,34.4395,0
145.21,1742.52,34.4231,34.4231,0
145.31,1743.72,34.4067,34.4067,0
145.41,1744.92,34.3903,34.3903,0
145.51,1746.12,34.374,34.374,0
145.61,1747.32,34.3577,34.3577,0
145.71,1748.52,34.3414,34.3414,0
145.81,1749.72,34.3251,34.3251,0
145.91,1750.92,34.3088,34.3088,0
146.01,1752.12,34.2926,34.2926,0
146.11,1753.32,34.2764,34.2764,0
146.21,1754.52,34.2602,34.2602,0
146.31,1755.72,34.244,34.244,0
146.41,1756.92,34.2278,34.2278,0
146.51,1758.12,34.2117,34.2117,0
146.61,1759.32,34.1956,34.1956,0
146.71,1760.52,34.1795,34.1795,0
146.81,1761.72,34.1634,34.1634,0
146.91,1762.92,34.1474,34.1474,0
147.01,1764.12,34.1313,34.1313,0
147.11,1765.32,34.1153,34.1153,0
147.21,1766.52,34.0994,34.0994,0
147.31,1767.72,34.0834,34.0834,0
147.41,1768.92,34.0674,34.0674,0
147.51,1770.12,34.0515,34.0515,0
147.61,1771.32,34.0356,34.0356,0
147.71,1772.52,34.0197,34.0197,0
147.81,1773.72,34.0039,34.0039,0
147.91,1774.92,33.988,33.988,0
148.01,1776.12,33.9722,33.9722,0
148.11,1777.32,33.9564,33.9564,0
148.21,1778.52,33.9406,33.9406,0
148.31,1779.72,33.9248,33.9248,0
148.41,1780.92,33.9091,33.9091,0
148.51,1782.12,33.8934,33.8934,0
148.61,1783.32,33.8777,33.8777,0
148.71,1784.52,33.862,33.862,0
148.81,1785.72,33.8463,33.8463,0
148.91,1786.92,33.8307,33.8307,0
149.01,1788.12,33.8151,33.8151,0
149.11,1789.32,33.7995,33.7995,0
149.21,1790.52,33.7839,33.7839,0
149.31,1791.72,33.7683,33.7683,0
149.41,1792.92,33.7528,33.7528,0
149.51,1794.12,33.7373,33.7373,0
149.61,1795.32,33.7218,33.7218,0
149.71,1796.52,33.7063,33.7063,0
149.81,1797.72,33.6908,33.6908,0
149.91,1798.92,33.6754,33.6754,0
150.01,1800.12,33.6599,33.6599,0
150.11,1801.32,33.6445,33.6445,0
150.21,1802.52,33.6292,33.6292,0
150.31,1803.72,33.6138,33.6138,0
150.41,1804.92,33.5984,33.5984,0
150.51,1806.12,33.5831,33.5831,0
150.61,1807.32,33.5678,33.5678,0
150.71,1808.52,33.5525,33.5525,0
150.81,1809.72,33.5372,33.5372,0
150.91,1810.92,33.522,33.522,0
151.01,1812.12,33.5068,33.5068,0
151.11,1813.32,33.4916,33.4916,0
151.21,1814.52,33.4764,33.4764,0
151.31,1815.72,33.4612,33.4612,0
151.41,1816.92,33.446,33.446,0
151.51,1818.12,33.4309,33.4309,0
151.61,1819.32,33.4158,33.4158,0
151.71,1820.52,33.4007,33.4007,0
151.81,1821.72,33.3856,33.3856,0
151.91,1822.92,33.3706,33.3706,0
152.01,1824.12,33.3555,33.3555,0
152.11,1825.32,33.3405,33.3405,0
152.21,1826.52,33.3255,33.3255,0
152.31,1827.72,33.3105,33.3105,0
152.41,1828.92,33.2955,33.2955,0
152.51,1830.12,33.2806,33.2806,0
152.61,1831.32,33.2657,33.2657,0
152.71,1832.52,33.2508,33.2508,0
152.81,1833.72,33.2359,33.2359,0
152.91,1834.92,33.221,33.221,0
153.01,1836.12,33.2061,33.2061,0
153.11,1837.32,33.1913,33.1913,0
153.21,1838.52,33.1765,33.1765,0
153.31,1839.72,33.1617,33.1617,0
153.41,1840.92,33.1469,33.1469,0
153.51,1842.12,33.1322,33.1322,0
153.61,1843.32,33.1174,33.1174,0
153.71,1844.52,33.1027,33.1027,0
153.81,1845.72,33.088,33.088,0
153.91,1846.92,33.0733,33.0733,0
154.01,1848.12,33.0586,33.0586,0
154.11,1849.32,33.044,33.044,0
154.21,1850.52,33.0293,33.0293,0
154.31,1851.72,33.0147,33.0147,0
154.41,1852.92,33.0001,33.0001,0
154.51,1854.12,32.9855,32.9855,0
154.61,1855.32,32.971,32.971,0
154.71,1856.52,32.9564,32.9564,0
154.81,1857.72,32.9419,32.9419,0
154.91,1858.92,32.9274,32.9274,0
155.01,1860.12,32.9129,32.9129,0
155.11,1861.32,32.8984,32.8984,0
155.21,1862.52,32.884,32.884,0
155.31,1863.72,32.8696,32.8696,0
155.41,1864.92,32.8551,32.8551,0
155.51,1866.12,32.8407,32.8407,0
155.61,1867.32,32.8263,32.8263,0
155.71,1868.52,32.812,32.812,0
155.81,1869.72,32.7976,32.7976,0
155.91,1870.92,32.7833,32.7833,0
156.01,1872.12,32.769,32.769,0
156.11,1873.32,32.7547,32.7547,0
156.21,1874.52,32.7404,32.7404,0
156.31,1875.72,32.7262,32.7262,0
156.41,1876.92,32.7119,32.7119,0
156.51,1878.12,32.6977,32.6977,0
156.61,1879.32,32.6835,32.6835,0
156.71,1880.52,32.6693,32.6693,0
156.81,1881.72,32.6551,32.6551,0
156.91,1882.92,32.6409,32.6409,0
157.01,1884.12,32.6268,32.6268,0
157.11,1885.32,32.6127,32.6127,0
157.21,1886.52,32.5986,32.5986,0
157.31,1887.72,32.5845,32.5845,0
157.41,1888.92,32.5704,32.5704,0
157.51,1890.12,32.5564,32.5564,0
157.61,1891.32,32.5423,32.5423,0
157.71,1892.52,32.5283,32.5283,0
157.81,1893.72,32.5143,32.5143,0
157.91,1894.92,32.5003,32.5003,0
158.01,1896.12,32.4863,32.4863,0
158.11,1897.32,32.4724,32.4724,0
158.21,1898.52,32.4584,32.4584,0
158.31,1899.72,32.4445,32.4445,0
158.41,1900.92,32.4306,32.4306,0
158.51,1902.12,32.4167,32.4167,0
158.61,1903.32,32.4029,32.4029,0
158.71,1904.52,32.389,32.389,0
158.81,1905.72,32.3752,32.3752,0
158.91,1906.92,32.3614,32.3614,0
159.01,1908.12,32.3475,32.3475,0
159.11,1909.32,32.3338,32.3338,0
159.21,1910.52,32.32,32.32,0
159.31,1911.72,32.3062,32.3062,0
159.41,1912.92,32.2925,32.2925,0
159.51,1914.12,32.2788,32.2788,0
159.61,1915.32,32.2651,32.2651,0
159.71,1916.52,32.2514,32.2514,0
159.81,1917.72,32.2377,32.2377,0
159.91,1918.92,32.2241,32.2241,0
160.01,1920.12,32.2104,32.2104,0
160.11,1921.32,32.1968,32.1968,0
160.21,1922.52,32.1832,32.1832,0
160.31,1923.72,32.1696,32.1696,0
160.41,1924.92,32.156,32.156,0
160.51,1926.12,32.1425,32.1425,0
160.61,1927.32,32.1289,32.1289,0
160.71,1928.52,32.1154,32.1154,0
160.81,1929.72,32.1019,32.1019,0
160.91,1930.92,32.0884,32.0884,0
161.01,1932.12,32.0749,32.0749,0
161.11,1933.32,32.0614,32.0614,0
161.21,1934.52,32.048,32.048,0
161.31,1935.72,32.0346,32.0346,0
161.41,1936.92,32.0211,32.0211,0
161.51,1938.12,32.0077,32.0077,0
161.61,1939.32,31.9944,31.9944,0
161.71,1940.52,31.981,31.981,0
161.81,1941.72,31.9676,31.9676,0
161.91,1942.92,31.9543,31.9543,0
162.01,1944.12,31.941,31.941,0
162.11,1945.32,31.9277,31.9277,0
162.21,1946.52,31.9144,31.9144,0
162.31,1947.72,31.9011,31.9011,0
162.41,1948.92,31.8879,31.8879,0
162.51,1950.12,31.8746,31.8746,0
162.61,1951.32,31.8614,31.8614,0
162.71,1952.52,31.8482,31.8482,0
162.81,1953.72,31.835,31.835,0
162.91,1954.92,31.8218,31.8218,0
163.01,1956.12,31.8086,31.8086,0
163.11,1957.32,31.7955,31.7955,0
163.21,1958.52,31.7824,31.7824,0
163.31,1959.72,31.7692,31.7692,0
163.41,1960.92,31.7561,31.7561,0
163.51,1962.12,31.743,31.743,0
163.61,1963.32,31.73,31.73,0
163.71,1964.52,31.7169,31.7169,0
163.81,1965.72,31.7039,31.7039,0
163.91,1966.92,31.6908,31.6908,0
164.01,1968.12,31.6778,31.6778,0
164.11,1969.32,31.6648,31.6648,0
164.21,1970.52,31.6518,31.6518,0
164.31,1971.72,31.6389,31.6389,0
164.41,1972.92,31.6259,31.6259,0
164.51,1974.12,31.613,31.613,0
164.61,1975.32,31.6001,31.6001,0
164.71,1976.52,31.5872,31.5872,0
164.81,1977.72,31.5743,31.5743,0
164.91,1978.92,31.5614,31.5614,0
165.01,1980.12,31.5485,31.5485,0
165.11,1981.32,31.5357,31.5357,0
165.21,1982.52,31.5228,31.5228,0
165.31,1983.72,31.51,31.51,0
165.41,1984.92,31.4972,31.4972,0
165.51,1986.12,31.4844,31.4844,0
165.61,1987.32,31.4717,31.4717,0
165.71,1988.52,31.4589,31.4589,0
165.81,1989.72,31.4462,31.4462,0
165.91,1990.92,31.4334,31.4334,0
166.01,1992.12,31.4207,31.4207,0
166.11,1993.32,31.408,31.408,0
166.21,1994.52,31.3953,31.3953,0
166.31,1995.72,31.3827,31.3827,0
166.41,1996.92,31.37,31.37,0
166.51,1998.12,31.3574,31.3574,0
166.61,1999.32,31.3447,31.3447,0
166.71,2000.52,31.3321,31.3321,0
166.81,2001.72,31.3195,31.3195,0
166.91,2002.92,31.3069,31.3069,0
167.01,2004.12,31.2944,31.2944,0
167.11,2005.32,31.2818,31.2818,0
167.21,2006.52,31.2693,31.2693,0
167.31,2007.72,31.2567,31.2567,0
167.41,2008.92,31.2442,31.2442,0
167.51,2010.12,31.2317,31.2317,0
167.61,2011.32,31.2192,31.2192,0
167.71,2012.52,31.2068,31.2068,0
167.81,2013.72,31.1943,31.1943,0
167.91,2014.92,31.1819,31.1819,0
168.01,2016.12,31.1694,31.1694,0
168.11,2017.32,31.157,31.157,0
168.21,2018.52,31.1446,31.1446,0
168.31,2019.72,31.1322,31.1322,0
168.41,2020.92,31.1199,31.1199,0
168.51,2022.12,31.1075,31.1075,0
168.61,2023.32,31.0952,31.0952,0
168.71,2024.52,31.0828,31.0828,0
168.81,2025.72,31.0705,31.0705,0
168.91,2026.92,31.0582,31.0582,0
169.01,2028.12,31.0459,31.0459,0
169.11,2029.32,31.0337,31.0337,0
169.21,2030.52,31.0214,31.0214,0
169.31,2031.72,31.0091,31.0091,0
169.41,2032.92,30.9969,30.9969,0
169.51,2034.12,30.9847,30.9847,0
169.61,2035.32,30.9725,30.9725,0
169.71,2036.52,30.9603,30.9603,0
169.81,2037.72,30.9481,30.9481,0
169.91,2038.92,30.936,30.936,0
170.01,2040.12,30.9238,30.9238,0
170.11,2041.32,30.9117,30.9117,0
170.21,2042.52,30.8995,30.8995,0
170.31,2043.72,30.8874,30.8874,0
170.41,2044.92,30.8753,30.8753,0
170.51,2046.12,30.8633,30.8633,0
170.61,2047.32,30.8512,30.8512,0
170.71,2048.52,30.8391,30.8391,0
170.81,2049.72,30.8271,30.8271,0
170.91,2050.92,30.8151,30.8151,0
171.01,2052.12,30.8031,30.8031,0
171.11,2053.32,30.7911,30.7911,0
171.21,2054.52,30.7791,30.7791,0
171.31,2055.72,30.7671,30.7671,0
171.41,2056.92,30.7551,30.7551,0
171.51,2058.12,30.7432,30.7432,0
171.61,2059.32,30.7312,30.7312,0
171.71,2060.52,30.7193,30.7193,0
171.81,2061.72,30.7074,30.7074,0
171.91,2062.92,30.6955,30.6955,0
172.01,2064.12,30.6836,30.6836,0
172.11,2065.32,30.6718,30.6718,0
172.21,2066.52,30.6599,30.6599,0
172.31,2067.72,30.6481,30.6481,0
172.41,2068.92,30.6362,30.6362,0
172.51,2070.12,30.6244,30.6244,0
172.61,2071.32,30.6126,30.6126,0
172.71,2072.52,30.6008,30.6008,0
172.81,2073.72,30.5891,30.5891,0
172.91,2074.92,30.5773,30.5773,0
173.01,2076.12,30.5655,30.5655,0
173.11,2077.32,30.5538,30.5538,0
173.21,2078.52,30.5421,30.5421,0
173.31,2079.72,30.5304,30.5304,0
173.41,2080.92,30.5187,30.5187,0
173.51,2082.12,30.507,30.507,0
173.61,2083.32,30.4953,30.4953,0
173.71,2084.52,30.4837,30.4837,0
173.81,2085.72,30.472,30.472,0
173.91,2086.92,30.4604,30.4604,0
174.01,2088.12,30.4488,30.4488,0
174.11,2089.32,30.4371,30.4371,0
174.21,2090.52,30.4255,30.4255,0
174.31,2091.72,30.414,30.414,0
174.41,2092.92,30.4024,30.4024,0
174.51,2094.12,30.3908,30.3908,0
174.61,2095.32,30.3793,30.3793,0
174.71,2096.52,30.3678,30.3678,0
174.81,2097.72,30.3562,30.3562,0
174.91,2098.92,30.3447,30.3447,0
175.01,2100.12,30.3332,30.3332,0
175.11,2101.32,30.3218,30.3218,0
175.21,2102.52,30.3103,30.3103,0
175.31,2103.72,30.2988,30.2988,0
175.41,2104.92,30.2874,30.2874,0
175.51,2106.12,30.276,30.276,0
175.61,2107.32,30.2645,30.2645,0
175.71,2108.52,30.2531,30.2531,0
175.81,2109.72,30.2417,30.2417,0
175.91,2110.92,30.2303,30.2303,0
176.01,2112.12,30.219,30.219,0
176.11,2113.32,30.2076,30.2076,0
176.21,2114.52,30.1963,30.1963,0
176.31,2115.72,30.1849,30.1849,0
176.41,2116.92,30.1736,30.1736,0
176.51,2118.12,30.1623,30.1623,0
176.61,2119.32,30.151,30.151,0
176.71,2120.52,30.1397,30.1397,0
176.81,2121.72,30.1285,30.1285,0
176.91,2122.92,30.1172,30.1172,0
177.01,2124.12,30.106,30.106,0
177.11,2125.32,30.0947,30.0947,0
177.21,2126.52,30.0835,30.0835,0
177.31,2127.72,30.0723,30.0723,0
177.41,2128.92,30.0611,30.0611,0
177.51,2130.12,30.0499,30.0499,0
177.61,2131.32,30.0387,30.0387,0
177.71,2132.52,30.0276,30.0276,0
177.81,2133.72,30.0164,30.0164,0
177.91,2134.92,30.0053,30.0053,0
178.01,2136.12,29.9942,29.9942,0
178.11,2137.32,29.983,29.983,0
178.21,2138.52,29.9719,29.9719,0
178.31,2139.72,29.9608,29.9608,0
178.41,2140.92,29.9498,29.9498,0
178.51,2142.12,29.9387,29.9387,0
178.61,2143.32,29.9276,29.9276,0
178.71,2144.52,29.9166,29.9166,0
178.81,2145.72,29.9056,29.9056,0
178.91,2146.92,29.8946,29.8946,0
179.01,2148.12,29.8835,29.8835,0
179.11,2149.32,29.8726,29.8726,0
179.21,2150.52,29.8616,29.8616,0
179.31,2151.72,29.8506,29.8506,0
179.41,2152.92,29.8396,29.8396,0
179.51,2154.12,29.8287,29.8287,0
179.61,2155.32,29.8178,29.8178,0
179.71,2156.52,29.8068,29.8068,0
179.81,2157.72,29.7959,29.7959,0
179.91,2158.92,29.785,29.785,0
180.01,2160.12,29.7741,29.7741,0
180.11,2161.32,29.7632,29.7632,0
180.21,2162.52,29.7524,29.7524,0
180.31,2163.72,29.7415,29.7415,0
180.41,2164.92,29.7307,29.7307,0
180.51,2166.12,29.7198,29.7198,0
180.61,2167.32,29.709,29.709,0
180.71,2168.52,29.6982,29.6982,0
180.81,2169.72,29.6874,29.6874,0
180.91,2170.92,29.6766,29.6766,0
181.01,2172.12,29.6659,29.6659,0
181.11,2173.32,29.6551,29.6551,0
181.21,2174.52,29.6443,29.6443,0
181.31,2175.72,29.6336,29.6336,0
181.41,2176.92,29.6229,29.6229,0
181.51,2178.12,29.6122,29.6122,0
181.61,2179.32,29.6014,29.6014,0
181.71,2180.52,29.5907,29.5907,0
181.81,2181.72,29.5801,29.5801,0
181.91,2182.92,29.5694,29.5694,0
182.01,2184.12,29.5587,29.5587,0
182.11,2185.32,29.5481,29.5481,0
182.21,2186.52,29.5374,29.5374,0
182.31,2187.72,29.5268,29.5268,0
