# TOPAS 4.2.p3 / Geant4 11.3.2 Water_75eV ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,18.51,2.78476,2.78476,0,0,0.00119010938007
1,1,18.61,2.77255,2.77255,0,0,0.00121770923319
1,1,18.71,2.76047,2.76047,0,0,0.0012453090863
1,1,18.81,2.7485,2.7485,0,0,0.00127290893942
1,1,18.91,2.73664,2.73664,0,0,0.00130050879254
1,1,19.01,2.7249,2.7249,0,0,0.00132810864565
1,1,19.11,2.71327,2.71327,0,0,0.00135570849877
1,1,19.21,2.70176,2.70176,0,0,0.00138330835188
1,1,19.31,2.69034,2.69034,0,0,0.001410908205
1,1,19.41,2.67904,2.67904,0,0,0.00143850805812
1,1,19.51,2.66784,2.66784,0,0,0.00146610791123
1,1,19.61,2.65675,2.65675,0,0,0.00149370776435
1,1,19.71,2.64575,2.64575,0,0,0.00152130761746
1,1,19.81,2.63486,2.63486,0,0,0.00154890747058
1,1,19.91,2.62407,2.62407,0,0,0.0015765073237
1,1,20.01,2.61338,2.61338,0,0,0.00160437655166
1,1,20.11,2.60278,2.60278,0,0,0.00163467015327
1,1,20.21,2.59228,2.59228,0,0,0.00166496375489
1,1,20.31,2.58187,2.58187,0,0,0.0016952573565
1,1,20.41,2.57155,2.57155,0,0,0.00172555095811
1,1,20.51,2.56133,2.56133,0,0,0.00175584455973
1,1,20.61,2.5512,2.5512,0,0,0.00178613816134
1,1,20.71,2.54115,2.54115,0,0,0.00181643176295
1,1,20.81,2.53119,2.53119,0,0,0.00184672536457
1,1,20.91,2.52132,2.52132,0,0,0.00187701896618
1,1,21.01,2.51154,2.51154,0,0,0.00190805363983
1,1,21.11,2.50184,2.50184,0,0,0.00194575796187
1,1,21.21,2.49222,2.49222,0,0,0.0019834622839
1,1,21.31,2.48269,2.48269,0,0,0.00202116660593
1,1,21.41,2.47323,2.47323,0,0,0.00205887092797
1,1,21.51,2.46386,2.46386,0,0,0.00209657525
1,1,21.61,2.45457,2.45457,0,0,0.00213427957203
1,1,21.71,2.44535,2.44535,0,0,0.00217198389406
1,1,21.81,2.43621,2.43621,0,0,0.0022096882161
1,1,21.91,2.42715,2.42715,0,0,0.00224739253813
1,1,22.01,2.41816,2.41816,0,0,0.00228509686016
1,1,22.11,2.40924,2.40924,0,0,0.0023228011822
1,1,22.21,2.4004,2.4004,0,0,0.00236050550423
1,1,22.31,2.39163,2.39163,0,0,0.00239820982627
1,1,22.41,2.38293,2.38293,0,0,0.0024359141483
1,1,22.51,2.37431,2.37431,0,0,0.00247361847033
1,1,22.61,2.36575,2.36575,0,0,0.00251132279237
1,1,22.71,2.35726,2.35726,0,0,0.0025490271144
1,1,22.81,2.34884,2.34884,0,0,0.00258673143644
1,1,22.91,2.34048,2.34048,0,0,0.00262443575847
1,1,23.01,2.3322,2.3322,0,0,0.0026621400805
1,1,23.11,2.32397,2.32397,0,0,0.00269984440254
1,1,23.21,2.31582,2.31582,0,0,0.00273754872457
1,1,23.31,2.30772,2.30772,0,0,0.0027752530466
1,1,23.41,2.29969,2.29969,0,0,0.00281295736864
1,1,23.51,2.29172,2.29172,0,0,0.00285066169067
1,1,23.61,2.28381,2.28381,0,0,0.0028883660127
1,1,23.71,2.27597,2.27597,0,0,0.00292607033473
1,1,23.81,2.26818,2.26818,0,0,0.00296377465677
1,1,23.91,2.26045,2.26045,0,0,0.0030014789788
1,1,24.01,2.25279,2.25279,0,0,0.00304055422144
1,1,24.11,2.24518,2.24518,0,0,0.00309196774957
1,1,24.21,2.23762,2.23762,0,0,0.00314338127771
1,1,24.31,2.23013,2.23013,0,0,0.00319479480584
1,1,24.41,2.22269,2.22269,0,0,0.00324620833397
1,1,24.51,2.2153,2.2153,0,0,0.0032976218621
1,1,24.61,2.20797,2.20797,0,0,0.00334903539023
1,1,24.71,2.2007,2.2007,0,0,0.00340044891836
1,1,24.81,2.19348,2.19348,0,0,0.00345186244649
1,1,24.91,2.18631,2.18631,0,0,0.00350327597462
1,1,25.01,2.17919,2.17919,0,0,0.00355481593522
1,1,25.11,2.17213,2.17213,0,0,0.00360749378805
1,1,25.21,2.16511,2.16511,0,0,0.00366017164088
1,1,25.31,2.15815,2.15815,0,0,0.00371284949371
1,1,25.41,2.15124,2.15124,0,0,0.00376552734654
1,1,25.51,2.14438,2.14438,0,0,0.00381820519937
1,1,25.61,2.13756,2.13756,0,0,0.0038708830522
1,1,25.71,2.1308,2.1308,0,0,0
1,1,25.81,2.12408,2.12408,0,0,0
1,1,25.91,2.11741,2.11704,0,0.000171443,0.000959053553757
1,1,26.01,2.11078,2.10983,0,0.000452213,0.00184473547262
1,1,26.11,2.10421,2.10267,0,0.000731549,0.00236386448661
1,1,26.21,2.09768,2.09556,0,0.00100946,0.00271472716153
1,1,26.31,2.09119,2.0885,0,0.00128596,0.00297441954608
1,1,26.41,2.08475,2.08149,0,0.00156107,0.00317922107972
1,1,26.51,2.07835,2.07454,0,0.00183479,0.003348383459
1,1,26.61,2.072,2.06763,0,0.00210714,0.00349311050733
1,1,26.71,2.06569,2.06078,0,0.00237813,0.00362035271987
1,1,26.81,2.05942,2.05397,0,0.00264777,0.00373465290108
1,1,26.91,2.0532,2.04721,0,0.00291607,0.00383910562279
1,1,27.01,2.04702,2.0405,0,0.00318305,0.00393955123344
1,1,27.11,2.04088,2.03384,0,0.00344871,0.00406717459075
1,1,27.21,2.03478,2.02723,0,0.00371308,0.00419064423133
1,1,27.31,2.02873,2.02066,0,0.00397615,0.00431066544168
1,1,27.41,2.02271,2.01414,0,0.00423794,0.00442784610455
1,1,27.51,2.01673,2.00766,0,0.00449846,0.00454264578624
1,1,27.61,2.0108,2.00123,0,0.00475773,0.00465544859934
1,1,27.71,2.0049,1.99484,0,0.00501574,0.00476651130726
1,1,27.81,1.99904,1.9885,0,0.00527253,0.00487611126502
1,1,27.91,1.99322,1.9822,0,0.00552808,0.00498440904258
1,1,28.01,1.98744,1.97594,0,0.00578242,0.00509215333225
1,1,28.11,1.98169,1.96973,0,0.00603555,0.00520395897837
1,1,28.21,1.97598,1.96356,0,0.00628749,0.00531494256585
1,1,28.31,1.97031,1.95743,0,0.00653824,0.00542518166804
1,1,28.41,1.96468,1.95134,0,0.00678781,0.0055347645686
1,1,28.51,1.95908,1.9453,0,0.00703622,0.00564376839897
1,1,28.61,1.95352,1.93929,0,0.00728347,0.00575223729334
1,1,28.71,1.94799,1.93332,0,0.00752957,0.00586023074959
1,1,28.81,1.9425,1.9274,0,0.00777454,0.00596780180276
1,1,28.91,1.93704,1.92151,0,0.00801838,0.00607498236427
1,1,29.01,1.93162,1.91567,0,0.00826109,0.00618205625343
1,1,29.11,1.92623,1.90986,0,0.0085027,0.00629105396386
1,1,29.21,1.92088,1.90409,0,0.0087432,0.00639975581551
1,1,29.31,1.91556,1.89835,0,0.00898262,0.00650820718923
1,1,29.41,1.91027,1.89266,0,0.00922095,0.0066164146353
1,1,29.51,1.90502,1.887,0,0.0094582,0.00672439055676
1,1,29.61,1.8998,1.88138,0,0.00969438,0.00683214562167
1,1,29.71,1.89461,1.87579,0,0.00992951,0.00693976230356
1,1,29.81,1.88945,1.87024,0,0.0101636,0.00704717441831
1,1,29.91,1.88432,1.86473,0,0.0103966,0.00715436043473
1,1,30.01,1.87923,1.85925,0,0.0106286,0.00726489006847
1,1,30.11,1.87416,1.85381,0,0.0108596,0.00740619306152
1,1,30.21,1.86913,1.8484,0,0.0110896,0.00754743148944
1,1,30.31,1.86413,1.84303,0,0.0113185,0.00768854145052
1,1,30.41,1.85916,1.83769,0,0.0115465,0.00782972745867
1,1,30.51,1.85421,1.83238,0,0.0117734,0.00797072740744
1,1,30.61,1.8493,1.82711,0,0.0119994,0.00811174481733
1,1,30.71,1.84442,1.82187,0,0.0122244,0.00825271475273
1,1,30.81,1.83956,1.81666,0,0.0124484,0.00839363986706
1,1,30.91,1.83474,1.81149,0,0.0126714,0.00853445794303
1,1,31.01,1.82994,1.80634,0,0.0128935,0.00867530324278
1,1,31.11,1.82517,1.80123,0,0.0131147,0.00881611303645
1,1,31.21,1.82043,1.79615,0,0.0133349,0.00895688660826
1,1,31.31,1.81572,1.79111,0,0.0135541,0.00909756116254
1,1,31.41,1.81103,1.78609,0,0.0137725,0.00923833718176
1,1,31.51,1.80637,1.7811,0,0.0139899,0.00937901730973
1,1,31.61,1.80174,1.77615,0,0.0142064,0.00951960540075
1,1,31.71,1.79714,1.77122,0,0.014422,0.00966023199058
1,1,31.81,1.79256,1.76632,0,0.0146367,0.00980083364927
1,1,31.91,1.78801,1.76146,0,0.0148505,0.0099414114981
1,1,32.01,1.78348,1.75662,0,0.0150634,0.0100829600566
1,1,32.11,1.77898,1.75181,0,0.0152754,0.0102334334698
1,1,32.21,1.77451,1.74703,0,0.0154865,0.0103838306891
1,1,32.31,1.77006,1.74228,0,0.0156968,0.0105342839709
1,1,32.41,1.76564,1.73755,0,0.0159062,0.0106847267448
1,1,32.51,1.76124,1.73286,0,0.0161148,0.0108351615022
1,1,32.61,1.75687,1.72819,0,0.0163225,0.0109855864733
1,1,32.71,1.75252,1.72355,0,0.0165294,0.0111360040567
1,1,32.81,1.7482,1.71894,0,0.0167354,0.0112864124975
1,1,32.91,1.7439,1.71435,0,0.0169406,0.0114368141101
1,1,33.01,1.73962,1.70979,0,0.017145,0.0115884431537
1,1,33.11,1.73537,1.70526,0,0.0173485,0.0117511751319
1,1,33.21,1.73114,1.70075,0,0.0175513,0.0119139118135
1,1,33.31,1.72693,1.69627,0,0.0177532,0.012076649169
1,1,33.41,1.72275,1.69182,0,0.0179543,0.0122393227375
1,1,33.51,1.71859,1.68739,0,0.0181547,0.0124021330874
1,1,33.61,1.71445,1.68299,0,0.0183542,0.0125648774986
1,1,33.71,1.71034,1.67861,0,0.018553,0.0127276258621
1,1,33.81,1.70625,1.67425,0,0.0187509,0.0128903074432
1,1,33.91,1.70218,1.66992,0,0.0189481,0.0130530594807
1,1,34.01,1.69813,1.66562,0,0.0191445,0.0132158132697
1,1,34.11,1.6941,1.66134,0,0.0193402,0.0133786378868
1,1,34.21,1.6901,1.65708,0,0.0195351,0.0135413967916
1,1,34.31,1.68612,1.65285,0,0.0197292,0.0137040894198
1,1,34.41,1.68216,1.64864,0,0.0199226,0.0138668526894
1,1,34.51,1.67822,1.64446,0,0.0201153,0.0140296869472
1,1,34.61,1.6743,1.6403,0,0.0203072,0.0141924544689
1,1,34.71,1.6704,1.63616,0,0.0204984,0.0143552247423
1,1,34.81,1.66652,1.63204,0,0.0206888,0.0145179274837
1,1,34.91,1.66266,1.62795,0,0.0208785,0.0146807011269
1,1,35.01,1.65883,1.62388,0,0.0210675,0.0148460774961
1,1,35.11,1.65501,1.61983,0,0.0212558,0.0150348652342
1,1,35.21,1.65121,1.6158,0,0.0214434,0.0152236669697
1,1,35.31,1.64743,1.6118,0,0.0216303,0.0154125518884
1,1,35.41,1.64368,1.60782,0,0.0218164,0.0156013090513
1,1,35.51,1.63994,1.60386,0,0.0220019,0.0157901501777
1,1,35.61,1.63622,1.59992,0,0.0221867,0.0159790036167
1,1,35.71,1.63252,1.596,0,0.0223708,0.0161678689864
1,1,35.81,1.62884,1.5921,0,0.0225542,0.0163567459198
1,1,35.91,1.62518,1.58823,0,0.0227369,0.0165456340633
1,1,36.01,1.62153,1.58437,0,0.022919,0.0167345983606
1,1,36.11,1.61791,1.58054,0,0.0231004,0.016924146831
1,1,36.21,1.6143,1.57672,0,0.0232811,0.0171137057467
1,1,36.31,1.61072,1.57293,0,0.0234612,0.0173032763322
1,1,36.41,1.60715,1.56915,0,0.0236406,0.017492856736
1,1,36.51,1.60359,1.5654,0,0.0238194,0.017682448189
1,1,36.61,1.60006,1.56166,0,0.0239975,0.0178720488767
1,1,36.71,1.59654,1.55795,0,0.0241749,0.0180615853227
1,1,36.81,1.59305,1.55425,0,0.0243518,0.0182512798839
1,1,36.91,1.58956,1.55058,0,0.0245279,0.0184408344799
1,1,37.01,1.5861,1.54692,0,0.0247035,0.0186316661878
1,1,37.11,1.58265,1.54328,0,0.0248784,0.0188331661434
1,1,37.21,1.57923,1.53966,0,0.0250527,0.0190347529198
1,1,37.31,1.57581,1.53606,0,0.0252264,0.0192363522482
1,1,37.41,1.57242,1.53248,0,0.0253995,0.0194379638084
1,1,37.51,1.56904,1.52891,0,0.025572,0.0196395872903
1,1,37.61,1.56568,1.52537,0,0.0257438,0.0198412209465
