energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
210,0.003716143485,0.004665788871,0.005104988666,0.005015482189,0.004925406956,0.004853561699,0.00479465907,0.004682451854,0.004629445026,0.004696763519,0.004586368512,0.004465087816,0.004356941458,0.004266684442,0.004176712303,0.004090094347,0.004003225294,0.003933474713,0.003874609822,0.003805895508,0.003751698551,0.003698019727,0.003644859037,0.003608565722,0.002250920748
210.5,0.003715242262,0.004664314649,0.005103329247,0.005013861376,0.004923824848,0.004852009666,0.004793132459,0.004680971792,0.004628004283,0.004695294361,0.004584951165,0.004463728423,0.004355633137,0.004265418728,0.004175489095,0.004088912527,0.004002084938,0.003932367632,0.00387352987,0.003804848462,0.003750677091,0.003697023669,0.003643888196,0.003607611985,0.00225048756
211,0.003714348008,0.004662851942,0.005101682782,0.005012253217,0.004922255092,0.004850469751,0.00479161777,0.004679503291,0.004626574785,0.004693836669,0.004583544877,0.004462379635,0.00435433502,0.004264162885,0.004174275424,0.00408773992,0.004000953472,0.003931269178,0.003872458333,0.003803809574,0.003749663588,0.003696035369,0.003642924917,0.003606665675,0.002250057769
211.5,0.003713460665,0.00466140065,0.005100049158,0.005010657601,0.004920697582,0.00484894185,0.004790114897,0.004678046248,0.004625156435,0.004692390342,0.004582149552,0.004461041361,0.004353047021,0.004262916828,0.00417307121,0.004086576449,0.003999830818,0.003930179279,0.003871395141,0.003802778773,0.003748657974,0.003695054761,0.003641969134,0.003605726729,0.002249631346
212,0.003712580174,0.004659960673,0.005098428264,0.00500907442,0.00491915221,0.004847425857,0.004788623738,0.004676600564,0.004623749134,0.004690955283,0.004580765097,0.004459713509,0.00435176905,0.004261680473,0.00417187637,0.004085422033,0.0039987169,0.003929097859,0.00387034022,0.003801755991,0.003747660182,0.003694081779,0.003641020783,0.003604795083,0.002249208262
212.5,0.003711706477,0.004658531912,0.00509681999,0.005007503565,0.00491761887,0.00484592167,0.004787144193,0.004675166141,0.004622352789,0.004689531392,0.004579391415,0.004458395989,0.004350501022,0.004260453735,0.004170690824,0.004084276594,0.003997611643,0.003928024847,0.003869293499,0.003800741159,0.003746670144,0.003693116358,0.003640079799,0.003603870674,0.002248788488
213,0.003710839516,0.004657114271,0.005095224225,0.005005944929,0.00491609746,0.004844429186,0.004785676159,0.00467374288,0.004620967302,0.004688118574,0.004578028415,0.004457088712,0.004349242851,0.004259236532,0.00416951449,0.004083140055,0.003996514973,0.003926960169,0.003868254908,0.003799734207,0.003745687794,0.003692158432,0.003639146121,0.003602953441,0.002248371998
213.5,0.003709979235,0.004655707654,0.005093640861,0.005004398407,0.004914587874,0.004842948304,0.004784219537,0.004672330686,0.004619592582,0.004686716733,0.004576676003,0.004455791589,0.004347994451,0.004258028781,0.00416834729,0.00408201234,0.003995426815,0.003925903755,0.003867224377,0.003798735069,0.003744713065,0.003691207937,0.003638219685,0.003602043323,0.002247958763
214,0.003709125577,0.004654311964,0.00509206979,0.005002863894,0.004913090011,0.004841478922,0.004782774228,0.004670929462,0.004618228533,0.004685325774,0.004575334088,0.004454504532,0.004346755738,0.0042568304,0.004167189145,0.004080893372,0.003994347096,0.003924855532,0.003866201837,0.003797743677,0.003743745892,0.003690264809,0.003637300428,0.003601140257,0.002247548756
214.5,0.003708278486,0.004652927106,0.005090510907,0.005001341284,0.004911603769,0.004840020941,0.004781340135,0.004669539112,0.004616875065,0.004683945602,0.004574002579,0.004453227454,0.004345526628,0.004255641309,0.004166039977,0.004079783076,0.003993275744,0.003923815431,0.00386518722,0.003796759964,0.003742786211,0.003689328986,0.003636388291,0.003600244184,0.00224714195
