energy_MeVu,full_dedx,corrected_restricted_dedx,table_dedx,range_mm,lambda_per_mm,charge_square,correction_per_mm,ion_dispersion_per_mm,universal_dispersion_per_mm
320.93000000000001,12.192216825997994,10.643821291962233,10.614271317144388,215.16055089316242,10.212751382808266,36,0.029532062807339443,0.64934953119303573,0.55811062255973309
320.94,12.192013059236851,10.643630007763996,10.614080289580384,215.17185646275234,10.212581814223176,36,0.029531755907408197,0.649357524994437,0.55811967606600199
320.94999999999999,12.191809305253109,10.643438735643942,10.613889274026349,215.18316223574405,10.21241225562594,36,0.029531449054658765,0.64936551894007633,0.55812872964455995
320.95999999999998,12.191605564045631,10.643247475600957,10.613698270481324,215.19446821213197,10.212242707015845,36,0.029531142249085818,0.64937351302994628,0.55813778329540664
320.97000000000003,12.191401835613238,10.643056227633945,10.613507278944352,215.20577439191109,10.212073168392182,36,0.029530835490698237,0.64938150726404109,0.55814683701854295
320.98000000000002,12.1911981199548,10.642864991741789,10.61331629941448,215.21708077507589,10.21190363975424,36,0.029530528779494247,0.64938950164235287,0.55815589081396744
320.99000000000001,12.190994417069156,10.642673767923384,10.613125331890751,215.22838736162132,10.211734121101305,36,0.029530222115472071,0.64939749616487608,0.55816494468168143
321,12.190790726955154,10.642482556177633,10.612934376372207,215.2396941515419,10.211564612432671,36,0.029529915498638815,0.6494054908316037,0.55817399862168449
321.00999999999999,12.190587049611636,10.642291356503417,10.612743432857895,215.25100114483246,10.21139511374763,36,0.029529608928989148,0.64941348564252865,0.55818305263397627
321.01999999999998,12.190383385037462,10.642100168899638,10.612552501346858,215.26230834148771,10.211225625045463,36,0.029529302406530178,0.6494214805976446,0.55819210671855701
321.03000000000003,12.190179733231473,10.641908993365188,10.61236158183814,215.27361574150245,10.211056146325463,36,0.029528995931261903,0.64942947569694476,0.55820116087542693
321.04000000000002,12.189976094192525,10.641717829898967,10.612170674330784,215.28492334487132,10.21088667758692,36,0.029528689503180772,0.64943747094042259,0.55821021510458602
321.05000000000001,12.189772467919459,10.641526678499867,10.611979778823834,215.29623115158893,10.210717218829124,36,0.029528383122293889,0.64944546632807121,0.55821926940603372
321.06,12.18956885441113,10.641335539166771,10.611788895316336,215.30753916165014,10.210547770051363,36,0.029528076788597701,0.64945346185988351,0.55822832377977027
321.06999999999999,12.189365253666381,10.641144411898594,10.61159802380733,215.31884737504961,10.210378331252931,36,0.029527770502095763,0.64946145753585383,0.55823737822579622
321.07999999999998,12.189161665684056,10.64095329669421,10.611407164295866,215.3301557917822,10.210208902433111,36,0.029527464262791625,0.64946945335597495,0.55824643274411101
321.09000000000003,12.188958090463027,10.640762193552531,10.611216316780983,215.34146441184245,10.210039483591192,36,0.029527158070683512,0.64947744932024021,0.55825548733471497
321.10000000000002,12.188754528002116,10.640571102472444,10.611025481261725,215.35277323522521,10.209870074726469,36,0.029526851925771425,0.64948544542864262,0.55826454199760756
321.11000000000001,12.188550978300194,10.640380023452851,10.610834657737142,215.36408226192509,10.209700675838231,36,0.029526545828058914,0.64949344168117584,0.5582735967327892
321.12,12.188347441356102,10.640188956492642,10.610643846206271,215.37539149193697,10.20953128692576,36,0.029526239777547758,0.64950143807783345,0.55828265154026002
321.13,12.18814391716869,10.639997901590718,10.610453046668159,215.38670092525538,10.209361907988352,36,0.029525933774236179,0.64950943461860799,0.55829170642001957
321.13999999999999,12.187940405736807,10.63980685874596,10.610262259121852,215.39801056187514,10.209192539025299,36,0.029525627818127731,0.64951743130349349,0.55830076137206808
321.15000000000003,12.187736907059303,10.639615827957281,10.610071483566388,215.40932040179106,10.209023180035881,36,0.029525321909224189,0.64952542813248348,0.55830981639640609
321.16000000000003,12.187533421135029,10.639424809223568,10.609880720000817,215.42063044499767,10.208853831019393,36,0.029525016047525554,0.64953342510557022,0.55831887149303261
321.17000000000002,12.187329947962837,10.639233802543723,10.609689968424179,215.43194069148981,10.208684491975129,36,0.029524710233031826,0.64954142222274791,0.5583279266619483
321.18000000000001,12.187126487541581,10.63904280791664,10.609499228835524,215.44325114126218,10.208515162902371,36,0.029524404465746557,0.64954941948400979,0.55833698190315317
321.19,12.1869230398701,10.638851825341209,10.60930850123389,215.45456179430948,10.20834584380041,36,0.02952409874566797,0.64955741688934854,0.55834603721664644
321.19999999999999,12.186719604947255,10.638660854816335,10.609117785618322,215.46587265062652,10.208176534668535,36,0.029523793072803173,0.64956541443875837,0.55835509260242899
321.20999999999998,12.186516182771896,10.638469896340913,10.608927081987863,215.47718371020795,10.208007235506038,36,0.029523487447146834,0.6495734121322323,0.55836414806050072
321.22000000000003,12.18631277334287,10.63827894991384,10.608736390341562,215.48849497304852,10.207837946312205,36,0.029523181868700732,0.64958140996976343,0.55837320359086129
321.23000000000002,12.186109376659033,10.638088015534013,10.608545710678458,215.49980643914287,10.207668667086331,36,0.029522876337470194,0.64958940795134512,0.55838225919351081
321.24000000000001,12.185905992719233,10.637897093200326,10.608355042997598,215.51111810848582,10.2074993978277,36,0.029522570853453445,0.64959740607697092,0.55839131486844928
