depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
21.625,peak,2.972054630845378e-10,2.954499746010697e-10,3.8918032861440077e-13,8.234193645530956e-13,0.5941745250912289,-0.24532974899082738,1.4336787991732853
21.875,peak,2.972616857732646e-10,2.952707257009024e-10,5.79459974207234e-13,6.768826759454474e-13,0.6742829204067213,-0.07166252311063921,1.420228363924082
22.125,peak,2.966873637433309e-10,2.9515499022636507e-10,6.963613223631848e-13,7.369385160016264e-13,0.5191758796931012,-0.32446293534759746,1.3628146947337998
22.375,peak,2.9630438007188786e-10,2.9476543431883325e-10,8.416975958622825e-13,7.623456931305847e-13,0.5220916613275728,-0.4248374879337593,1.4690208105889049
22.625,peak,2.955499496692937e-10,2.942976118447404e-10,6.858505843476684e-13,8.931809525745797e-13,0.425534484192136,-0.5291416582515082,1.38021062663578
22.875,peak,2.953712919406826e-10,2.9413128345368023e-10,8.53678043887356e-13,1.0139259078488076e-12,0.4215833393994117,-0.691998977748335,1.5351656565471585
23.125,peak,2.9505826887543664e-10,2.9418746066767196e-10,5.040471716568009e-13,9.024933410080207e-13,0.29600452914897435,-0.6271100197269397,1.2191190780248884
23.375,peak,2.946132838133053e-10,2.9381149602158986e-10,7.513031014059628e-13,1.0211647942574416e-12,0.27289190605956914,-0.8083193116671901,1.3541031237863284
23.625,peak,2.943434469671047e-10,2.934620169980917e-10,7.647535243962508e-13,9.427568528094833e-13,0.300355725088175,-0.724515770769882,1.325227220946232
23.875,peak,2.9403354574242256e-10,2.933474411292991e-10,9.238757072485034e-13,8.185595921162684e-13,0.23388805113899735,-0.8002711104860463,1.268047212764041
24.125,peak,2.9403343546618996e-10,2.9206023441474825e-10,7.033203000596232e-13,5.836031800976949e-13,0.6756144174833612,-0.09812415849769557,1.449352993464418
24.375,peak,2.9337514547478353e-10,2.9127570314813053e-10,9.0892598076142e-13,6.97590343355679e-13,0.7207749578705291,-0.2593644145389611,1.7009143302800191
24.625,peak,2.930872949491459e-10,2.909048760102451e-10,1.0905786147752227e-12,5.860667908717004e-13,0.7502173799327938,-0.3733568011746749,1.8737915610402625
24.875,peak,2.933210498667904e-10,2.907785722072731e-10,9.986345291399854e-13,7.508310540728932e-13,0.8743689881333561,-0.19921437071112708,1.9479523469778393
25.125,peak,2.930227310571353e-10,2.906500935750955e-10,1.1316913526673584e-12,5.886174250674439e-13,0.8163209076782252,-0.34969658324605357,1.9823383986025038
25.375,peak,2.9275033853082276e-10,2.9072254392303873e-10,1.4200969609203914e-12,5.468983792159779e-13,0.6975016730456307,-0.7746687018077928,2.1696720478990543
25.625,peak,2.919465941886301e-10,2.902354333400581e-10,1.1075339298838582e-12,8.197864442782924e-13,0.5895768235049115,-0.5981453294190852,1.777298976428908
25.875,peak,2.918392704032158e-10,2.89455641677705e-10,1.1989917109401342e-12,5.041291574294664e-13,0.8234867048004801,-0.420247707045115,2.067221116646075
26.125,peak,2.9173736834309234e-10,2.8951572517144087e-10,1.4846845129019252e-12,4.3113342682163847e-13,0.7673652857149271,-0.8015015876339262,2.3362321590637802
26.375,peak,2.9071568292238226e-10,2.8929303311997503e-10,1.3292427540496055e-12,3.7444704079590594e-13,0.491767737046489,-0.9164198112690937,1.8999552853620718
