depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
34.125,peak,2.8042340090905784e-10,2.7985264068774996e-10,9.59710091822759e-13,1.3531749932721356e-12,0.2039502717948949,-1.2883598459344456,1.6962603895242352
34.375,peak,2.8001649070574787e-10,2.789291352200962e-10,9.512866980089282e-13,1.1934557209496962e-12,0.38983216464414383,-0.9691172346974362,1.748781563985724
34.625,peak,2.800809863856557e-10,2.781587204481184e-10,9.245078360210312e-13,1.3234570353268162e-12,0.6910680112564904,-0.7791822490635529,2.161318271576534
34.875,peak,2.7935882712881723e-10,2.7811405402644596e-10,1.215733980338107e-12,1.1806316651475539e-12,0.4475764832268858,-1.0468978136396336,1.9420507800934053
35.125,peak,2.7867122526004093e-10,2.779323187951377e-10,1.0923303993461007e-12,9.312384922431386e-13,0.26585841765593976,-1.0067506026197623,1.5384674379316419
35.375,peak,2.787581320262689e-10,2.777385361696361e-10,1.0184933294757739e-12,9.070118100805039e-13,0.3671063694272725,-0.8400426463037576,1.5742553851583025
35.625,peak,2.7840324491990035e-10,2.7775370540439326e-10,1.1245487757930976e-12,1.1085585901025177e-12,0.2338544915400531,-1.1589170000589315,1.626625983139038
35.875,peak,2.7777913942372833e-10,2.7767261258304644e-10,8.266664175302352e-13,7.903818164800599e-13,0.03836418712344081,-0.97016942014696,1.0468977943938416
36.125,peak,2.775750397177035e-10,2.775535983801092e-10,1.0415812657773768e-12,6.549835595840809e-13,0.007725116056667147,-1.1283280574219678,1.1437782895353021
36.375,peak,2.776877295218583e-10,2.7728089321499284e-10,9.933786706041684e-13,7.819784810353272e-13,0.14672352723201776,-0.9844607864338247,1.2779078408978601
36.625,peak,2.7692340268004043e-10,2.7637279686132387e-10,1.3861047482832933e-12,7.163916516051102e-13,0.19922576497022337,-1.3023887140348276,1.7008402439752743
36.875,peak,2.76553838602922e-10,2.760753386610304e-10,1.182382696520739e-12,6.275838049302777e-13,0.17332223305868144,-1.109621679731674,1.456266145849037
