energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
10.5,6.5994496458e-03,1.0567089834e-02,1.1806871964e-02,1.1547971807e-02,1.1288148881e-02,1.1087220759e-02,1.0916555741e-02,1.0605467978e-02,1.0328810641e-02,1.0509725251e-02,1.0154759466e-02,9.7574526392e-03,9.4075004174e-03,9.1155293421e-03,8.8242501690e-03,8.5404869317e-03,8.2562096598e-03,8.0281428984e-03,7.8424171797e-03,7.6167533647e-03,7.4414633304e-03,7.2673747693e-03,7.0944876815e-03,6.9772970695e-03,3.3997336576e-03
11,6.5828659572e-03,1.0496756675e-02,1.1724429646e-02,1.1468127545e-02,1.1210909780e-02,1.1011919112e-02,1.0842972956e-02,1.0534857494e-02,1.0262388759e-02,1.0441828928e-02,1.0090915772e-02,9.6982106720e-03,9.3522731219e-03,9.0636520672e-03,8.7757161056e-03,8.4952404626e-03,8.2142532853e-03,7.9888237963e-03,7.8051862519e-03,7.5821423931e-03,7.4088621127e-03,7.2367746473e-03,7.0658799971e-03,6.9500315008e-03,3.4064751315e-03
11.5,6.5648179608e-03,1.0427117600e-02,1.1643061072e-02,1.1389273525e-02,1.1134577002e-02,1.0937463951e-02,1.0770181090e-02,1.0464946860e-02,1.0196488277e-02,1.0374482590e-02,1.0027472911e-02,9.6391988859e-03,9.2971279034e-03,9.0117331909e-03,8.7270170528e-03,8.4497070170e-03,8.1718879711e-03,7.9489980591e-03,7.7673724932e-03,7.5468512412e-03,7.3755066153e-03,7.2053463193e-03,7.0363703534e-03,6.9218145112e-03,3.4111465782e-03
12,6.5455921542e-03,1.0358279818e-02,1.1562849794e-02,1.1311498692e-02,1.1059244935e-02,1.0863953306e-02,1.0698281794e-02,1.0395843199e-02,1.0131231902e-02,1.0307808894e-02,9.9645649521e-03,9.5805645082e-03,9.2422233476e-03,8.9599407923e-03,8.6783305569e-03,8.4040735522e-03,8.1293100741e-03,7.9088695674e-03,7.7291855628e-03,7.5110970889e-03,7.3416196976e-03,7.1733183227e-03,7.0061929641e-03,6.8928841036e-03,3.4140611428e-03
12.5,6.5254215541e-03,1.0290319520e-02,1.1483850462e-02,1.1234862584e-02,1.0984978040e-02,1.0791454968e-02,1.0627346133e-02,1.0327622588e-02,1.0066709258e-02,1.0241897175e-02,9.9022913182e-03,9.5224185803e-03,9.1876805336e-03,8.9084043392e-03,8.6297944518e-03,8.3584862122e-03,8.0866740395e-03,7.8685994118e-03,7.6907916656e-03,7.4750527812e-03,7.3073792241e-03,7.1408735386e-03,6.9755357248e-03,6.8634315229e-03,3.4154777319e-03
13,6.5044968510e-03,1.0223289394e-02,1.1406096108e-02,1.1159402668e-02,1.0911818254e-02,1.0720013919e-02,1.0557422061e-02,1.0260337578e-02,1.0002984750e-02,1.0176811376e-02,9.8407249179e-03,9.4648443258e-03,9.1335916021e-03,8.8572234236e-03,8.5815157612e-03,8.3130593978e-03,8.0441016379e-03,7.8283152632e-03,7.6523230221e-03,7.4388564321e-03,7.2729277681e-03,7.1081589964e-03,6.9445501170e-03,6.8336112264e-03,3.4156119243e-03
13.5,6.4829749555e-03,1.0157224232e-02,1.1329603564e-02,1.1085139812e-02,1.0839790511e-02,1.0649657886e-02,1.0488540002e-02,1.0194022814e-02,9.9401034584e-03,1.0112596004e-02,9.7799182592e-03,9.4079034547e-03,9.0800262226e-03,8.8064743654e-03,8.5335774380e-03,8.2678826425e-03,8.0016889778e-03,7.7881184944e-03,7.6138850711e-03,7.4026187365e-03,7.2383800052e-03,7.0752933483e-03,6.9133587657e-03,6.8035484953e-03,3.4146443842e-03
14,6.4609856136e-03,1.0092145173e-02,1.1254377516e-02,1.1012082387e-02,1.0768906888e-02,1.0580401510e-02,1.0420717061e-02,1.0128699276e-02,9.8780955978e-03,1.0049280621e-02,9.7199080841e-03,9.3516409547e-03,9.0270365186e-03,8.7562152502e-03,8.4860435144e-03,8.2230258747e-03,7.9595118795e-03,7.7480896433e-03,7.5755620001e-03,7.3664285910e-03,7.2038284011e-03,7.0423726247e-03,6.8820612618e-03,6.7733453024e-03,3.4127274161e-03
14.5,6.4386365727e-03,1.0028062914e-02,1.1180413568e-02,1.0940229363e-02,1.0699169747e-02,1.0512249509e-02,1.0353960204e-02,1.0064377501e-02,9.8169799204e-03,9.9868832818e-03,9.6607189096e-03,9.2960887621e-03,8.9746608507e-03,8.7064898052e-03,8.4389630709e-03,8.1785434800e-03,7.9176300301e-03,7.7082926425e-03,7.5374210305e-03,7.3303574531e-03,7.1693476267e-03,7.0094747053e-03,6.8507386890e-03,6.7430848761e-03,3.4099901187e-03
15,6.4160176506e-03,9.9649801755e-03,1.1107700562e-02,1.0869572672e-02,1.0630574125e-02,1.0445199091e-02,1.0288268699e-02,1.0001060051e-02,9.7567663264e-03,9.9254131639e-03,9.6023657539e-03,9.2412685963e-03,8.9229267435e-03,8.6573304044e-03,8.3923733186e-03,8.1344774611e-03,7.8760902211e-03,7.6687781186e-03,7.4995157636e-03,7.2944627500e-03,7.1349980129e-03,6.9766628203e-03,6.8194571721e-03,6.7128352790e-03,3.4065424722e-03
15.5,6.3932039655e-03,9.9028935951e-03,1.1036222351e-02,1.0800099002e-02,1.0563109564e-02,1.0379241804e-02,1.0223635986e-02,9.9387434050e-03,9.6974578817e-03,9.8648725983e-03,9.5448562466e-03,9.1871941621e-03,8.8718531660e-03,8.6087604144e-03,8.3463020106e-03,8.0908599142e-03,7.8349288900e-03,7.6295859854e-03,7.4618888137e-03,7.2587905635e-03,7.1008282749e-03,6.9439883136e-03,6.7882706794e-03,6.6826522370e-03,3.4024786066e-03
16,6.3702585182e-03,9.8417951922e-03,1.0965959155e-02,1.0731791185e-02,1.0496761522e-02,1.0314364957e-02,1.0160051115e-02,9.8774194264e-03,9.6390523850e-03,9.8052586495e-03,9.4881922739e-03,9.1338728706e-03,8.8214523195e-03,8.5607960369e-03,8.3007693397e-03,8.0477149823e-03,7.7941741281e-03,7.5907474968e-03,7.4245738932e-03,7.2233777591e-03,7.0668776746e-03,6.9114928387e-03,6.7572232514e-03,6.6525813901e-03,3.3978794332e-03
16.5,6.3472342705e-03,9.7816735056e-03,1.0896888599e-02,1.0664629258e-02,1.0431512459e-02,1.0250552726e-02,1.0097499867e-02,9.8170765032e-03,9.5815435907e-03,9.7465643460e-03,9.4323712655e-03,9.0813071922e-03,8.7717310461e-03,8.5134477654e-03,8.2557894416e-03,8.0050604049e-03,7.7538472772e-03,7.5522868798e-03,7.3875974752e-03,7.1882536862e-03,7.0331777483e-03,6.8792101146e-03,6.7263507852e-03,6.6226600951e-03,3.3928147792e-03
17,6.3241758289e-03,9.7225144795e-03,1.0828986516e-02,1.0598591281e-02,1.0367342679e-02,1.0187787004e-02,1.0035965620e-02,9.7577004337e-03,9.5249221671e-03,9.6887796438e-03,9.3773872066e-03,9.0294957248e-03,8.7226919451e-03,8.4667215410e-03,8.2113715915e-03,7.9629087541e-03,7.7139642062e-03,7.5142226437e-03,7.3509801257e-03,7.1534415426e-03,6.9997536959e-03,6.8471673389e-03,6.6956824715e-03,6.5929188791e-03,3.3873451296e-03
