energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
10.100000,6.842416761640e-03,9.461258428263e-03,1.050916313229e-02,1.029384672004e-02,1.007745069195e-02,9.906462438671e-03,9.764715335656e-03,9.498604559788e-03,9.337488719252e-03,9.496574121132e-03,9.221782514714e-03,8.917844053494e-03,8.648030383088e-03,8.422838649181e-03,8.198328018652e-03,7.981244162813e-03,7.763647445024e-03,7.588960560247e-03,7.443420530290e-03,7.271064023773e-03,7.135862439272e-03,7.001826043911e-03,6.868954837681e-03,6.778480602523e-03,3.645640706360e-03
10.600000,6.809449288331e-03,9.365280821023e-03,1.039712425306e-02,1.018521579293e-02,9.972237667517e-03,9.803833878935e-03,9.664338108788e-03,9.402205331569e-03,9.245822026250e-03,9.402802159277e-03,9.133066459361e-03,8.834837214275e-03,8.570022676507e-03,8.349002976827e-03,8.128654681347e-03,7.915649474537e-03,7.702135553608e-03,7.530722716451e-03,7.387803424483e-03,7.218694591086e-03,7.085996255694e-03,6.954449922183e-03,6.824055590552e-03,6.735253628592e-03,3.647785486820e-03
11.100000,6.775158121804e-03,9.270814217365e-03,1.028716680678e-02,1.007854266885e-02,9.868858243870e-03,9.702948267040e-03,9.565621761385e-03,9.307328369888e-03,9.155450103804e-03,9.310378240551e-03,9.045491346385e-03,8.752735611418e-03,8.492714925563e-03,8.275695832748e-03,8.059338879855e-03,7.850243849890e-03,7.640644234950e-03,7.472370421638e-03,7.331965449115e-03,7.165969953613e-03,7.035672130476e-03,6.906513466257e-03,6.778493960941e-03,6.691295672265e-03,3.647527371800e-03
11.600000,6.739875099382e-03,9.177949678862e-03,1.017934320948e-02,9.973888346778e-03,9.767382067545e-03,9.603881295415e-03,9.468647719633e-03,9.214064271372e-03,9.066483816871e-03,9.219411683878e-03,8.959182904266e-03,8.671683762134e-03,8.416267942159e-03,8.203091647912e-03,7.990568623813e-03,7.785228735635e-03,7.579388362159e-03,7.414129302150e-03,7.276140604641e-03,7.113134838742e-03,6.985142942018e-03,6.858277692355e-03,6.732539089760e-03,6.646881315315e-03,3.645261597490e-03
12.100000,6.703864937815e-03,9.086742034266e-03,1.007367348457e-02,9.871280550513e-03,9.667844617400e-03,9.506673901568e-03,9.373462060270e-03,9.122467403335e-03,8.978995093453e-03,9.129972733518e-03,8.874225817838e-03,8.591782871488e-03,8.340797267272e-03,8.131317943780e-03,7.922483380260e-03,7.720755412671e-03,7.518531022002e-03,7.356171900911e-03,7.220508810451e-03,7.060378595423e-03,6.934605210863e-03,6.809946279333e-03,6.686401800834e-03,6.602226168843e-03,3.641311416300e-03
12.600000,6.667339991491e-03,8.997219492371e-03,9.970154401466e-03,9.770722981956e-03,9.570256574339e-03,9.411341707892e-03,9.280085028506e-03,9.032565524476e-03,8.893027012058e-03,9.042102718984e-03,8.790674195848e-03,8.513101656753e-03,8.266384301909e-03,8.060466719967e-03,7.855185717154e-03,7.656936894943e-03,7.458195668558e-03,7.298630034859e-03,7.165208417090e-03,7.007847910741e-03,6.884211969573e-03,6.761678592075e-03,6.640247778258e-03,6.557500152933e-03,3.635943176290e-03
13.100000,6.630471411820e-03,8.909390690102e-03,9.868766115346e-03,9.672202058280e-03,9.474610657424e-03,9.317881918521e-03,9.188518001031e-03,8.944366837545e-03,8.808601224963e-03,8.955821527123e-03,8.708559292631e-03,8.435684357879e-03,8.193084566002e-03,7.990602921314e-03,7.788749977699e-03,7.593856810608e-03,7.398475210627e-03,7.241604047334e-03,7.110345584301e-03,6.955656353398e-03,6.834082430412e-03,6.713599473606e-03,6.594207482988e-03,6.512837496180e-03,3.629377824350e-03
13.600000,6.593397674246e-03,8.823249902173e-03,9.769477024910e-03,9.575691852600e-03,9.380886648668e-03,9.226278396945e-03,9.098748619819e-03,8.857865201747e-03,8.725723466941e-03,8.871133144005e-03,8.627895253863e-03,8.359556719091e-03,8.120933883475e-03,7.921770792837e-03,7.723228804723e-03,7.531576095188e-03,7.339438873356e-03,7.185169804591e-03,7.056001380464e-03,6.903891608139e-03,6.784309321372e-03,6.665806682816e-03,6.548383692479e-03,6.468344342932e-03,3.621799776410e-03
14.100000,6.556231156404e-03,8.738780917997e-03,9.672247346184e-03,9.481157738581e-03,9.289055109287e-03,9.136505428089e-03,9.010754602226e-03,8.773044010920e-03,8.644387673635e-03,8.788029794872e-03,8.548683424843e-03,8.284730491483e-03,8.049953052041e-03,7.853998689794e-03,7.658658090427e-03,7.470138080303e-03,7.281137425736e-03,7.129384034242e-03,7.002237206088e-03,6.852621010444e-03,6.734964504550e-03,6.618376596597e-03,6.502857286553e-03,6.424104595160e-03,3.613363825090e-03
14.600000,6.519063257721e-03,8.655959943580e-03,9.577031752196e-03,9.388559090887e-03,9.199080141642e-03,9.048530520208e-03,8.924506583702e-03,8.689879095903e-03,8.564579079609e-03,8.706495056227e-03,8.470915602241e-03,8.211206845815e-03,7.980151395195e-03,7.787302745945e-03,7.595060760474e-03,7.409572393153e-03,7.223607195195e-03,7.074288432016e-03,6.949098971248e-03,6.801895816098e-03,6.686103315268e-03,6.571368618456e-03,6.457691725664e-03,6.380184437014e-03,3.604200568630e-03
