energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
10.100000,6.611426703641e-03,1.062375812247e-02,1.187351832775e-02,1.161247561102e-02,1.135050410735e-02,1.114798027340e-02,1.097589747401e-02,1.066236229975e-02,1.038221356708e-02,1.056432812029e-02,1.020600418062e-02,9.804883104473e-03,9.451603884524e-03,9.156856533653e-03,8.862806761799e-03,8.576318465528e-03,8.289314161544e-03,8.059061524386e-03,7.871606023706e-03,7.643770434677e-03,7.466814933094e-03,7.291067955571e-03,7.116529502129e-03,6.998226707799e-03,3.392596323780e-03
10.600000,6.596265954834e-03,1.055297410550e-02,1.179030281825e-02,1.153192923079e-02,1.127263433082e-02,1.107209867258e-02,1.090178205906e-02,1.059129632075e-02,1.031549180710e-02,1.049610925008e-02,1.014196652179e-02,9.745594382434e-03,9.396457538936e-03,9.105166859802e-03,8.814566696576e-03,8.531471230821e-03,8.247862228037e-03,8.020331131431e-03,7.835029445895e-03,7.609897804708e-03,7.435015946951e-03,7.261333816894e-03,7.088851414567e-03,6.971933381378e-03,3.401264751820e-03
11.100000,6.579363458254e-03,1.048276938319e-02,1.170806687107e-02,1.145227418105e-02,1.119556719553e-02,1.099695671639e-02,1.082834754375e-02,1.052081543208e-02,1.024916247162e-02,1.042831118042e-02,1.007819026600e-02,9.686384587399e-03,9.341231814853e-03,9.053265601631e-03,8.765983155474e-03,8.486150074325e-03,8.205805962232e-03,7.980891949630e-03,7.797662701209e-03,7.575130897109e-03,7.402243483381e-03,7.230547173903e-03,7.060041968646e-03,6.944455831975e-03,3.407564117770e-03
11.600000,6.561058877362e-03,1.041328310988e-02,1.162692412066e-02,1.137362994774e-02,1.111942809126e-02,1.092268370960e-02,1.075572716462e-02,1.045105874276e-02,1.018338218557e-02,1.036109075783e-02,1.001484490506e-02,9.627437803483e-03,9.286123386177e-03,9.001359956748e-03,8.717273830431e-03,8.440583126325e-03,8.163383918839e-03,7.940990877251e-03,7.759759084474e-03,7.539731350076e-03,7.368765475259e-03,7.198982254041e-03,7.030381686423e-03,6.916078781293e-03,3.411861053400e-03
12.100000,6.541626966861e-03,1.034461557552e-02,1.154695164307e-02,1.129607889553e-02,1.104430471547e-02,1.084937092612e-02,1.068401574397e-02,1.038212645261e-02,1.011826629239e-02,1.029456322276e-02,9.952056808313e-03,9.568893228126e-03,9.231282526557e-03,8.949609456128e-03,8.668607484385e-03,8.394948325378e-03,8.120783201088e-03,7.900822353505e-03,7.721518671672e-03,7.503906572138e-03,7.334794869531e-03,7.166857540922e-03,7.000094586343e-03,6.887029943189e-03,3.414456835900e-03
12.600000,6.521291481047e-03,1.027683774059e-02,1.146819925050e-02,1.121967562813e-02,1.097025650102e-02,1.077708106892e-02,1.061327919561e-02,1.031408940202e-02,1.005389881634e-02,1.022881226938e-02,9.889919518569e-03,9.510855745222e-03,9.176823918828e-03,8.898136971597e-03,8.620115156106e-03,8.349384821567e-03,8.078151061744e-03,7.860540117711e-03,7.683100196209e-03,7.467821777565e-03,7.300501780521e-03,7.134348046188e-03,6.969360574525e-03,6.857492493387e-03,3.415600924460e-03
13.100000,6.500235740706e-03,1.020999831419e-02,1.139069635183e-02,1.114445390645e-02,1.089732159300e-02,1.070585527679e-02,1.054356157146e-02,1.024699616068e-02,9.990339877826e-03,1.016389753099e-02,9.828501429275e-03,9.453403826637e-03,9.122834748366e-03,8.847036969577e-03,8.571898573857e-03,8.304001550814e-03,8.035603637632e-03,7.820266071807e-03,7.644630006890e-03,7.431609073025e-03,7.266022672586e-03,7.101594588147e-03,6.938324819669e-03,6.827614508406e-03,3.415501309070e-03
13.600000,6.478610746774e-03,1.014412905728e-02,1.131445706112e-02,1.107043180724e-02,1.082552205854e-02,1.063571836152e-02,1.047489033324e-02,1.018087833832e-02,9.927631265247e-03,1.009986020298e-02,9.767851564272e-03,9.396595495267e-03,9.069380822810e-03,8.796381762156e-03,8.524036537243e-03,8.258883748135e-03,7.993232593779e-03,7.780097029118e-03,7.606208894778e-03,7.395374389706e-03,7.231467370326e-03,7.068710880746e-03,6.907104920966e-03,6.797516185645e-03,3.414332508200e-03
14.100000,6.456541471661e-03,1.007924878893e-02,1.123948403058e-02,1.099761559973e-02,1.075486780802e-02,1.056668275388e-02,1.040728032848e-02,1.011575459647e-02,9.865800657730e-03,1.003672730222e-02,9.708003966744e-03,9.340472865004e-03,9.016511241459e-03,8.746226284655e-03,8.476589802664e-03,8.214097940997e-03,7.951110224557e-03,7.740109901783e-03,7.567917345249e-03,7.359202821944e-03,7.196924461904e-03,7.035789001592e-03,6.875796441021e-03,6.767295419331e-03,3.412241811150e-03
14.600000,6.434131781386e-03,1.001536643508e-02,1.116577134569e-02,1.092600267887e-02,1.068535956689e-02,1.049875149779e-02,1.034073681074e-02,1.005163370095e-02,9.804864849481e-03,9.974514918571e-03,9.648981058089e-03,9.285065624947e-03,8.964261986803e-03,8.696611777040e-03,8.429604854222e-03,8.169695810170e-03,7.909293404036e-03,7.700365722514e-03,7.529819613642e-03,7.323162774610e-03,7.162465500055e-03,7.002903646761e-03,6.844477214707e-03,6.737032145192e-03,3.409354195220e-03
