# Canonical Geant4/TOPAS C12 Stopping Power Table for 25 Schneider Sections
energy_mevu,section_id,material_name,density_g_cm3,mass_stopping_power_mev_mm_per_g_cm3,linear_stopping_power_mev_per_mm,csda_range_mm
1.11,7,PatientTissueFromHU49,1.0430800,635.4903884000,662.8673144000,0.0191532769
1.11,8,PatientTissueFromHU100,1.0788000,628.1025370000,677.5970169000,0.0186602618
1.11,9,PatientTissueFromHU160,1.1085700,634.4645182000,703.3483310000,0.0175686869
1.11,10,PatientTissueFromHU250,1.1660600,621.1950957000,724.3507533000,0.0171212155
1.11,11,PatientTissueFromHU350,1.2314600,606.6418739000,747.0552020000,0.0166701297
1.11,12,PatientTissueFromHU450,1.2965800,593.5260362000,769.5539880000,0.0162459930
1.11,13,PatientTissueFromHU550,1.3606300,582.5304996000,792.6084736000,0.0158288568
1.11,14,PatientTissueFromHU650,1.4258500,571.7248588000,815.1938899000,0.0154456447
1.11,15,PatientTissueFromHU750,1.4919000,561.2826137000,837.3775314000,0.0150907450
1.11,16,PatientTissueFromHU850,1.5592200,550.9196812000,859.0049852000,0.0147644283
1.11,17,PatientTissueFromHU950,1.6247800,542.5430904000,881.5131624000,0.0144338006
1.11,18,PatientTissueFromHU1050,1.6890400,535.4502998000,904.3969744000,0.0141088664
1.11,19,PatientTissueFromHU1150,1.7563600,527.1864251000,925.9291495000,0.0138253098
1.11,20,PatientTissueFromHU1250,1.8216000,520.6662568000,948.4456533000,0.0135353648
1.11,21,PatientTissueFromHU1350,1.8875600,514.2024487000,970.5879741000,0.0132637133
1.11,22,PatientTissueFromHU1450,1.9542400,507.7950013000,992.3533034000,0.0130088156
1.11,23,PatientTissueFromHU2247,2.4196000,503.4543696000,1218.1581930000,0.0106186472
1.11,24,PatientTissueFromHU2995,4.5524800,352.9615959000,1606.8506060000,0.0083671965
1.21,0,PatientTissueFromHUNegative975,0.0393235,501.3807096000,19.7160443400,0.7201403430
1.21,1,PatientTissueFromHUNegative535,0.4700410,616.6469359000,289.8493424000,0.0468072354
1.21,2,PatientTissueFromHUNegative102,0.8749110,660.0318796000,577.4691518000,0.0223101082
1.21,3,PatientTissueFromHUNegative68,0.9126860,651.0111696000,594.1687804000,0.0218888135
1.21,4,PatientTissueFromHUNegative38,0.9471830,642.0832482000,608.1703373000,0.0215867914
1.21,5,PatientTissueFromHUNegative8,0.9803890,634.9806986000,622.5280921000,0.0212808874
1.21,6,PatientTissueFromHU12,1.0038600,629.1785088000,631.6071378000,0.0211178619
1.21,7,PatientTissueFromHU49,1.0430800,618.0993020000,644.7270199000,0.0209888262
1.21,8,PatientTissueFromHU100,1.0788000,610.6525079000,658.7719255000,0.0204562919
1.21,9,PatientTissueFromHU160,1.1085700,615.0443330000,681.8196962000,0.0193014682
1.21,10,PatientTissueFromHU250,1.1660600,602.4304967000,702.4701050000,0.0188034086
1.21,11,PatientTissueFromHU350,1.2314600,588.5949072000,724.8310844000,0.0183008144
1.21,12,PatientTissueFromHU450,1.2965800,576.1198445000,746.9854680000,0.0178286602
1.21,13,PatientTissueFromHU550,1.3606300,565.6689444000,769.6661358000,0.0173651888
1.21,14,PatientTissueFromHU650,1.4258500,555.3957286000,791.9109997000,0.0169391178
1.21,15,PatientTissueFromHU750,1.4919000,545.4685441000,813.7845209000,0.0165443657
1.21,16,PatientTissueFromHU850,1.5592200,535.6079419000,835.1306152000,0.0161811738
1.21,17,PatientTissueFromHU950,1.6247800,527.6479220000,857.3117907000,0.0158141322
1.21,18,PatientTissueFromHU1050,1.6890400,520.9096562000,879.8372456000,0.0154540662
1.21,19,PatientTissueFromHU1150,1.7563600,513.0461340000,901.0937079000,0.0151390032
1.21,20,PatientTissueFromHU1250,1.8216000,506.8535864000,923.2844930000,0.0148176781
1.21,21,PatientTissueFromHU1350,1.8875600,500.7092899000,945.1188272000,0.0145165884
1.21,22,PatientTissueFromHU1450,1.9542400,494.6132448000,966.5929876000,0.0142340346
1.21,23,PatientTissueFromHU2247,2.4196000,490.4854913000,1186.7786950000,0.0116166510
1.21,24,PatientTissueFromHU2995,4.5524800,344.5633530000,1568.6177730000,0.0091230270
1.31,0,PatientTissueFromHUNegative975,0.0393235,491.0093117000,19.3082046700,0.7816428048
1.31,1,PatientTissueFromHUNegative535,0.4700410,600.6830195000,282.3456472000,0.0510018502
1.31,2,PatientTissueFromHUNegative102,0.8749110,639.9459577000,559.8957578000,0.0244204168
1.31,3,PatientTissueFromHUNegative68,0.9126860,631.7666358000,576.6045637000,0.0239388944
1.31,4,PatientTissueFromHUNegative38,0.9471830,623.6451575000,590.7060913000,0.0235888074
1.31,5,PatientTissueFromHUNegative8,0.9803890,617.2583703000,605.1533164000,0.0232359225
1.31,6,PatientTissueFromHU12,1.0038600,611.9897481000,614.3520285000,0.0230442120
1.31,7,PatientTissueFromHU49,1.0430800,601.9652616000,627.8979250000,0.0228748021
1.31,8,PatientTissueFromHU100,1.0788000,594.5386159000,641.3882589000,0.0223023283
1.31,9,PatientTissueFromHU160,1.1085700,597.4938384000,662.3637444000,0.0210870635
1.31,10,PatientTissueFromHU250,1.1660600,585.4225657000,682.6378369000,0.0205362440
1.31,11,PatientTissueFromHU350,1.2314600,572.1830474000,704.6205355000,0.0199798918
1.31,12,PatientTissueFromHU450,1.2965800,560.2396530000,726.3955294000,0.0194576728
1.31,13,PatientTissueFromHU550,1.3606300,550.2401823000,748.6732992000,0.0189459638
1.31,14,PatientTissueFromHU650,1.4258500,540.4084023000,770.5413204000,0.0184752605
1.31,15,PatientTissueFromHU750,1.4919000,530.9091230000,792.0633206000,0.0180389945
1.31,16,PatientTissueFromHU850,1.5592200,521.4661578000,813.0804626000,0.0176373848
1.31,17,PatientTissueFromHU950,1.6247800,513.8517232000,834.8960029000,0.0172324807
1.31,18,PatientTissueFromHU1050,1.6890400,507.4055373000,857.0282488000,0.0168359453
1.31,19,PatientTissueFromHU1150,1.7563600,499.8755686000,877.9614537000,0.0164881099
1.31,20,PatientTissueFromHU1250,1.8216000,493.9539291000,899.7864773000,0.0161342111
1.31,21,PatientTissueFromHU1350,1.8875600,488.0745242000,921.2699490000,0.0158025642
1.31,22,PatientTissueFromHU1450,1.9542400,482.2373541000,942.4075270000,0.0154913043
1.31,23,PatientTissueFromHU2247,2.4196000,478.2860219000,1157.2608590000,0.0126405786
1.31,24,PatientTissueFromHU2995,4.5524800,336.4162857000,1531.5284120000,0.0098972210
1.41,0,PatientTissueFromHUNegative975,0.0393235,480.7107825000,18.9032304500,0.8444535801
1.41,1,PatientTissueFromHUNegative535,0.4700410,585.3326107000,275.1303257000,0.0553072089
1.41,2,PatientTissueFromHUNegative102,0.8749110,621.1310445000,543.4343833000,0.0265958111
1.41,3,PatientTissueFromHUNegative68,0.9126860,613.6609733000,560.0797791000,0.0260504473
1.41,4,PatientTissueFromHUNegative38,0.9471830,606.2194181000,574.2007271000,0.0256491959
1.41,5,PatientTissueFromHUNegative8,0.9803890,600.4329971000,588.6579056000,0.0252464186
1.41,6,PatientTissueFromHU12,1.0038600,595.6141919000,597.9132627000,0.0250240980
1.41,7,PatientTissueFromHU49,1.0430800,586.4750713000,611.7404174000,0.0248109603
1.41,8,PatientTissueFromHU100,1.0788000,579.1073111000,624.7409672000,0.0241979786
1.41,9,PatientTissueFromHU160,1.1085700,580.8932207000,643.9607977000,0.0229244008
1.41,10,PatientTissueFromHU250,1.1660600,569.3074507000,663.8466460000,0.0223187791
1.41,11,PatientTissueFromHU350,1.2314600,556.6026302000,685.4338750000,0.0217065526
1.41,12,PatientTissueFromHU450,1.2965800,545.1358169000,706.8121974000,0.0211323424
1.41,13,PatientTissueFromHU550,1.3606300,535.5407248000,728.6727764000,0.0205705978
1.41,14,PatientTissueFromHU650,1.4258500,526.1044446000,750.1460223000,0.0200535888
1.41,15,PatientTissueFromHU750,1.4919000,516.9890540000,771.2959697000,0.0195742405
1.41,16,PatientTissueFromHU850,1.5592200,507.9209495000,791.9605028000,0.0191327601
1.41,17,PatientTissueFromHU950,1.6247800,500.6162636000,813.3912927000,0.0186886201
1.41,18,PatientTissueFromHU1050,1.6890400,494.4306312000,835.1131134000,0.0182543458
1.41,19,PatientTissueFromHU1150,1.7563600,487.2004695000,855.6994166000,0.0178725398
1.41,20,PatientTissueFromHU1250,1.8216000,481.5211057000,877.1388461000,0.0174849318
1.41,21,PatientTissueFromHU1350,1.8875600,475.8790056000,898.2501758000,0.0171216636
1.41,22,PatientTissueFromHU1450,1.9542400,470.2741693000,919.0285927000,0.0167806992
1.41,23,PatientTissueFromHU2247,2.4196000,466.4810029000,1128.6974350000,0.0136905212
1.41,24,PatientTissueFromHU2995,4.5524800,328.3911929000,1494.9943380000,0.0106902488
1.51,0,PatientTissueFromHUNegative975,0.0393235,470.4135430000,18.4983069600,0.9086245725
1.51,1,PatientTissueFromHUNegative535,0.4700410,569.9874625000,267.9174769000,0.0597269693
1.51,2,PatientTissueFromHUNegative102,0.8749110,602.3184669000,526.9750522000,0.0288381205
1.51,3,PatientTissueFromHUNegative68,0.9126860,595.5582261000,543.5576551000,0.0282252370
1.51,4,PatientTissueFromHUNegative38,0.9471830,588.7971346000,557.6986364000,0.0277696760
1.51,5,PatientTissueFromHUNegative8,0.9803890,583.6116034000,572.1663962000,0.0273140540
1.51,6,PatientTissueFromHU12,1.0038600,579.2429797000,581.4788576000,0.0270591763
1.51,7,PatientTissueFromHU49,1.0430800,570.9900012000,595.5882505000,0.0267989386
1.51,8,PatientTissueFromHU100,1.0788000,563.6804655000,608.0984861000,0.0261448224
1.51,9,PatientTissueFromHU160,1.1085700,564.2960629000,625.5616865000,0.0248150077
1.51,10,PatientTissueFromHU250,1.1660600,553.1959756000,645.0596993000,0.0241524968
1.51,11,PatientTissueFromHU350,1.2314600,541.0260277000,666.2519121000,0.0234822323
1.51,12,PatientTissueFromHU450,1.2965800,530.0359703000,687.2340383000,0.0228540628
1.51,13,PatientTissueFromHU550,1.3606300,520.8454105000,708.6778908000,0.0222404442
1.51,14,PatientTissueFromHU650,1.4258500,511.8047731000,729.7568358000,0.0216754195
1.51,15,PatientTissueFromHU750,1.4919000,503.0733983000,750.5352030000,0.0211513858
1.51,16,PatientTissueFromHU850,1.5592200,494.3802730000,770.8476092000,0.0206685507
1.51,17,PatientTissueFromHU950,1.6247800,487.3854420000,791.8941185000,0.0201837707
1.51,18,PatientTissueFromHU1050,1.6890400,481.4604745000,813.2059999000,0.0197104602
1.51,19,PatientTissueFromHU1150,1.7563600,474.5302149000,833.4458882000,0.0192934589
1.51,20,PatientTissueFromHU1250,1.8216000,469.0932171000,854.5002042000,0.0188709809
1.51,21,PatientTissueFromHU1350,1.8875600,463.6885064000,875.2398772000,0.0184750034
