energy_MeV_per_u,moved_fraction,quantile,radius_mm
200,0.102426732,0.83,27.8904724
200,0.102426732,0.84,29.1529645
200,0.102426732,0.85,30.2352914
200,0.102426732,0.86,31.7772656
200,0.102426732,0.87,33.0180577
200,0.102426732,0.88,34.7828131
200,0.102426732,0.89,36.3609727
200,0.102426732,0.9,38.1868588
200,0.102426732,0.91,40.225859
200,0.102426732,0.92,42.5473311
200,0.102426732,0.93,45.274171
200,0.102426732,0.94,48.1031859
200,0.102426732,0.95,51.4755172
200,0.102426732,0.96,55.4430263
200,0.102426732,0.97,60.7421452
200,0.102426732,0.98,67.0666964
200,0.102426732,0.99,77.1643889
200,0.102426732,1,137.210983
225,0.106851523,0,3.15936364
225,0.106851523,0.01,3.15936364
225,0.106851523,0.02,3.15936364
225,0.106851523,0.03,3.15984844
225,0.106851523,0.04,3.15984844
225,0.106851523,0.05,3.1606614
225,0.106851523,0.06,3.1606614
225,0.106851523,0.07,3.16211498
225,0.106851523,0.08,3.16211498
225,0.106851523,0.09,3.16211498
225,0.106851523,0.1,3.16244303
225,0.106851523,0.11,3.16244303
225,0.106851523,0.12,3.16389579
225,0.106851523,0.13,3.16389579
225,0.106851523,0.14,3.16470771
225,0.106851523,0.15,3.16470771
225,0.106851523,0.16,3.16519169
225,0.106851523,0.17,3.16519169
225,0.106851523,0.18,3.16519169
225,0.106851523,0.19,4.24010791
225,0.106851523,0.2,4.24119154
225,0.106851523,0.21,4.24409134
225,0.106851523,0.22,4.24517396
225,0.106851523,0.23,4.24517396
225,0.106851523,0.24,5.09640822
225,0.106851523,0.25,5.09771684
225,0.106851523,0.26,5.09882167
225,0.106851523,0.27,5.09921902
225,0.106851523,0.28,5.10032353
225,0.106851523,0.29,5.10163114
225,0.106851523,0.3,5.8281429
225,0.106851523,0.31,5.8288465
225,0.106851523,0.32,5.83016031
225,0.106851523,0.33,5.83174483
225,0.106851523,0.34,5.83305799
225,0.106851523,0.35,7.06817146
225,0.106851523,0.36,7.06853493
225,0.106851523,0.37,7.06991184
225,0.106851523,0.38,7.0714283
225,0.106851523,0.39,7.07360099
225,0.106851523,0.4,7.07396418
225,0.106851523,0.41,7.61396007
225,0.106851523,0.42,7.61617911
225,0.106851523,0.43,7.61866345
225,0.106851523,0.44,8.60131196
225,0.106851523,0.45,8.60458566
225,0.106851523,0.46,9.05431333
225,0.106851523,0.47,9.05809975
225,0.106851523,0.48,9.4852161
225,0.106851523,0.49,9.48926275
225,0.106851523,0.5,9.90094516
225,0.106851523,0.51,10.2949323
225,0.106851523,0.52,11.0426256
225,0.106851523,0.53,11.0482352
225,0.106851523,0.54,11.4002746
225,0.106851523,0.55,11.4035074
225,0.106851523,0.56,12.0811835
225,0.106851523,0.57,12.7264724
225,0.106851523,0.58,13.0374255
225,0.106851523,0.59,13.0411921
225,0.106851523,0.6,13.3445805
225,0.106851523,0.61,14.2102943
225,0.106851523,0.62,14.7641624
225,0.106851523,0.63,15.0361575
225,0.106851523,0.64,15.5588823
225,0.106851523,0.65,15.8136212
225,0.106851523,0.66,17.0267417
225,0.106851523,0.67,17.2600361
225,0.106851523,0.68,17.7175594
225,0.106851523,0.69,18.3876721
225,0.106851523,0.7,19.2327217
225,0.106851523,0.71,19.6498012
225,0.106851523,0.72,20.2508347
225,0.106851523,0.73,21.2128437
225,0.106851523,0.74,21.9537503
225,0.106851523,0.75,23.0188819
225,0.106851523,0.76,23.5401194
225,0.106851523,0.77,24.697347
225,0.106851523,0.78,25.4948991
225,0.106851523,0.79,26.570894
225,0.106851523,0.8,27.4577947
225,0.106851523,0.81,28.6034194
225,0.106851523,0.82,29.8342732
225,0.106851523,0.83,31.1443321
225,0.106851523,0.84,32.6484305
225,0.106851523,0.85,33.9681051
225,0.106851523,0.86,35.4658864
225,0.106851523,0.87,37.1224135
225,0.106851523,0.88,39.1124651
225,0.106851523,0.89,41.1067448
225,0.106851523,0.9,43.0144597
225,0.106851523,0.91,45.2796403
225,0.106851523,0.92,48.1011486
225,0.106851523,0.93,51.0853026
225,0.106851523,0.94,54.2022139
225,0.106851523,0.95,58.0519195
225,0.106851523,0.96,62.6282264
225,0.106851523,0.97,68.2524528
225,0.106851523,0.98,75.5407749
225,0.106851523,0.99,86.2684772
225,0.106851523,1,140.008593
